COMMAND_ID,EXTERNAL_RESULTCODE,EXTERNAL_RESULTDESC,INTERNAL_RESULTCODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"*","-2","The bulk file size exceeds the maximum.","BC52094"<endrec>
"*","-21","The number of records in the bulk file exceeds the maximum.","BC52095"<endrec>
"*","EBCS50054","The Direct Debit Mandate has expired.","BCS50054"<endrec>
"*","7010","In the API request, the initiator is a customer but the recipient is not a customer or the initiator and recipient are not the same customer.","BCS50104"<endrec>
"*","7011","In the API request, the initiator is an SP but the recipient is not a customer.","BCS50105"<endrec>
"*","7012","In the API request, the NFC link information of the customer does not exist.","BCS50106"<endrec>
"*","7013","In the API request, the NFC sticker information of the customer does not exist.","BCS50107"<endrec>
"*","7014","In the API request, the NFC sticker information of the customer is not unique.","BCS50108"<endrec>
"*","7015","An error occurs in the settlement system when the MQ is synchronously invoked to query the settlement system. The detailed description about the error is as follows: {0}
<note>{0} indicates error description.</note>","BCS50109"<endrec>
"*","7016","An error occurs when the MQ is synchronously invoked to query the settlement system.","BCS50110"<endrec>
"*","2002","Receiver invalid.","BCS50263"<endrec>
"*","2002","Receiver invalid.","BCS50264"<endrec>
"*","BCS50332","Entity is not bound to bank account BankAccountNo of bank.","BCS50332"<endrec>
"*","2068","MSISDN is already registered.","BCS50383"<endrec>
"*","2069","InvitationCode invalid.","BCS50386"<endrec>
"*","2070","Can not set invitation code in this service.","BCS50387"<endrec>
"*","BCS50389","Failed to delete the role from the dormant account whitelist.","BCS50389"<endrec>
"*","BCS50390","Failed to add the role to the dormant account whitelist.","BCS50390"<endrec>
"*","BCS50391","During card binding, the entered card information has been bound to the identity.","BCS50391"<endrec>
"*","BCS50392","During card binding, the number of cards bound to the identity reaches the maximum.","BCS50392"<endrec>
"*","BCS50393","During card binding, the current card is already bound.","BCS50393"<endrec>
"*","BCS50394","During card unbinding, the card to be unbound does not exist in the system.","BCS50394"<endrec>
"*","BCS50403","This error is reported if no result is found based on the entered bank short code.","BCS50403"<endrec>
"*","BCS50411","The new ICCID is associated with a device in the Mobile Money system.","BCS50411"<endrec>
"*","BCS50415","A Multiple Partial Redeemed voucher that has been redeemed cannot be cancelled.","BCS50415"<endrec>
"*","BCS50420","The mandatory parameter in the request is empty.","BCS50420"<endrec>
"*","BCS50421","The request body is empty.","BCS50421"<endrec>
"*","BCS50422","Failed to find the corresponding accumulator.","BCS50422"<endrec>
"*","BCS50423","The mandatory parameter in the request is empty.","BCS50423"<endrec>
"*","BCS50424","The queried accumulator does not exist.","BCS50424"<endrec>
"*","50427","Transaction confirmation amount entered is greater than the origin transaction amount .","BCS50427"<endrec>
"*","50428","The transaction is not allowed to contain Charge or Tax if the transaction amount is changed during transaction confirmation.","BCS50428"<endrec>
"*","BCS50429","The system parameter Commission reason type is set incorrectly.","BCS50429"<endrec>
"*","BCS50438","The Common Dormant Schedule system parameter is incorrectly set.","BCS50438"<endrec>
"*","BCS50439","The different characters between the new and old credentials, which is less than system condition.","BCS50439"<endrec>
"*","BCS50440","The configured accumulator has not taken effect or has expired.","BCS50440"<endrec>
"*","BCS50441","Accumulators of the one-off type are not supported.","BCS50441"<endrec>
"*","BCS50442","Accumulators of non-org types are not supported.","BCS50442"<endrec>
"*","BCS50443","The start date is later than the end date.","BCS50443"<endrec>
"*","BCS50444","The accumulator to be queried does not belong to the current entity type.","BCS50444"<endrec>
"*","BCS50448","incorrect payer.","BCS50448"<endrec>
"*","BCS50455","The server is being maintained and does not provide services temporarily.","BCS50455"<endrec>
"*","BCS50458","Failed to find the corresponding outgoing policy based on forwardingReason.","BCS50458"<endrec>
"*","2001","Initiator does not have the permission for subscription.","BO65026"<endrec>
"*","2001","Initiator does not have the permission for subscription.","BO65027"<endrec>
"*","2001","Initiator does not have the permission for subscription.","BO65029"<endrec>
"*","2001","Initiator does not have the permission for subscription.","BO65030"<endrec>
"*","2002","Receiver invalid.","BO65031"<endrec>
"*","2002","Receiver invalid.","BO65032"<endrec>
"*","2002","Receiver invalid.","BO66001"<endrec>
"*","2057","Language code invalid.","BO66003"<endrec>
"*","2002","Receiver invalid.","BO66004"<endrec>
"*","1000","System is busy, the service request is rejected.","FND90030"<endrec>
"*","2002","Receiver invalid.","GV50005"<endrec>
"*","2051","MSISDN invalid.","GV50006"<endrec>
"*","2051","MSISDN invalid.","GV50020"<endrec>
"*","2064","UserName invalid or already used by another identity.","GV50022"<endrec>
"*","2063","OperatorID invalid or already used by another identity.","GV50023"<endrec>
"*","2052","KYC field invalid.","GV50026"<endrec>
"*","2002","Receiver invalid.","GV50053"<endrec>
"*","20075","The initiator does not exist","GV50054"<endrec>
"*","2010","Request has been rejected by the approver.","GV50080"<endrec>
"*","2011","Request process expired because of approval timeout.","GV50081"<endrec>
"*","2113","OriginatorConversationID or ConversationID invalid, the request does not exist.","GV50100"<endrec>
"*","2030","The initiator organization queried by the organization entity ID or short code does not exist.","GV50112"<endrec>
"*","2031","The value of parameter {0} is incorrect. The receiver organization queried by the organization entity ID or short code does not exist","GV50113"<endrec>
"*","2118","The group queried by the group identity ID or group code does not exist.","GV50115"<endrec>
"*","6124","The group member queried by the group identity ID or group member ID does not exist or is in an incorrect state.","GV50116"<endrec>
"*","-1","The number of records in a bulk file cannot exceed","IC10998"<endrec>
"*","-1","The number of records in a bulk file cannot exceed","IC10999"<endrec>
"*","2001","Initiator does not have the permission for subscription.","IC11200"<endrec>
"*","6002","MSISDN already registered.","IC13200"<endrec>
"*","2051","MSISDN invalid.","IC13202"<endrec>
"*","2051","MSISDN invalid.","IC13301"<endrec>
"*","2051","MSISDN invalid.","IC13303"<endrec>
"*","2051","MSISDN invalid.","IC13307"<endrec>
"*","2055","New operator ID invalid.","IC14002"<endrec>
"*","2028","The operator does not exist","IC14004"<endrec>
"*","2055","New operator ID invalid.","IC14005"<endrec>
"*","2001","Initiator does not have the permission for subscription.","IC14006"<endrec>
"*","2055","New operator ID invalid.","IC14009"<endrec>
"*","2055","New operator ID invalid.","IC14013"<endrec>
"*","2052","KYC field invalid.","IC15200"<endrec>
"*","2052","KYC field invalid.","IC15202"<endrec>
"*","2052","KYC field invalid.","IC15203"<endrec>
"*","2052","KYC field invalid.","IC15210"<endrec>
"*","2052","KYC field invalid.","IC15211"<endrec>
"*","2052","KYC field invalid.","IC15212"<endrec>
"*","2052","KYC field invalid.","IC15213"<endrec>
"*","2052","KYC field invalid.","IC15220"<endrec>
"*","2052","KYC field invalid.","IC15221"<endrec>
"*","2052","KYC field invalid.","IC15222"<endrec>
"*","2052","KYC field invalid.","IC15230"<endrec>
"*","2052","KYC field invalid.","IC15231"<endrec>
"*","2052","KYC field invalid.","IC15300"<endrec>
"*","2052","KYC field invalid.","IC15301"<endrec>
"*","2052","KYC field invalid.","IC15302"<endrec>
"*","2053","Trust level invalid.","IC15400"<endrec>
"*","2053","Trust level invalid.","IC15401"<endrec>
"*","2053","Trust level invalid.","IC15403"<endrec>
"*","2053","Trust level invalid.","IC15404"<endrec>
"*","2053","Trust level invalid.","IC15405"<endrec>
"*","2053","Trust level invalid.","IC15406"<endrec>
"*","2053","Trust level invalid.","IC15407"<endrec>
"*","2053","Trust level invalid.","IC15408"<endrec>
"*","2053","Trust level invalid.","IC15409"<endrec>
"*","2053","Trust level invalid.","IC15410"<endrec>
"*","2053","Trust level invalid.","IC15411"<endrec>
"*","2053","Trust level invalid.","IC15412"<endrec>
"*","2053","Trust level invalid.","IC15413"<endrec>
"*","2052","KYC field invalid.","IC15500"<endrec>
"*","2001","Initiator does not have the permission for subscription.","IC17101"<endrec>
"*","2056","New PIN invalid.","IC17103"<endrec>
"*","2056","New PIN invalid.","IC17104"<endrec>
"*","2056","New PIN invalid.","IC17113"<endrec>
"*","2056","New PIN invalid.","IC17115"<endrec>
"*","20026","Receiver Invalid.","IC17116"<endrec>
"*","2056","New PIN invalid.","IC17119"<endrec>
"*","2056","New PIN invalid.","IC17120"<endrec>
"*","2056","New PIN invalid.","IC17121"<endrec>
"*","2001","Initiator does not have the permission for subscription.","IC17214"<endrec>
"*","2001","Initiator does not have the permission for subscription.","IC17215"<endrec>
"*","2001","Initiator does not have the permission for subscription.","IC17223"<endrec>
"*","2051","MSISDN invalid.","IC19300"<endrec>
"*","2051","MSISDN invalid.","IC19301"<endrec>
"*","2051","MSISDN invalid.","IC19303"<endrec>
"*","2051","MSISDN invalid.","IC19304"<endrec>
"*","2051","MSISDN invalid.","IC19305"<endrec>
"*","2051","MSISDN invalid.","IC19306"<endrec>
"*","2002","Receiver invalid.","IC19407"<endrec>
"*","2054","Account Type invalid.","IC19500"<endrec>
"*","2054","Account Type invalid.","IC19505"<endrec>
"*","2054","Account Type invalid.","IC19512"<endrec>
"*","2057","Language code invalid.","IC19701"<endrec>
"*","2001","Initiator does not have the permission for subscription.","IC19709"<endrec>
"*","2001","Initiator does not have the permission for subscription.","IC19711"<endrec>
"*","2051","MSISDN invalid.","IC19722"<endrec>
"*","-1","The number of records in a bulk file cannot exceed","IC19736"<endrec>
"*","2054","Account Type invalid.","IC20102"<endrec>
"*","2051","MSISDN invalid.","IC20108"<endrec>
"*","6145","The status of the organization where the operator is located is inactive.","IC40026"<endrec>
"*","2105","O2CLink number invalid.","IC40077"<endrec>
"*","2115","Initiator cannot perform an operation on the self.","IC40086"<endrec>
"*","2001","Initiator does not have the permission for subscription.","IC40092"<endrec>
"*","2060","Product mismatched.","IC40097"<endrec>
"*","2065","OperatorRole invalid or not in available range.","IC40115"<endrec>
"*","6123","The customer is not a registered customer.","IC40135"<endrec>
"*","6141","The Date of Birth (DOB) format is incorrect","IC40136"<endrec>
"*","6142","The Date of Birth (DOB) error","IC40137"<endrec>
"*","6143","The identification information is invalid.","IC40138"<endrec>
"*","2345","The receiver identity's account balance is insufficient during a CCH service.","IC40141"<endrec>
"*","2060","Product mismatched.","IC40163"<endrec>
"*","2002","Receiver invalid.","IC40165"<endrec>
"*","6008","The security credential is locked.","IC40249"<endrec>
"*","2002","Receiver invalid.","IC40253"<endrec>
"*","28299","No record is found based on Receipt Number.","IC40299"<endrec>
"*","2036","One and only one of the query parameter ""ReceiptNumber"", ""OriginatorConversationID"" and ""ConversationID"" can appear at the same time.","IC40303"<endrec>
"*","2002","Receiver invalid.","IC40429"<endrec>
"*","2054","Account Type invalid.","IC40430"<endrec>
"*","6009","Beneficiary already exists.","IC40434"<endrec>
"*","6007","Organization short code invalid.","IC40438"<endrec>
"*","2100","MSISDN should be absent when Receiver is a Till.","IC40440"<endrec>
"*","2101","MSISDN is inconsistent with Receiver MSISDN.","IC40441"<endrec>
"*","2102","RegisterBy should be absent when initiated by OrgOperator.","IC40443"<endrec>
"*","2103","Products of Till cannot be all deleted.","IC40444"<endrec>
"*","2104","Receiver should be absent when initiated by OrgOperator.","IC40445"<endrec>
"*","2105","O2CLink number invalid.","IC40451"<endrec>
"*","2106","Duplicate O2CLink number.","IC40453"<endrec>
"*","2107","Duplicate TaxCode.","IC40455"<endrec>
"*","2108","The Caller was Suspended by CustomerCare.","IC40456"<endrec>
"*","2109","StartTime cannot be later then EndTime.","IC40473"<endrec>
"*","2110","Duplicate verification question.","IC40476"<endrec>
"*","2901","Failed to verify reminder ID as it does not","IC40477"<endrec>
"*","6015","Reminder schedule ID does not exist.","IC40479"<endrec>
"*","2002","Receiver invalid.","IC40483"<endrec>
"*","3101","The number of reminder schedules has reached the maximum.","IC40484"<endrec>
"*","2111","Transaction status invalid.","IC40485"<endrec>
"*","2112","Only transactions can be queried by SearchTransaction.","IC40491"<endrec>
"*","2014","The reversal amount cannot be greater than the original transaction amount.","IC40507"<endrec>
"*","6126","The identifier value does not comply with the matched identifier rule.","IC40517"<endrec>
"*","6127","The group code has been used by a group.","IC40552"<endrec>
"*","2076","The number of groups to which the customer belongs exceeds the upper limit configured at the system level.","IC40555"<endrec>
"*","6125","The customer creates the group is not a registered customer.","IC40557"<endrec>
"*","6120","The invited customer is a group member in Invited state and is valid.","IC40575"<endrec>
"*","6131","The number of roles having the role has exceeded the maximum.","IC40581"<endrec>
"*","6132","The operation object remains unchanged before and after the operation.","IC40582"<endrec>
"*","6130","The entered role is not a valid role in the system.","IC40583"<endrec>
"*","6129","The group member already has the role to be added.","IC40585"<endrec>
"*","6133","The modified group member must have at least one role.","IC40587"<endrec>
"*","6122","The customer (initiator, requester, or the recharge party) has not been invited to join the group or the customer has been invited but has not confirmed the invitation.","IC40588"<endrec>
"*","2709","The group member (initiator or requester) does not have the operation permission.","IC40589"<endrec>
"*","6124","The group member queried by the group identity ID or group member ID does not exist or is in an incorrect state.","IC40590"<endrec>
"*","6135","A group member cannot perform some operations on itself, such as removing itself from the group or changing its role.","IC40592"<endrec>
"*","2120","The group member does not have the permission or does not belong to the specified group.","IC40596"<endrec>
"*","6121","The invited customer is a group member in Confirmed state.","IC40599"<endrec>
"*","6136","The initiating customer has not been invited to join the group.","IC40602"<endrec>
"*","6117","Loyalty points fail to be queried.","IC40611"<endrec>
"*","7003","The NFC Tag  Linked Information does not exist.","IC40614"<endrec>
"*","IC40637","The bank account already exists in the identity.","IC40637"<endrec>
"*","IC40639","The number of bank accounts associated to the identity has reached the maximum","IC40639"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","IC40642"<endrec>
"*","5001","Permission error","IC40649"<endrec>
"*","2706","Bundle is invalid","IC40650"<endrec>
"*","2039","Failed to execute the fund dispute task. The balance of account of the identity is insufficient.","IC40667"<endrec>
"*","6012","The value of the MandateStatus parameter is incorrect.","IC50001"<endrec>
"*","6014","The value of the NeedConfirmation parameter is incorrect.","IC50002"<endrec>
"*","6013","The mandate does not exist.","IC50004"<endrec>
"*","EIC50007","The direct debit mandate is not in Active state because it is authorized but not activated.","IC50007"<endrec>
"*","EIC50012","The mandate corresponding to the payer reference number already exists and cannot be created again.","IC50012"<endrec>
"*","6016","The initiator does not have the permission to delete data of other users.","IC50019"<endrec>
"*","IC50021","The initiator of the direct debit mandate operation must be the payer, payee, or SP operator.","IC50021"<endrec>
"*","6018","The pre-warning period of schedule exceed the max number or smaller than 0.","IC50022"<endrec>
"*","6017","The initiator does not have the permission to query data of other users.","IC50025"<endrec>
"*","6043","Card number status error.","IC50029"<endrec>
"*","6052","Card Number Wrong Format","IC50031"<endrec>
"*","60055","The card has been activated and cannot be activated again","IC50032"<endrec>
"*","6051","The Card Number is already existed and saved before","IC50034"<endrec>
"*","6043","Card number status error.","IC50041"<endrec>
"*","6044","Card number not exists","IC50042"<endrec>
"*","3000","The identity list does not meet the unlinking condition.","IC50048"<endrec>
"*","6201","Balance of Receiver Account invalid.","IC50052"<endrec>
"*","2002","Receiver invalid.","IC50053"<endrec>
"*","6202","Receiver Account invalid.","IC50054"<endrec>
"*","6203","The identity account has subscribed to a saving plan of the same type.","IC50055"<endrec>
"*","6204","Recevier Account can not subscribe this Saving Plan.","IC50056"<endrec>
"*","6202","Receiver Account invalid.","IC50057"<endrec>
"*","6200","Saving Plan invalid.","IC50058"<endrec>
"*","2001","Initiator does not have the permission for subscription.","IC50067"<endrec>
"*","2001","Initiator does not have the permission for subscription.","IC50068"<endrec>
"*","6202","Receiver Account invalid.","IC50070"<endrec>
"*","2001","Initiator does not have the permission for subscription.","IC50071"<endrec>
"*","2001","Initiator does not have the permission for subscription.","IC50072"<endrec>
"*","6205","Please unsubscribe saving plan before closing account.","IC50073"<endrec>
"*","6208","The territory type does not exist.","IC50078"<endrec>
"*","6209","The identity is not in the specified region.","IC50086"<endrec>
"*","6206","The saving plan to be subscribed is not in the application scope.","IC50090"<endrec>
"*","6207","The identity is not in the application scope of the saving plan during the subscription of the saving plan.","IC50091"<endrec>
"*","6146","ClientId error","IC50102"<endrec>
"*","2051","MSISDN invalid.","IC50103"<endrec>
"*","2006","Balance insufficient.","IC50104"<endrec>
"*","6100","The corresponding point account does not exist.","LP10000"<endrec>
"*","6101","Tthe receiver is not supported for the operation.","LP10001"<endrec>
"*","6102","The loyalty point account balance is insufficient.","LP10002"<endrec>
"*","6103","The identity account to be created already exists.","LP10003"<endrec>
"*","6104","Multiple loyalty point accounts are matched based on then input parameter.","LP10005"<endrec>
"*","6105","This adjustment category is incorrect.","LP10006"<endrec>
"*","6106","The amount format is incorrect.","LP10007"<endrec>
"*","6108","The amount can not below 0.","LP10008"<endrec>
"*","6118","The amount can not be 0.","LP10009"<endrec>
"*","6109","Field length exceeds the maximum.","LP10010"<endrec>
"*","6110","Can not find the loyalty point account.","LP10011"<endrec>
"*","6111","No loyalty point account log is found.","LP10012"<endrec>
"*","6112","Iincorrect input parameters .","LP10013"<endrec>
"*","6113","The corresponding PointType is not found in the system.","LP10014"<endrec>
"*","6114","The corresponding PointType is not in Released state.","LP10015"<endrec>
"*","6115","The loyalty point account type found in the system based on <b>LoyaltyPointTypeId</b> is not applicable to the current identity.","LP10016"<endrec>
"*","6119","The identity does not have any loyalty point account, Failed to query the loyalty points.","LP10017"<endrec>
"*","6304","No Redeem Balance Rate result is found based on the specified parameter values","LP10045"<endrec>
"*","PREOD50027","Bank revenue sharing if the revenue sharing information of the main bank is not configured.","PREOD50027"<endrec>
"*","PREOD50028","The sum of each bank's revenue sharing percentage is not 100%.","PREOD50028"<endrec>
"*","0","Process service request successfully.","SYS00000"<endrec>
"*","5003","The Shortcode of the Voucher to be redeemed is different from the request Shortcode","TC30008"<endrec>
"*","2505","The initiator does not have the permission.","TC30076"<endrec>
"*","TC30189","MSISDN of the customer is incorrect or does not exist.","TC30189"<endrec>
"*","2029","The entered transaction amount is invalid and fractional amount not allowed.","TC30192"<endrec>
"*","2067","The account is closed and new account is not allowed to be created for the identity.","TC30238"<endrec>
"*","TC30242","Failed to match a reason type because the Initiator Type factor does not match.","TC30242"<endrec>
"*","2041","Debit Party customer type (Identity subtype factor of the debit party in ReasonType does not match) can't be supported by the service.","TC30244"<endrec>
"*","2001","Initiator does not have the permission for subscription.","TC30322"<endrec>
"*","5002","The Bundle is assigned in the eligible bundle list","TC30325"<endrec>
"*","2001","Initiator does not have the permission for subscription.","TC30358"<endrec>
"*","2003","Currency invalid.","TC30406"<endrec>
"*","2013","The number of requested vouchers is greater than the maximum number of vouchers.","TC30421"<endrec>
"*","-12","The voucher amount does not match.","TC30427"<endrec>
"*","2333","The specified account does not belong to the identity.","TC30437"<endrec>
"*","5004","The initiator of the reversal request is different from the debit party of the transaction to be reversed.","TC30489"<endrec>
"*","2119","This operation cannot be performed because the customer is not a group member.","TC30497"<endrec>
"*","2001","Initiator does not have the permission for subscription.","TC30498"<endrec>
"*","-5","Failed to authenticate the transaction by limit rule Max Monthly Debit.","TC30500"<endrec>
"*","30501","The voucher fails to be redeemed. The entered amount must be less than or equal to the voucher amount.","TC30501"<endrec>
"*","6138","The entered requester must match the requester in the voucher.","TC30504"<endrec>
"*","6141","The confirmation amount in the confirmation request is different from the actual transaction amount in the transaction request.","TC30509"<endrec>
"*","2012","The entered voucher secret code is empty.","TC30510"<endrec>
"*","6142","The KYC entered by the initiator fails the verification of the KYC verification rule.","TC30514"<endrec>
"*","2002","Receiver invalid.","TC30522"<endrec>
"*","2002","Receiver invalid.","TC30538"<endrec>
"*","2008","Primary party invalid.","TC30539"<endrec>
"*","2001","Initiator does not have the permission for subscription.","TC30540"<endrec>
"*","ETC50028","The mandate of the direct debit transaction does not exist.","TC50028"<endrec>
"*","ETC50032","The direct debit mandate is not in Active state because it is authorized but not activated.","TC50032"<endrec>
"*","TC50034","The bank returns a processing failure response.","TC50034"<endrec>
"*","2026","The original transaction is not in Authorized state and cannot be confirmed.","TC50049"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70000"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70001"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70002"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70003"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70004"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70005"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70006"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70007"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70008"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70009"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70010"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70011"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70012"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70013"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70014"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70015"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70016"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70017"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70018"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70019"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70020"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70021"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70022"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70023"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70024"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70025"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70026"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70027"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70028"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70029"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70030"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70031"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70032"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70033"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70034"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70035"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70036"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70037"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70038"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70039"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70040"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70041"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70042"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70043"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70044"<endrec>
"*","2005","Failed to authenticate the transaction by limit rule .","TC70045"<endrec>
