EXPRESSION_CODE,EXPRESSION_ID,EXPRESSION_MODE,EXPRESSION_TEXT,EXPRESSION_VERSION,SCENE_CODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"","10130","S","if((Transaction.Channel == ""1005"") && (Transaction.Amount >= 205) && (Initiator.Birthday == todate(""15-10-1990"", ""dd-MM-yyyy""))) return true; else return false;","0","Charge"<endrec>
"","10131","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10132","S","if((Transaction.Channel == ""1003"") && (Initiator.Birthday == todate(""15-10-1990"", ""dd-MM-yyyy""))) return true; else return false;","0","Charge"<endrec>
"","10133","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10134","S","if((Transaction.Channel == ""1003"") && (Initiator.RegisteredDate > todate(""20-08-2015 13:46:44"",""dd-MM-yyyy HH:mm:ss"")) && (Transaction.Amount > 100)) return true; else return false;","0","Charge"<endrec>
"","10135","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10136","S","if((Transaction.Channel == ""1003"") && (Initiator.RegisteredDate > todate(""20-08-2015 13:46:44"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10137","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10138","S","if((Transaction.Channel == ""1003"") && (Initiator.RegisteredDate > todate(""20-08-2015 00:00:00"",""dd-MM-yyyy HH:mm:ss"")) && (Initiator.RegisteredDate < todate(""20-08-2015 23:59:59"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10139","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10140","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10141","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10142","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10143","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10144","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10155","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10156","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10157","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10158","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10159","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10160","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10161","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10162","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10163","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10165","S","if((Initiator.RegisteredDate >= todate(""20-09-2015 12:53:14"",""dd-MM-yyyy HH:mm:ss"")) && (Initiator.RegisteredDate <= todate(""22-09-2015 12:53:25"",""dd-MM-yyyy HH:mm:ss"")) && (Action.ReasonType == 10000119)) return true; else return false;","0","Charge"<endrec>
"","10166","S","if((Action.Service == ""QueryCustomerBalance"")) return true; else return false;","0","Charge"<endrec>
"","10167","S","if((Action.ReasonType == 10002337)) return true; else return false;","0","Charge"<endrec>
"","10168","S","if((Action.Service == ""QueryCustomerBalance"")) return true; else return false;","0","Charge"<endrec>
"","10169","S","if((Transaction.Amount < 240)) return true; else return false;","0","Charge"<endrec>
"","10170","S","if((Action.Service == ""QueryCustomerBalance"")) return true; else return false;","0","Charge"<endrec>
"","10171","S","if((Action.Service == ""Send Money"")) return true; else return false;","0","Charge"<endrec>
"","10182","S","if((Initiator.IdentityType == 2000)) return true; else return false;","0","Charge"<endrec>
"","10183","S","if((Transaction.Amount == 500)) return true; else return false;","0","Charge"<endrec>
"","10184","S","if((Transaction.InitiatedTime > todate(""13-10-2015 19:12:00"",""dd-MM-yyyy HH:mm:ss"")) && (Transaction.InitiatedTime < todate(""17-10-2015 19:12:08"",""dd-MM-yyyy HH:mm:ss"")) && (Transaction.Amount <= 2000)) return true; else return false;","0","Accumulator"<endrec>
"","10185","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10186","S","if((Transaction.Channel == ""1003"")) return true; else return false;","0","Charge"<endrec>
"","10187","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) < 6)) return true; else return false;","0","Charge"<endrec>
"","10188","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 5)) return true; else return false;","0","Charge"<endrec>
"","10193","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10194","S","if((Transaction.Channel == ""1003"") && (Initiator.RegisteredDate > todate(""20-08-2015 07:10:44"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10195","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 5)) return true; else return false;","0","Charge"<endrec>
"","10196","S","if((Initiator.MSISDN == ""40720936384"")) return true; else return false;","0","Charge"<endrec>
"","10197","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 5)) return true; else return false;","0","Charge"<endrec>
"","10198","S","if((Initiator.MSISDN == ""40720936384"")) return true; else return false;","0","Charge"<endrec>
"","10199","S","if((Action.Service == ""QueryCustomerBalance"")) return true; else return false;","0","Charge"<endrec>
"","102","C","if(BankStatement.TrustAccount==""RO40RZBR0000060001111112"")return true; else return false;","4","BankStatement"<endrec>
"","10200","S","if((Action.ReasonType == 10000016)) return true; else return false;","0","Charge"<endrec>
"","10201","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10202","S","if((Action.Service == ""Customer Account Management - PIN"")) return true; else return false;","0","Charge"<endrec>
"","10203","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10204","S","if((Action.ActionType == ""QueryMiniStatement"")) return true; else return false;","0","Charge"<endrec>
"","10205","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10206","S","if((Action.InitiatedTime >= todate(""16-10-2015 00:14:38"",""dd-MM-yyyy HH:mm:ss"")) && (Action.InitiatedTime < todate(""16-10-2015 12:14:44"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10208","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10209","S","if((Action.Service == ""Customer Account Management - PIN"")) return true; else return false;","0","Charge"<endrec>
"","10210","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 2)) return true; else return false;","0","Charge"<endrec>
"","10211","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10212","S","if((Action.Service == ""Customer Account Management - PIN"")) return true; else return false;","0","Charge"<endrec>
"","10213","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 4)) return true; else return false;","0","Charge"<endrec>
"","10214","S","if((GetAccuInContext(Transaction.Context, 2, ""Org_Cust_Deposit"", 0) > 4)) return true; else return false;","0","Charge"<endrec>
"","10215","S","if((Transaction.TransactionType == 20006)) return true; else return false;","0","Charge"<endrec>
"","10216","S","if((Transaction.TransactionType == 20006)) return true; else return false;","0","Charge"<endrec>
"","10217","S","if((Transaction.TransactionType == 20006)) return true; else return false;","0","Charge"<endrec>
"","10218","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10219","S","if((Action.Service == ""Customer Account Management - PIN"")) return true; else return false;","0","Charge"<endrec>
"","10220","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 7)) return true; else return false;","0","Charge"<endrec>
"","10221","S","if((Action.ReasonType == 10000119)) return true; else return false;","0","Charge"<endrec>
"","10222","S","if((Action.ReasonType == 10000119)) return true; else return false;","0","Charge"<endrec>
"","10223","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 7)) return true; else return false;","0","Charge"<endrec>
"","10224","S","if((Action.ReasonType == 10000016)) return true; else return false;","0","Charge"<endrec>
"","10225","S","if((Action.ReasonType == 10000119)) return true; else return false;","0","Charge"<endrec>
"","10226","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 7)) return true; else return false;","0","Charge"<endrec>
"","10227","S","if((Action.ReasonType == 10000016)) return true; else return false;","0","Charge"<endrec>
"","10228","S","if((Action.ReasonType == 10000119)) return true; else return false;","0","Charge"<endrec>
"","10229","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 7)) return true; else return false;","0","Charge"<endrec>
"","10230","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10231","S","if((Action.ActionType == ""QueryBalance"")) return true; else return false;","0","Charge"<endrec>
"","10232","S","if((Action.InitiatedTime >= todate(""19-10-2015 08:40:38"",""dd-MM-yyyy HH:mm:ss"")) && (Action.InitiatedTime <= todate(""19-10-2015 11:40:38"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10233","S","if((Action.ReasonType == 10000016)) return true; else return false;","0","Charge"<endrec>
"","10234","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10235","S","if((Initiator.IdentityType == 1000)) return true; else return false;","0","Charge"<endrec>
"","10236","S","if((Initiator.IdentityId == 123456)) return true; else return false;","0","Charge"<endrec>
"","10237","S","if((Action.ReasonType == 10000119)) return true; else return false;","0","Charge"<endrec>
"","10238","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 7)) return true; else return false;","0","Charge"<endrec>
"","10239","S","if((Initiator.IdentityId == 02)) return true; else return false;","0","Charge"<endrec>
"","10240","S","if((Action.ReasonType == 10000119)) return true; else return false;","0","Charge"<endrec>
"","10241","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 7)) return true; else return false;","0","Charge"<endrec>
"","10242","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10243","S","if((Debit.IdentityType == 1000)) return true; else return false;","0","Charge"<endrec>
"","10244","S","if((Initiator.MSISDN == ""40720011144"")) return true; else return false;","0","Charge"<endrec>
"","10245","S","if((Action.ReasonType == 10000119)) return true; else return false;","0","Charge"<endrec>
"","10246","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 7)) return true; else return false;","0","Charge"<endrec>
"","10247","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10248","S","if((Debit.IdentityType == 1000)) return true; else return false;","0","Charge"<endrec>
"","10249","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10250","S","if((Credit.IdentityType == 1000)) return true; else return false;","0","Charge"<endrec>
"","10251","S","if((Initiator.TrustLevel > 3)) return true; else return false;","0","Charge"<endrec>
"","10252","S","if((Action.ReasonType == 10000016)) return true; else return false;","0","Charge"<endrec>
"","10253","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10254","S","if((Debit.MSISDN == ""40720011926"")) return true; else return false;","0","Charge"<endrec>
"","10255","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10256","S","if((Debit.TrustLevel == 4)) return true; else return false;","0","Charge"<endrec>
"","10257","S","if((Initiator.ActiveDate >= todate(""15-10-2015 14:49:30"",""dd-MM-yyyy HH:mm:ss"")) && (Initiator.ActiveDate <= todate(""17-10-2015 14:49:58"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10258","S","if((Action.ReasonType == 10000119)) return true; else return false;","0","Charge"<endrec>
"","10259","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 7)) return true; else return false;","0","Charge"<endrec>
"","10260","S","if((Initiator.TrustLevel == 3)) return true; else return false;","0","Charge"<endrec>
"","10261","S","if((Action.ReasonType == 10000016)) return true; else return false;","0","Charge"<endrec>
"","10262","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10263","S","if((Credit.IdentityType == 1000)) return true; else return false;","0","Charge"<endrec>
"","10264","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10265","S","if((Debit.ActiveDate == todate(""02-09-2015 15:01:32"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10266","S","if((Action.Service == ""Customer MiniStatement"")) return true; else return false;","0","Charge"<endrec>
"","10267","S","if((Action.ReasonType == 10000016)) return true; else return false;","0","Charge"<endrec>
"","10268","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10269","S","if((Credit.IdentityType == 1000)) return true; else return false;","0","Charge"<endrec>
"","10270","S","if((Transaction.TransactionType == 20020)) return true; else return false;","0","Charge"<endrec>
"","10271","S","if((Transaction.Amount > 500) && (Transaction.Amount < 1100)) return true; else return false;","0","Charge"<endrec>
"","10272","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 7)) return true; else return false;","0","Charge"<endrec>
"","10273","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10274","S","if((Debit.ActiveDate == todate(""01-09-2015 14:45:38"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10275","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10276","S","if((Debit.ActiveDate <= todate(""03-09-2015 14:45:38"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10277","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10278","S","if((Credit.IdentityType == 1000)) return true; else return false;","0","Charge"<endrec>
"","10279","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10280","S","if((Debit.Birthday == todate(""31-08-1990"", ""dd-MM-yyyy""))) return true; else return false;","0","Charge"<endrec>
"","10281","S","if((Transaction.TransactionType == 20020)) return true; else return false;","0","Charge"<endrec>
"","10282","S","if((Transaction.Amount > 500) && (Transaction.Amount < 1100)) return true; else return false;","0","Charge"<endrec>
"","10283","S","if((GetAccuInContext(Transaction.Context, 2, ""SendmoneyDynamic"", 0) == 7)) return true; else return false;","0","Charge"<endrec>
"","10284","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10285","S","if((Receiver.IdentityType == 1000)) return true; else return false;","0","Charge"<endrec>
"","10286","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10287","S","if((Debit.City == ""Pune"")) return true; else return false;","0","Charge"<endrec>
"","10288","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10289","S","if((Debit.RegisteredDate <= todate(""03-09-2015 15:49:40"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10290","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10291","S","if((Debit.IdentityId == 13314)) return true; else return false;","0","Charge"<endrec>
"","10292","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10293","S","if((Receiver.IdentityId == 123456789)) return true; else return false;","0","Charge"<endrec>
"","10294","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10295","S","if((Receiver.IdentityId == 04)) return true; else return false;","0","Charge"<endrec>
"","10296","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10297","S","if((Receiver.MSISDN == ""40720011095"")) return true; else return false;","0","Charge"<endrec>
"","10298","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10299","S","if((Receiver.TrustLevel == 4)) return true; else return false;","0","Charge"<endrec>
"","103","C","if(BankStatement.Currency == ""TZS"") return true; else return false;","1","BankStatement"<endrec>
"","10300","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10301","S","if((Receiver.ActiveDate == todate(""20-08-2015 00:00:00"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10302","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10303","S","if((Receiver.ActiveDate == todate(""20-08-2015 07:31:24"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10304","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10305","S","if((Receiver.Birthday == todate(""15-10-1990"", ""dd-MM-yyyy""))) return true; else return false;","0","Charge"<endrec>
"","10306","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10307","S","if((Receiver.City == ""pune"")) return true; else return false;","0","Charge"<endrec>
"","10308","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10309","S","if((Debit.IdentityId >= 18004)) return true; else return false;","0","Charge"<endrec>
"","10310","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10311","S","if((Receiver.RegisteredDate == todate(""20-08-2015 17:56:17"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10312","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10313","S","if((Receiver.ActiveDate == todate(""20-08-2015 07:31:23"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10314","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10315","S","if((Receiver.RegisteredDate == todate(""20-08-2015 07:29:04"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10316","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10317","S","if((Action.InitiatedTime > todate(""20-10-2015 02:00:00"",""dd-MM-yyyy HH:mm:ss"")) && (Action.ActionType == ""QueryMiniStatement"")) return true; else return false;","0","Charge"<endrec>
"","10318","S","if((Credit.MSISDN == ""40720011095"")) return true; else return false;","0","Charge"<endrec>
"","10319","S","if((Action.ReasonType == 10000016)) return true; else return false;","0","Charge"<endrec>
"","10320","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10321","S","if((Transaction.ReasonType == 10000119) && (Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10322","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10323","S","if((Transaction.Amount == 149) && (Transaction.ReasonType == 10000119)) return true; else return false;","0","Charge"<endrec>
"","10324","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10325","S","if((Transaction.ReasonType == 10000119)) return true; else return false;","0","Charge"<endrec>
"","10326","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10327","S","if((Transaction.Amount > 500.99)) return true; else return false;","0","Charge"<endrec>
"","10328","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10329","S","if((Transaction.Currency == ""TZS"")) return true; else return false;","0","Charge"<endrec>
"","10330","S","if((Credit.IdentityType == 1000)) return true; else return false;","0","Charge"<endrec>
"","10331","S","if((Action.ReasonType == 10000016)) return true; else return false;","0","Charge"<endrec>
"","10332","S","if((Credit.TrustLevel > 4)) return true; else return false;","0","Charge"<endrec>
"","10333","S","if((Action.ReasonType == 10000016)) return true; else return false;","0","Charge"<endrec>
"","10334","S","if((Credit.TrustLevel > 4)) return true; else return false;","0","Charge"<endrec>
"","10335","S","if((Action.ReasonType == 10000016)) return true; else return false;","0","Charge"<endrec>
"","10336","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10337","S","if((Action.InitiatedTime > todate(""21-10-2015 10:22:00"",""dd-MM-yyyy HH:mm:ss"")) && (Initiator.IdentityType == 1000)) return true; else return false;","0","Charge"<endrec>
"","10338","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10339","S","if((Action.InitiatedTime > todate(""21-10-2015 10:22:00"",""dd-MM-yyyy HH:mm:ss"")) && (Initiator.MSISDN == ""40720011095"")) return true; else return false;","0","Charge"<endrec>
"","10340","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10341","S","if((Initiator.TrustLevel == 4) && (Action.Service == ""Customer Account Management - PIN"")) return true; else return false;","0","Charge"<endrec>
"","10342","S","if((Credit.ActiveDate >= todate(""19-08-2015 14:13:40"",""dd-MM-yyyy HH:mm:ss"")) && (Credit.ActiveDate <= todate(""21-08-2015 14:13:49"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10343","S","if((Action.ReasonType == 10000016)) return true; else return false;","0","Charge"<endrec>
"","10344","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10345","S","if((Transaction.Service == ""Customer Account Management - PIN"") && (Transaction.InitiatedTime > todate(""21-10-2015 10:55:00"",""dd-MM-yyyy HH:mm:ss""))) return true; else return false;","0","Charge"<endrec>
"","10346","S","if((Credit.Birthday == todate(""15-10-1990"", ""dd-MM-yyyy""))) return true; else return false;","0","Charge"<endrec>
"","10347","S","if((Action.ReasonType == 10000016)) return true; else return false;","0","Charge"<endrec>
"","10348","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10349","S","if((Action.InitiatedTime > todate(""21-10-2015 11:12:00"",""dd-MM-yyyy HH:mm:ss"")) && (Action.ActionType == ""QueryBalance"")) return true; else return false;","0","Charge"<endrec>
"","10350","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10351","S","if((Action.ReasonType == 10000119) && (Transaction.Currency == ""TZS"")) return true; else return false;","0","Charge"<endrec>
