AUTOMATIC_RENEWAL,BEGIN_VALIDITY_PERIOD,BUNDLE_CATEGORY,BUNDLE_ID,BUNDLE_NAME,BUNDLE_PROVIDER,BUNDLE_TYPE,CURRENCY,DESCRIPTION,DURATION_TIMES,DURATION_UNIT,EFFECTIVE_MODE,END_VALIDITY_PERIOD,EXTERNAL_PRICE,IDENTITY_TYPE,INTERNAL_PRICE,SPLITTING_MODE,STATUS,SUBSCRIPTION_PRICE,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"0","2016-11-04 00:00:00.000000","","1025","AJ1","","1","TZS","","3","2","3","2016-11-04 00:00:00.000000","","1000","10000","","50","10000","937235540"<endrec>
"0","2016-11-07 00:00:00.000000","","1002","basic customer bundle no renewal 2 days (Service)","","1","TZS","service based eg send money p2p quota should be either reg or unreg withdraw should be all forms of withdrawal (check service to see which reason types are covered)","2","1","0","2016-11-08 00:00:00.000000","","1000","500000","","50","500000","937235575"<endrec>
"0","2016-11-07 00:00:00.000000","","1","basic customer bundle no renewal 5 days (reason type)","","1","TZS","p2p, withdrawals","2","1","0","2017-11-08 00:00:00.000000","","1000","500000","","50","500000","937235576"<endrec>
"1","2016-11-07 00:00:00.000000","","1009","basic customer bundle 2 days renewal next day after expiry (service)","","1","TZS","basic customer bundle 2 days renewal next day after expiry (service)","2","1","-1","2099-12-31 00:00:00.000000","","1000","35000","","50","35000","937235592"<endrec>
"1","2016-11-07 00:00:00.000000","","1009","basic customer bundle 2 days renewal next day after expiry (service)","","1","TZS","basic customer bundle 2 days renewal next day after expiry (service)","2","1","-1","2099-12-31 00:00:00.000000","","1000","35000","","50","35000","937235600"<endrec>
"0","2016-11-07 00:00:00.000000","","1002","basic customer bundle no renewal 2 days (Service)","","1","TZS","service based eg send money p2p quota should be either reg or unreg withdraw should be all forms of withdrawal (check service to see which reason types are covered)","2","1","0","2016-11-07 00:00:00.000000","","1000","500000","","50","500000","937235604"<endrec>
"0","2016-11-08 00:00:00.000000","","1019","Business combined bundle Liberty B2C Service 2 days external SMS split","201000000000064005","3","TZS","Business combined bundle Liberty B2C Service 2 days external SMS split","2","1","0","2099-12-31 00:00:00.000000","50000","5000","200000","1","50","250000","937235633"<endrec>
"0","2017-02-23 00:00:00.000000","","3001","my1","201000000000064005","3","TZS","","3","1","0","2099-12-31 00:00:00.000000","0","1000","50000","1","30","50000","937276829"<endrec>
"0","2017-03-22 00:00:00.000000","","1012","Customer p2p service 1 week combined liberty mb100 with external split","201000000000064005","3","TZS","Customer p2p service 1 week combined liberty mb100 with external split","1","2","0","2099-12-31 00:00:00.000000","50000","1000","50000","1","50","100000","937290850"<endrec>
"0","2017-04-26 00:00:00.000000","","1019","Business combined bundle Liberty B2C Service 2 days external SMS split","201000000000064005","3","TZS","Business combined bundle Liberty B2C Service 2 days external SMS split","2","1","0","2099-12-31 00:00:00.000000","50000","5000","200000","1","30","250000","937328879"<endrec>
"0","2017-05-16 00:00:00.000000","","1013","Customer p2p service 1 week combined liberty mb200 with internal split","201000000000064005","3","TZS","Customer p2p service 1 week combined liberty mb200 with internal split","1","2","0","2099-12-31 00:00:00.000000","0","1000","40000","0","50","40000","937340875"<endrec>
"0","2017-05-16 00:00:00.000000","","1025","AJ1","","1","TZS","","3","2","3","2017-05-31 00:00:00.000000","","1000","10000","","50","10000","937340876"<endrec>
"0","2017-05-23 00:00:00.000000","","1012","Customer p2p service 1 week combined liberty mb100 with external split","201000000000064005","3","TZS","Customer p2p service 1 week","1","2","0","2099-12-31 00:00:00.000000","50000","1000","50000","1","50","100000","937344879"<endrec>
"0","2017-05-31 00:00:00.000000","","2001","Bundle01","","1","TZS","","10","1","10","2017-05-31 00:00:00.000000","","1000|7000","0","","50","0","937348944"<endrec>
"0","2017-06-01 00:00:00.000000","","2001","Bundle01","","1","TZS","","10","1","10","2017-06-01 00:00:00.000000","","1000|7000","0","","50","0","937348945"<endrec>
"0","2017-06-01 00:00:00.000000","","2001","Bundle01","","1","TZS","","10","1","10","2017-06-01 00:00:00.000000","","1000|7000","0","","50","0","937348946"<endrec>
"0","2017-06-01 00:00:00.000000","","2001","Bundle01","","1","TZS","","10","1","10","2017-06-02 00:00:00.000000","","1000|7000","2000","","50","2000","937348947"<endrec>
"0","2017-06-01 00:00:00.000000","","2001","Bundle01","","1","TZS","","10","1","10","2025-06-02 00:00:00.000000","","1000|7000","2000","","50","2000","937348948"<endrec>
"0","2017-06-02 00:00:00.000000","","4001","Customer bundle_test","","1","TZS","Customer bundle_test","1","1","1","2017-06-02 00:00:00.000000","","1000","10000","","30","10000","937349920"<endrec>
"0","2017-06-02 00:00:00.000000","","4002","customer bundle_1","","1","TZS","customer bundle_1","1","1","1","2017-06-03 00:00:00.000000","","1000","1000","","30","1000","937349921"<endrec>
"0","2017-06-02 00:00:00.000000","","4003","customer bundle_2","","1","TZS","customer bundle_2","30","1","1","2099-12-31 00:00:00.000000","","1000","3000","","50","3000","937349922"<endrec>
"0","2017-06-06 00:00:00.000000","","1005","Customer P2P (service) 1 month no renewal","","1","TZS","Customer P2P (service) 1 month no renewal","1","3","0","2099-12-31 00:00:00.000000","","1000","75000","","50","75000","937351976"<endrec>
"0","2017-06-22 00:00:00.000000","","5001","Test bundle MNO org","201000000000029004","2","TZS","","","","","2099-12-31 00:00:00.000000","50000","5000","","1","50","50000","937364012"<endrec>
"0","2017-06-22 00:00:00.000000","","5001","Test bundle MNO org","201000000000029004","2","TZS","","","","","2099-12-31 00:00:00.000000","50000","5000","","1","50","50000","937364013"<endrec>
"0","2017-06-22 00:00:00.000000","","5001","Test bundle MNO org","201000000000029004","2","TZS","","","","","2099-12-31 00:00:00.000000","50000","5000","","1","50","50000","937364014"<endrec>
"0","2017-06-22 00:00:00.000000","","5002","123","201000000000029004","2","TZS","","","","","2099-12-31 00:00:00.000000","0","5000","","1","50","0","937364022"<endrec>
"0","2017-06-22 00:00:00.000000","","5001","Test bundle MNO org","201000000000029004","2","TZS","","","","","2099-12-31 00:00:00.000000","50000","5000","","1","50","50000","937364023"<endrec>
"0","2017-06-22 00:00:00.000000","","5002","123","201000000000029004","2","TZS","","","","","2099-12-31 00:00:00.000000","0","5000","","1","50","0","937364024"<endrec>
"0","2017-06-22 00:00:00.000000","","5003","CustomerTransfer_49366","","1","TZS","","3","1","100","2099-12-31 00:00:00.000000","","1000","10000","","30","10000","937364027"<endrec>
"0","2017-06-22 00:00:00.000000","","5001","Test bundle MNO org","201000000000029004","2","TZS","","","","","2099-12-31 00:00:00.000000","50000","5000","","1","50","50000","937364028"<endrec>
"0","2017-06-22 00:00:00.000000","","5001","Test bundle MNO org","201000000000029004","2","TZS","","","","","2099-12-31 00:00:00.000000","50000","5000","","1","50","50000","937364029"<endrec>
"0","2017-06-22 00:00:00.000000","","5001","Test bundle MNO org","201000000000029004","2","TZS","","","","","2099-12-31 00:00:00.000000","50000","5000","","1","50","50000","937364030"<endrec>
"0","2017-06-22 00:00:00.000000","","5004","Test","","1","TZS","","999","1","666","2099-12-31 00:00:00.000000","","1000","0","","10","0","937364031"<endrec>
"0","2017-06-22 00:00:00.000000","","5002","123","201000000000029004","2","TZS","","","","","2017-06-22 00:00:00.000000","0","5000","","1","30","0","937364032"<endrec>
"0","2017-10-27 00:00:00.000000","","6001","BundleExternal","201000000000029004","2","TZS","","","","","2099-12-31 00:00:00.000000","0","1000","","1","50","0","937377510"<endrec>
"0","2017-08-16 00:00:00.000000","","1006","Customer P2P (service) 2 month with renewal","","1","TZS","Customer P2P (service) 2 month with renewal","2","3","0","2099-12-31 00:00:00.000000","","1000","75000","","30","75000","937391585"<endrec>
"1","2017-08-21 00:00:00.000000","","7001","Bundle_21","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","1000","20000","","50","20000","937392657"<endrec>
"1","2017-08-21 00:00:00.000000","","7001","Bundle_21","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","5000","20000","","50","20000","937392658"<endrec>
"1","2017-08-21 00:00:00.000000","","7001","Bundle_21","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","5000","20000","","50","20000","937392659"<endrec>
"1","2017-08-21 00:00:00.000000","","7001","Bundle_21","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","5000","20000","","30","20000","937392660"<endrec>
"0","2017-08-22 00:00:00.000000","","7002","Bundle_22","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","1000","30000","","50","30000","937392672"<endrec>
"1","2017-08-22 00:00:00.000000","","7003","bundle_sand","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","1000","30000","","30","30000","937392677"<endrec>
"1","2017-08-22 00:00:00.000000","","7004","bundle_Ma","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","1000","30000","","30","30000","937392679"<endrec>
"0","2017-08-22 00:00:00.000000","","7005","TestNewBundle","","1","TZS","","10","3","7","2099-12-31 00:00:00.000000","","1000|5000","10000","","30","10000","937392682"<endrec>
"1","2017-08-23 00:00:00.000000","","7006","Bundle_Test1","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","1000","30000","","30","30000","937392700"<endrec>
"1","2017-08-23 00:00:00.000000","","7007","Bundle_Test2ma","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","1000","30000","","30","30000","937392705"<endrec>
"1","2017-08-23 00:00:00.000000","","7008","w","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","1000","30000","","10","30000","937392706"<endrec>
"1","2017-08-23 00:00:00.000000","","7009","Bundle_Test3ma","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","1000","30000","","30","30000","937392708"<endrec>
"1","2017-08-23 00:00:00.000000","","7010","Bundle_Test4ma","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","1000","30000","","30","30000","937392711"<endrec>
"1","2017-08-23 00:00:00.000000","","7011","Bundle_Test5ma","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","1000","30000","","60","30000","937392714"<endrec>
"1","2017-08-25 00:00:00.000000","","7012","Bundle_Test6ma","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","1000","30000","","50","30000","937392797"<endrec>
"0","2017-09-04 00:00:00.000000","","8001","MNO External Test","201000000000064005","2","TZS","","","","","2099-12-31 00:00:00.000000","0","1000","","1","50","0","937397010"<endrec>
"0","2017-09-08 00:00:00.000000","","9001","test1","","1","TZS","","10","3","5","2099-12-31 00:00:00.000000","","1000|5000","0","","30","0","937401934"<endrec>
"1","2017-10-23 00:00:00.000000","","1009","basic customer bundle 2 days renewal next day after expiry (service)","","1","TZS","basic customer bundle 2 days renewal next day after expiry (service)","2","1","-1","2099-12-31 00:00:00.000000","","1000","35000","","50","35000","937419078"<endrec>
"1","2017-10-23 00:00:00.000000","","1009","basic customer bundle 2 days renewal next day after expiry (service)","","1","TZS","basic customer bundle 2 days renewal next day after expiry (service)","2","1","-1","2099-12-31 00:00:00.000000","","1000","35000","","50","35000","937419084"<endrec>
"0","2017-10-27 00:00:00.000000","","10001","Newbundle","","1","TZS","Newbundle","20","1","1","2099-12-31 00:00:00.000000","","1000","0","","30","0","937421136"<endrec>
"0","2017-10-27 00:00:00.000000","","10002","Bundle_Test_6123","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","1000","10000","","30","10000","937421137"<endrec>
"0","2017-10-27 00:00:00.000000","","10003","New Bundle1","","1","TZS","New Bundle1","30","1","1","2099-12-31 00:00:00.000000","","1000","0","","30","0","937421138"<endrec>
"0","2017-11-15 00:00:00.000000","","1005","Customer P2P (service) 1 month no renewal","","1","TZS","Customer P2P (service) 1 month no renewal","1","3","0","2099-12-31 00:00:00.000000","","1000","75000","","50","75000","937428163"<endrec>
"0","2017-11-29 00:00:00.000000","","8001","MNO External Test","201000000000064005","2","TZS","","","","","2099-12-31 00:00:00.000000","0","1000","","0","50","0","937433169"<endrec>
"0","2017-11-30 00:00:00.000000","","1012","Customer p2p service 1 week combined liberty mb100 with external split","201000000000064005","3","TZS","Customer p2p service 1 week","1","2","0","2099-12-31 00:00:00.000000","0","1000","50000","0","50","50000","937433196"<endrec>
"1","2017-11-30 00:00:00.000000","","1014","Customer external bundle Liberty mbonga voice auto renew","201000000000064005","2","TZS","Liberty mbonga voice","","","","2099-12-31 00:00:00.000000","0","1000","","0","50","0","937433218"<endrec>
"1","2017-11-30 00:00:00.000000","","1014","Customer external bundle Liberty mbonga voice auto renew","201000000000064005","2","TZS","Liberty mbonga voice","","","","2099-12-31 00:00:00.000000","0","1000","","1","50","0","937433221"<endrec>
"0","2017-12-25 00:00:00.000000","","11001","externalbundle_homer","201000000000064005","2","TZS","","","","","2099-12-31 00:00:00.000000","0","5000","","1","50","0","937442222"<endrec>
"0","2017-12-25 00:00:00.000000","","11001","externalbundle_homer","201000000000064005","2","TZS","","","","","2099-12-31 00:00:00.000000","0","5000","","1","50","0","937442223"<endrec>
"0","2017-12-25 00:00:00.000000","","11001","externalbundle_homer","201000000000064005","2","TZS","","","","","2099-12-31 00:00:00.000000","10000","5000","","1","30","10000","937442224"<endrec>
"1","2017-12-25 00:00:00.000000","","1014","Customer external bundle Liberty mbonga voice auto renew","201000000000064005","2","TZS","Liberty mbonga voice","","","","2099-12-31 00:00:00.000000","0","1000","","0","50","0","937442225"<endrec>
"1","2017-12-26 00:00:00.000000","","1014","Customer external bundle Liberty mbonga voice auto renew","201000000000064005","2","TZS","Liberty mbonga voice","","","","2099-12-31 00:00:00.000000","0","1000","","1","50","0","937442229"<endrec>
"0","2017-12-26 00:00:00.000000","","6001","BundleExternal","201000000000029004","2","TZS","","","","","2099-12-31 00:00:00.000000","0","1000","","0","50","0","937443229"<endrec>
"0","2017-12-26 00:00:00.000000","","1023","Group External Bundle MNOorg","201000000000029004","2","TZS","Group External Bundle MNOorg","","","","2099-12-31 00:00:00.000000","0","7000","","0","30","0","937443234"<endrec>
"0","2017-12-28 00:00:00.000000","","5001","Test bundle MNO org","201000000000029004","2","TZS","","","","","2099-12-31 00:00:00.000000","50000","5000","","1","50","50000","937445234"<endrec>
"0","2017-12-29 00:00:00.000000","","8001","MNO External Test","201000000000064005","2","TZS","","","","","2099-12-31 00:00:00.000000","0","1000","","1","30","0","937447262"<endrec>
"0","2018-12-26 00:00:00.000000","","12001","BundleExternal123","201000000000029004","2","TZS","","","","","2099-12-31 00:00:00.000000","0","1000","","0","30","0","937456367"<endrec>
"1","2018-10-23 00:00:00.000000","","13001","basic customer bundle 2 days renewal next day after expiry (service) New","","1","TZS","basic customer bundle 2 days renewal next day after expiry (service)","2","1","-1","2099-12-31 00:00:00.000000","","1000","35000","","30","35000","937459319"<endrec>
"0","2018-01-23 00:00:00.000000","","2001","Bundle01","","1","TZS","","10","1","10","2025-06-02 00:00:00.000000","","1000|7000","2000","","50","2000","937459320"<endrec>
"1","2018-01-24 00:00:00.000000","","13002","basic customer bundle 2 days renewal next day after expiry (service)_Roshan","","1","TZS","basic customer bundle 2 days renewal next day after expiry (service)","2","1","0","2018-01-31 00:00:00.000000","","1000","35000","","50","35000","937459363"<endrec>
"1","2018-01-24 00:00:00.000000","","13002","basic customer bundle 2 days renewal next day after expiry (service)_Roshan","","1","TZS","basic customer bundle 2 days renewal next day after expiry (service)","2","1","0","2018-01-31 00:00:00.000000","","1000","35000","","50","35000","937459364"<endrec>
"0","2018-02-06 00:00:00.000000","","2001","Bundle01","","1","TZS","","10","1","10","2025-06-02 00:00:00.000000","","1000|7000|5000","2000","","50","2000","937461431"<endrec>
"0","2018-02-12 00:00:00.000000","","14001","testauti","201000000000048015","2","TZS","","","","","2099-12-31 00:00:00.000000","0","1000|5000","","1","50","0","937462338"<endrec>
"0","2018-02-12 00:00:00.000000","","14001","testauti","201000000000048015","2","TZS","","","","","2099-12-31 00:00:00.000000","1000","1000|5000","","1","30","1000","937462339"<endrec>
"0","2018-02-12 00:00:00.000000","","14002","test1234","","1","TZS","","1","1","1","2099-12-31 00:00:00.000000","","1000|5000","0","","50","0","937462340"<endrec>
"0","2018-03-07 00:00:00.000000","","1005","Customer P2P (service) 1 month no renewal","","1","TZS","Customer P2P (service) 1 month no renewal","1","3","0","2099-12-31 00:00:00.000000","","1000","75000","","50","75000","937466604"<endrec>
"1","2018-03-07 00:00:00.000000","","2003","Customer P2P (Services) 3month with renewal","","1","TZS","Customer P2P (Services) 3month with renewal","2","3","0","2099-12-31 00:00:00.000000","","1000","75000","","30","75000","937466605"<endrec>
"0","2018-03-07 00:00:00.000000","","1013","Customer p2p service 1 week combined liberty mb200 with internal split","201000000000064005","3","TZS","Customer p2p service 1 week combined liberty mb200 with internal split","1","2","0","2099-12-31 00:00:00.000000","0","1000","40000","0","30","40000","937466616"<endrec>
"0","2018-03-12 00:00:00.000000","","15001","ExternalBundle","201000000000064005","2","TZS","","","","","2099-12-31 00:00:00.000000","0","1000","","0","10","0","937468586"<endrec>
"0","2018-03-12 00:00:00.000000","","15002","azs","201000000000064005","2","TZS","","","","","2099-12-31 00:00:00.000000","0","1000","","0","30","0","937468587"<endrec>
"0","2018-03-12 00:00:00.000000","","15003","ExternalBundle642","201000000000064005","2","TZS","","","","","2099-12-31 00:00:00.000000","0","1000","","0","10","0","937468593"<endrec>
"0","2018-03-12 00:00:00.000000","","15004","zzz","201000000000064005","2","TZS","","","","","2099-12-31 00:00:00.000000","0","1000","","0","10","0","937468594"<endrec>
"0","2018-03-12 00:00:00.000000","","15005","TestMaheshi","201000000000064005","2","TZS","","","","","2099-12-31 00:00:00.000000","0","1000","","0","10","0","937468595"<endrec>
