DATA_DICT_KEY,DATA_DICT_VALUE,DISPLAY_ORDER,IS_EDITABLE,LOAD_DATA_TS,NAME,STATUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        <endrec>
"BANK_CATEGORY","63","63","N","","DIAMOND TRUST BANK LTD               ","1"<endrec>
"BANK_CATEGORY","65","65","N","","INDUSTRIAL DEVELOPMENT BANK          ","1"<endrec>
"BANK_CATEGORY","66","66","N","","K-REP BANK LIMITED                   ","1"<endrec>
"BANK_CATEGORY","68","68","N","","EQUITY BANK                          ","1"<endrec>
"BANK_CATEGORY","7","7","N","","COMMERCIAL BANK OF AFRICA            ","1"<endrec>
"BANK_CATEGORY","70","70","N","","FAMILY BANK                          ","1"<endrec>
"BANK_CATEGORY","72","72","N","","GULF AFRICAN BANK LTD                ","1"<endrec>
"BANK_CATEGORY","74","74","N","","FIRST COMMUNITY BANK LTD             ","1"<endrec>
"BANK_CATEGORY","76","76","N","","UBA KENYA BANK LTD                   ","1"<endrec>
"BANK_CATEGORY","78","105","Y","","MT942_BankTest","1"<endrec>
"BANK_CATEGORY","8","8","N","","HABIB BANK LTD.                      ","1"<endrec>
"BANK_CATEGORY","82","106","Y","","CSVTestBank","1"<endrec>
"BANK_CATEGORY","88","88","N","","POST BANK                            ","1"<endrec>
"BANK_CATEGORY","9","9","N","","CENTRAL BANK OF KENYA                ","1"<endrec>
"BANK_CATEGORY","98","98","N","","NON-BANK FINANCIAL INSTITUTION       ","1"<endrec>
"BANK_CATEGORY","99","104","Y","","adnan 2","1"<endrec>
"BANK_CATEGORY","Adnan Bank","103","Y","","Adnan Bank","1"<endrec>
"BILL_CHAR_SET","0","1","N","","Numeric","1"<endrec>
"BILL_CHAR_SET","1","2","N","","Alphabetic","1"<endrec>
"BILL_CHAR_SET","2","3","N","","Alphanumeric","1"<endrec>
"BILL_VALIDATION_OPTION","0","1","N","","No need to check","1"<endrec>
"BILL_VALIDATION_OPTION","1","2","N","","Internal check","1"<endrec>
"BILL_VALIDATION_OPTION","2","3","N","","External check","1"<endrec>
"BILL_VALIDATION_OPTION","3","4","N","","Both internal and external check","1"<endrec>
"BME.LOCALE","en","1","N","","English","1"<endrec>
"BO_ROLE","1","1","N","","Initiator","1"<endrec>
"BO_ROLE","2","2","N","","Requestor","1"<endrec>
"BO_ROLE","3","3","N","","Receiver","1"<endrec>
"BO_ROLE","4","4","N","","Debit party","1"<endrec>
"BO_ROLE","5","5","N","","Credit party","1"<endrec>
"BSE.AUTO.MATCH.RESULT","1","1","N","","Full Match","1"<endrec>
"BSE.AUTO.MATCH.RESULT","2","2","N","","Partial Match","1"<endrec>
"BSE.AUTO.MATCH.RESULT","3","3","N","","API Full Match","1"<endrec>
"BSE.AUTO.MATCH.RESULT","4","4","N","","API Partial Match","1"<endrec>
"BSE.AUTO.MATCH.RESULT","5","5","N","","No API Full Match","1"<endrec>
"BSE.AUTO.MATCH.RESULT","6","6","N","","No API Partial Match","1"<endrec>
"BSE.AUTO.MATCH.RESULT","7","7","Y","","API No Match","1"<endrec>
"BSE.AUTO.MATCH.RESULT","8","8","Y","","Pending Remove","1"<endrec>
"BULKFILE.TARGET.ELEMENT","ACCOUNT_NAME","18","N","","Account Name","1"<endrec>
"BULKFILE.TARGET.ELEMENT","ACCOUNT_TYPE","17","N","","Account Type","1"<endrec>
"BULKFILE.TARGET.ELEMENT","AMOUNT","6","N","","Amount","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BANK","25","N","","Bank","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BANK_ACCOUNT_NAME","27","N","","Bank Account Name","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BANK_ACCOUNT_NUMBER","28","N","","Bank Account Number","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BANK_BRANCH","26","N","","Bank Branch","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BIZ_PARAMETER_1","29","N","","Business Parameter 1","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BIZ_PARAMETER_10","38","N","","Business Parameter 10","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BIZ_PARAMETER_2","30","N","","Business Parameter 2","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BIZ_PARAMETER_3","31","N","","Business Parameter 3","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BIZ_PARAMETER_4","32","N","","Business Parameter 4","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BIZ_PARAMETER_5","33","N","","Business Parameter 5","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BIZ_PARAMETER_6","34","N","","Business Parameter 6","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BIZ_PARAMETER_7","35","N","","Business Parameter 7","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BIZ_PARAMETER_8","36","N","","Business Parameter 8","1"<endrec>
"BULKFILE.TARGET.ELEMENT","BIZ_PARAMETER_9","37","N","","Business Parameter 9","1"<endrec>
"BULKFILE.TARGET.ELEMENT","COMMAND_ID","51","N","","Command Id","1"<endrec>
"BULKFILE.TARGET.ELEMENT","CURRENCY","7","N","","Currency","1"<endrec>
"BULKFILE.TARGET.ELEMENT","DATA_CONTEXT","49","N","","Data Context","1"<endrec>
"BULKFILE.TARGET.ELEMENT","ENTRY_ID","50","N","","Entry Id","1"<endrec>
"BULKFILE.TARGET.ELEMENT","GROUP_ID","11","N","","Group Id","1"<endrec>
"BULKFILE.TARGET.ELEMENT","IDENTIFIER","14","N","","Identifier","1"<endrec>
"BULKFILE.TARGET.ELEMENT","IDENTIFIER_TYPE","13","N","","Identifier Type","1"<endrec>
"BULKFILE.TARGET.ELEMENT","IDENTITY_TYPE","12","N","","Identity Type","1"<endrec>
"BULKFILE.TARGET.ELEMENT","INITIATOR","8","N","","Initiator","1"<endrec>
"BULKFILE.TARGET.ELEMENT","KYCPARAMETER_4","42","N","","KYC Parameter 4","1"<endrec>
"BULKFILE.TARGET.ELEMENT","KYC_PARAMETER_1","39","N","","KYC Parameter 1","1"<endrec>
"BULKFILE.TARGET.ELEMENT","KYC_PARAMETER_10","48","N","","KYC Parameter 10","1"<endrec>
"BULKFILE.TARGET.ELEMENT","KYC_PARAMETER_2","40","N","","KYC Parameter 2","1"<endrec>
"BULKFILE.TARGET.ELEMENT","KYC_PARAMETER_3","41","N","","KYC Parameter 3","1"<endrec>
"BULKFILE.TARGET.ELEMENT","KYC_PARAMETER_5","43","N","","KYC Parameter 5","1"<endrec>
"BULKFILE.TARGET.ELEMENT","KYC_PARAMETER_6","44","N","","KYC Parameter 6","1"<endrec>
"BULKFILE.TARGET.ELEMENT","KYC_PARAMETER_7","45","N","","KYC Parameter 7","1"<endrec>
"BULKFILE.TARGET.ELEMENT","KYC_PARAMETER_8","46","N","","KYC Parameter 8","1"<endrec>
"BULKFILE.TARGET.ELEMENT","KYC_PARAMETER_9","47","N","","KYC Parameter 9","1"<endrec>
"BULKFILE.TARGET.ELEMENT","MSISDN","9","N","","MSISDN","1"<endrec>
"BULKFILE.TARGET.ELEMENT","ORDER_ID","1","N","","Order Id","1"<endrec>
"BULKFILE.TARGET.ELEMENT","ORIGINAL_ORDERID","2","N","","Original Order Id","1"<endrec>
"BULKFILE.TARGET.ELEMENT","PRIMARY_ACCOUNTNO","19","N","","Primary Account No","1"<endrec>
"BULKFILE.TARGET.ELEMENT","PRIMARY_ACCOUNT_NAME","20","N","","Primary Account Name","1"<endrec>
"BULKFILE.TARGET.ELEMENT","PRIMARY_ACCOUNT_TYPE","21","N","","Primary Account Type","1"<endrec>
"BULKFILE.TARGET.ELEMENT","PRIMARY_PARTY","15","N","","Primary Party","1"<endrec>
"BULKFILE.TARGET.ELEMENT","REASON_TYPE","4","N","","Reason Type","1"<endrec>
"BULKFILE.TARGET.ELEMENT","RECEIVER_ACCOUNT_NAME","23","N","","Receiver Account Name","1"<endrec>
"BULKFILE.TARGET.ELEMENT","RECEIVER_ACCOUNT_NO","22","N","","Receiver Account No","1"<endrec>
"BULKFILE.TARGET.ELEMENT","RECEIVER_ACCOUNT_TYPE","24","N","","Receiver Account Type","1"<endrec>
"BULKFILE.TARGET.ELEMENT","RECEIVER_PARTY","16","N","","Receiver Party","1"<endrec>
"BULKFILE.TARGET.ELEMENT","SERVICE_CODE","5","N","","Service Code","1"<endrec>
"BULKFILE.TARGET.ELEMENT","SHORT_CODE","10","N","","Short Code","1"<endrec>
"BULKFILE.TARGET.ELEMENT","TRANSACTION_TYPE","3","N","","Transaction Type","1"<endrec>
"BULK_FILE_OPEN_TEMPLATE_TYPE","101","1","N","","Open Bulk CSV","1"<endrec>
"BULK_FILE_OPEN_TEMPLATE_TYPE","102","2","N","","Common Bulk CSV","1"<endrec>
"CALCULATE_INTEREST_BY","0","1","N","","Average Balance","1"<endrec>
"CALCULATE_INTEREST_BY","1","2","N","","Min. Balance","1"<endrec>
"CHANNEL","0000","1","N","","Default","1"<endrec>
"CHANNEL","1001","2","N","","SMS","1"<endrec>
"CHANNEL","1002","3","N","","STK","1"<endrec>
"CHANNEL","1003","4","N","","USSD","1"<endrec>
"CHANNEL","1004","5","N","","IVR","1"<endrec>
"CHANNEL","1005","6","N","","Web","1"<endrec>
"CHANNEL","1006","7","N","","WAP","1"<endrec>
"CHANNEL","1007","8","N","","Mobile Client","1"<endrec>
"CHANNEL","1008","9","N","","POS","1"<endrec>
"CHANNEL","1009","10","N","","Contact Center","1"<endrec>
"CHANNEL","1010","11","N","","API","1"<endrec>
"CHANNEL","1011","12","N","","Email","1"<endrec>
"CHANNEL","1012","13","N","","System","1"<endrec>
"CHANNEL","1013","31","N","","SOCKET (ISO 8583)","1"<endrec>
"CHANNEL","1014","32","N","","Handset APP","1"<endrec>
"CHANNEL","1015","33","N","","Biometric Terminal","1"<endrec>
"CHANNEL","1016","34","N","","Third Party Web","1"<endrec>
"CHANNEL","1018","15","N","","PGW","1"<endrec>
"CHANNEL","1023","18","N","","USSD Signaling (EVC)","1"<endrec>
"CHANNEL","1024","19","N","","USSD Like (EVC)","1"<endrec>
"CHANNEL","9001","20","N","","Settlement","1"<endrec>
"CHANNEL","9999","30","N","","All Channel","1"<endrec>
"CHANNEL_CATEGORY","01","1","N","","Web","1"<endrec>
"CHANNEL_CATEGORY","02","2","N","","Handset","1"<endrec>
"CHANNEL_CLIENTID","SALBANK","3","N","","Bank","1"<endrec>
"CHANNEL_CLIENTID","SALCOMM","5","N","","Community","1"<endrec>
"CHANNEL_CLIENTID","SALDRCT","7","N","","Direct","1"<endrec>
"CHANNEL_CLIENTID","SALGADG","8","N","","Gadget Center","1"<endrec>
"CHANNEL_CLIENTID","SALGALR","6","N","","Galleri","1"<endrec>
"CHANNEL_CLIENTID","SALH2H","9","N","","H2H","1"<endrec>
"CHANNEL_CLIENTID","SALMDRN","2","N","","Modern","1"<endrec>
"CHANNEL_CLIENTID","SALMLT","11","N","","Multitier","1"<endrec>
"CHANNEL_CLIENTID","SALMOBO","1","N","","Traditional","1"<endrec>
"CHANNEL_CLIENTID","SALONLN","4","N","","Online","1"<endrec>
"CHANNEL_CLIENTID","SALOTHR","10","N","","Other","1"<endrec>
"CLAWBACK_REASON_LIST","1","1","N","","Clawback For Fraud Transaction","1"<endrec>
"CLAWBACK_REASON_LIST","2","2","N","","Clawback For System Wrong","1"<endrec>
"COM.STATUS","10","1","N","","New","1"<endrec>
"COM.STATUS","11","2","N","","Active","1"<endrec>
"COM.STATUS","12","3","N","","Suspend","1"<endrec>
"COM.STATUS","13","4","N","","Closed","1"<endrec>
"COM.STATUS","14","5","N","","Capped","1"<endrec>
"COM.STATUS","15","6","N","","Dormant","1"<endrec>
"COMMISSION_INVOICE_EXTRAS","0","1","N","","Summary Breakdown","1"<endrec>
"COMMISSION_INVOICE_EXTRAS","1","2","N","","Detailed Breakdown","1"<endrec>
"COMMISSION_INVOICE_FILE_TYPE","1","1","N","","HTML","1"<endrec>
"COMMISSION_INVOICE_FILE_TYPE","2","2","N","","PDF","1"<endrec>
"COMMISSION_INVOICE_FILE_TYPE","3","3","N","","Excel","1"<endrec>
"COMMISSION_INVOICE_STATUS","0","1","N","","Cancelled","1"<endrec>
"COMMISSION_INVOICE_STATUS","1","2","N","","Active","1"<endrec>
"CONFIGURATION_DATA_TABLES_LIST","1","1","N","","CPS_TRANSACTION_TYPE","1"<endrec>
"CONFIGURATION_DATA_TABLES_LIST","2","2","N","","CPS_REASON_TYPE","1"<endrec>
"CONFIGURATION_DATA_TABLES_LIST","3","3","N","","CPS_ACCOUNT_TYPE","1"<endrec>
"CONFIGURATION_DATA_TABLES_LIST","4","4","N","","CPS_CHARGE_TYPE","1"<endrec>
"CONFIGURATION_DATA_TABLES_LIST","5","5","N","","CPS_CHARGE_PROFILE","1"<endrec>
"CONFIGURATION_DATA_TABLES_LIST","6","6","N","","CPS_SERVICE_INFO","1"<endrec>
"CONFIGURATION_DATA_TABLES_LIST","7","7","N","","CPS_PRODUCT_INFO","1"<endrec>
"CONFIGURATION_DATA_TABLES_LIST","8","8","N","","CPS_NC_ENTITY","1"<endrec>
"CONFIGURATION_ITEMS_LIST","1","1","N","","Transaction Type","1"<endrec>
"CONFIGURATION_ITEMS_LIST","10","10","N","","Limit Type","1"<endrec>
"CONFIGURATION_ITEMS_LIST","11","11","N","","Rule Profile","1"<endrec>
"CONFIGURATION_ITEMS_LIST","2","2","N","","Reason Type","1"<endrec>
"CONFIGURATION_ITEMS_LIST","3","3","N","","Account Type","1"<endrec>
"CONFIGURATION_ITEMS_LIST","4","4","N","","Charge Type","1"<endrec>
"CONFIGURATION_ITEMS_LIST","5","5","N","","Charge Profile","1"<endrec>
"CONFIGURATION_ITEMS_LIST","6","6","N","","Service","1"<endrec>
"CONFIGURATION_ITEMS_LIST","7","7","N","","Product","1"<endrec>
"CONFIGURATION_ITEMS_LIST","8","8","N","","Notification Type","1"<endrec>
"CONFIGURATION_ITEMS_LIST","9","9","N","","Limit Rule","1"<endrec>
"CONTACT_ID_TYPE","01","1","Y","","National ID","1"<endrec>
"CONTACT_ID_TYPE","05","5","Y","","Passport","1"<endrec>
"CONTACT_ID_TYPE","Alien ID","7","Y","","Alien ID","1"<endrec>
"CONTACT_ID_TYPE","Diplomatic ID","8","Y","","Diplomatic ID","1"<endrec>
"CONTACT_ID_TYPE","Military ID","6","Y","","Military ID","1"<endrec>
"CONTACT_ID_TYPE","National ID","1","Y","","National ID","1"<endrec>
"CONTACT_ID_TYPE","Passport","5","Y","","Passport","1"<endrec>
"CPS.ACCESS.CHANNEL","01","1","N","","Web","1"<endrec>
"CPS.ACCESS.CHANNEL","02","2","N","","Handset","1"<endrec>
"CPS.ACCESS.CHANNEL","03","3","N","","API","1"<endrec>
"CPS.ACCESS.PROTOCOL","HTTP","4","N","","HTTP","1"<endrec>
"CPS.ACCESS.PROTOCOL","HTTP+JSON","7","N","","HTTP+JSON","1"<endrec>
"CPS.ACCESS.PROTOCOL","HTTP+XML","5","N","","HTTP+XML","1"<endrec>
"CPS.ACCESS.PROTOCOL","RCOMM","6","N","","RCOMM","1"<endrec>
"CPS.ACCESS.PROTOCOL","SDP","2","N","","SDP","1"<endrec>
"CPS.ACCESS.PROTOCOL","SMPP","3","N","","SMPP","1"<endrec>
"CPS.ACCESS.PROTOCOL","SOAP","1","N","","SOAP","1"<endrec>
"CPS.ACCOUNT.BALANCE.DIRECTION","1","1","N","","Negative","1"<endrec>
"CPS.ACCOUNT.BALANCE.DIRECTION","2","2","N","","Positive","1"<endrec>
"CPS.ACCOUNT.LINK.TYPE","1","1","N","","Commission Account of Pay MNO","1"<endrec>
"CPS.ACCOUNT.SELECT.LEVEL","1001","1","N","","Level1","1"<endrec>
"CPS.ACCOUNT.SELECT.LEVEL","1002","2","N","","All Levels","1"<endrec>
"CPS.ACCOUNT.SELECT.LEVEL","1003","3","N","","Customized","1"<endrec>
"CPS.ACCOUNT.SELECT.LEVEL.TWO","1002","1","N","","All Levels","1"<endrec>
"CPS.ACCOUNT.SELECT.LEVEL.TWO","1003","2","N","","Customized","1"<endrec>
"CPS.ACCOUNT.STATUS","1000","1","N","","New","1"<endrec>
"CPS.ACCOUNT.STATUS","1002","2","N","","Active","1"<endrec>
