CATEGORY_ID,CUSTOMIZE_DISP_ORDER,DATA_DICT_KEY,DESCRIPTION,IS_EDITABLE,IS_VISIBLE,LOAD_DATA_TS,NAME,REG_EXP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"Others","","CONFIGURATION_ITEMS_LIST","The configuration items list that can be selected in GUI for querying.","N","N","","Configuration Items List",""<endrec>
"KYC","","CONTACT_ID_TYPE","Contact person ID type","Y","Y","","Contact person ID type",""<endrec>
"Others","","CPS.ACCESS.CHANNEL","Access Channel","N","N","","Access Channel",""<endrec>
"Others","","CPS.ACCESS.PROTOCOL","adapter access protocal","N","N","","CPS.ACCESS.PROTOCOL",""<endrec>
"Others","","CPS.ACCOUNT.BALANCE.DIRECTION","CPS.ACCOUNT.BALANCE.DIRECTION","N","N","","CPS.ACCOUNT.BALANCE.DIRECTION",""<endrec>
"Others","","CPS.ACCOUNT.LINK.TYPE","","N","N","","Account Link Type",""<endrec>
"Others","","CPS.ACCOUNT.SELECT.LEVEL","Account Select Level","N","N","","Account Select Level",""<endrec>
"Others","","CPS.ACCOUNT.SELECT.LEVEL.TWO","Account Select Level Two","N","N","","Account Select Level Two",""<endrec>
"Others","","CPS.ACCOUNT.STATUS","ACCOUNT.STATUS","N","N","","ACCOUNT.STATUS",""<endrec>
"Others","","CPS.ACCOUNTING.MODEL.TYPE","ACCOUNTING.MODEL.TYPE","N","N","","ACCOUNTING.MODEL.TYPE",""<endrec>
"Others","","CPS.ACCOUNTING.MODEL.TYPE1","ACCOUNTING.MODEL.TYPE1","N","N","","ACCOUNTING.MODEL.TYPE1",""<endrec>
"Others","","CPS.ACCOUNTING.UNITTYPE","CPS.ACCOUNTING.UNITTYPE","N","N","","CPS.ACCOUNTING.UNITTYPE",""<endrec>
"Others","","CPS.ACCOUNTING.USD","","N","N","","CPS.ACCOUNTING.USD",""<endrec>
"Others","","CPS.ACTION.LOG.STATUS","CPS.ACTION.LOG.STATUS","N","N","","CPS.ACTION.LOG.STATUS",""<endrec>
"Others","","CPS.ACTION.TRANSTYPE","Action Transaction Type","N","N","","Action Transaction Type",""<endrec>
"Others","","CPS.ADMIN.ACCESS.ACCESSTYPE","Admin Access Access Type","N","N","","Admin Access Access Type",""<endrec>
"Others","","CPS.ADMIN.ACCESS.CHANNELTYPE","Admin Access Channel Type","N","N","","Admin Access Channel Type",""<endrec>
"Others","","CPS.ADMIN.ACCESSCHANNEL.STATUS","Admin Access Channel Status","N","N","","Admin Access Channel Status",""<endrec>
"Others","","CPS.ADMIN.ACCOUNT.UNIT","CPS.ADMIN.ACCOUNT.UNIT","N","N","","CPS.ADMIN.ACCOUNT.UNIT",""<endrec>
"Others","","CPS.ADMIN.ACCOUNTTYPE.ACCOUNTANCY","CPS.ADMIN.ACCOUNTTYPE.ACCOUNTANCY","N","N","","CPS.ADMIN.ACCOUNTTYPE.ACCOUNTANCY",""<endrec>
"Others","","CPS.ADMIN.ACCOUNTTYPE.ACCOUNTUNIT","Admin Account Type Account Unit","N","N","","Admin Account Type Account Unit",""<endrec>
"Others","","CPS.ADMIN.ACCOUNTTYPE.APPLIEDTO","CPS.ADMIN.ACCOUNTTYPE.APPLIEDTO","N","N","","CPS.ADMIN.ACCOUNTTYPE.APPLIEDTO",""<endrec>
"Others","","CPS.ADMIN.ACCOUNTTYPE.CATEGORY","Admin Account Type Category","N","N","","Admin Account Type Category",""<endrec>
"Others","","CPS.ADMIN.ACCOUNTTYPE.CATEGORYCONTROL","Admin Account Type Category Control","N","N","","Admin Account Type Category Control",""<endrec>
"Others","","CPS.ADMIN.ACCOUNTTYPE.NEGATIVE","CPS.ADMIN.ACCOUNTTYPE.NEGATIVE","N","N","","CPS.ADMIN.ACCOUNTTYPE.NEGATIVE",""<endrec>
"Others","","CPS.ADMIN.ACCOUNTTYPE.REALTIMEUPDATE","CPS.ADMIN.ACCOUNTTYPE.REALTIMEUPDATE","N","N","","CPS.ADMIN.ACCOUNTTYPE.REALTIMEUPDATE",""<endrec>
"Others","","CPS.ADMIN.ACCOUNTTYPE.SHARABLE","CPS.ADMIN.ACCOUNTTYPE.SHARABLE","N","N","","CPS.ADMIN.ACCOUNTTYPE.SHARABLE",""<endrec>
"Others","","CPS.ADMIN.ACCOUNTTYPE.SHAREABLE","CPS.ADMIN.ACCOUNTTYPE.SHAREABLE","N","N","","CPS.ADMIN.ACCOUNTTYPE.SHAREABLE",""<endrec>
"Others","","CPS.ADMIN.ACCUM.TXN.CREDIT.FILTER.TYPE","CPS.ADMIN.ACCUM.TXN.CREDIT.FILTER.TYPE","N","N","","CPS.ADMIN.ACCUM.TXN.CREDIT.FILTER.TYPE",""<endrec>
"Others","","CPS.ADMIN.ACCUM.TXN.DEBIT.FILTER.TYPE","CPS.ADMIN.ACCUM.TXN.DEBIT.FILTER.TYPE","N","N","","CPS.ADMIN.ACCUM.TXN.DEBIT.FILTER.TYPE",""<endrec>
"Others","","CPS.ADMIN.ACCUMULATOR.CYCLE","Accumulator Cycle","N","N","","CPS.ADMIN.ACCUMULATOR.CYCLE",""<endrec>
"Others","","CPS.ADMIN.ACCUMULATOR.FILTER.TYPE","Accumulator filter type","N","N","","CPS.ADMIN.ACCUMULATOR.FILTER.TYPE",""<endrec>
"Others","","CPS.ADMIN.ACCUMULATOR.SELECT","CPS.ADMIN.ACCUMULATOR.SELECT","N","N","","CPS.ADMIN.ACCUMULATOR.SELECT",""<endrec>
"Others","","CPS.ADMIN.ACCUMULATOR.SUBJECT","Accumulator Subject","N","N","","CPS.ADMIN.ACCUMULATOR.SUBJECT",""<endrec>
"Others","","CPS.ADMIN.ACCUMULATOR.TYPE","Admin Accumulator Type","Y","Y","","Admin Accumulator Type",""<endrec>
"Others","","CPS.ADMIN.ACCUMULATOR.VALUE.TYPE","Accumulator Value Type","N","N","","CPS.ADMIN.ACCUMULATOR.VALUE.TYPE",""<endrec>
"Others","","CPS.ADMIN.PROTOCOL.ADDRTON","CPS.ADMIN.PROTOCOL.ADDRTON","N","N","","CPS.ADMIN.PROTOCOL.ADDRTON",""<endrec>
"Others","","CPS.ADMIN.PROTOCOL.NPI","CPS.ADMIN.PROTOCOL.NPI","N","N","","CPS.ADMIN.PROTOCOL.NPI",""<endrec>
"Others","","CPS.ADPT.ALIAS","adapter alias","Y","Y","","CPS.ADPT.ALIAS",""<endrec>
"Others","Y","CPS.AG.ISO8583.FIELDS","ISO8583 Fields","N","N","","ISO8583 Fields",""<endrec>
"Others","Y","CPS.AG.OUTBOUND.MESSAGE.PROTOCOL","Outbound Message Protocol","N","N","","Outbound Message Protocol",""<endrec>
"Others","","CPS.AG.OUTBOUND.ORGANIZATION.TYPE","List of organization type used for configuration the outbound information on AG.","N","N","","Ag Outbound Organization Type",""<endrec>
"Others","","CPS.ALLOW.CONFIRM.TWO.PARTY","CPS.ALLOW.CONFIRM.TWO.PARTY","N","N","","CPS.ALLOW.CONFIRM.TWO.PARTY",""<endrec>
"Others","","CPS.AMLDATA.EXTRACTIONMODE","CPS.AMLDATA.EXTRACTIONMODE","N","N","","CPS.AMLDATA.EXTRACTIONMODE",""<endrec>
"Others","","CPS.AMLDATA.MONTH","CPS.AMLDATA.MONTH","N","N","","CPS.AMLDATA.MONTH",""<endrec>
"Others","","CPS.AMLDATA.PERIODTYPE","CPS.AMLDATA.PERIODTYPE","N","N","","CPS.AMLDATA.PERIODTYPE",""<endrec>
"Others","","CPS.AMLDATA.SCHEDULETYPE","CPS.AMLDATA.SCHEDULETYPE","N","N","","CPS.AMLDATA.SCHEDULETYPE",""<endrec>
"Others","","CPS.AMLDATA.TASKMODE","CPS.AMLDATA.TASKMODE","N","N","","CPS.AMLDATA.TASKMODE",""<endrec>
"Others","","CPS.AMLDATA.TASKPROCESSSTATUS","CPS.AMLDATA.TASKPROCESSSTATUS","N","N","","CPS.AMLDATA.TASKPROCESSSTATUS",""<endrec>
"Others","","CPS.AMLDATA.TASKTYPE","CPS.AMLDATA.TASKTYPE","N","N","","CPS.AMLDATA.TASKTYPE",""<endrec>
"Others","","CPS.AMLDATA.TRANSSTATUS","CPS.AMLDATA.TRANSSTATUS","N","N","","CPS.AMLDATA.TRANSSTATUS",""<endrec>
"Others","","CPS.API.APICALLER.WHETHER_SEND_NOTIFICATION","","N","N","","Whether to send notification",""<endrec>
"Others","","CPS.API.CALLER.KEY.TYPE","CPS.API.CALLER.KEY.TYPE","N","N","","CPS.API.CALLER.KEY.TYPE",""<endrec>
"Others","","CPS.API.ENCRYPTION.ALGORITHM","The encription algorithm will be used in Generic API to encrypt the sensitive data.","N","N","","API Encryption Algorithm",""<endrec>
"Others","","CPS.API.EXTRACT.RESULT","","N","N","","Extract Result",""<endrec>
"Others","","CPS.API.EXTRACT.TRIGGER_MODEL","","N","N","","Trigger Model",""<endrec>
"Others","","CPS.APICALLER.ENCRYPTION.ALGORITHM","CPS.APICALLER.ENCRYPTION.ALGORITHM","N","N","","CPS.APICALLER.ENCRYPTION.ALGORITHM",""<endrec>
"Others","","CPS.APPLY_ATM_VOUCHER_TYPE","","N","Y","","Apply ATM Voucher Type",""<endrec>
"Others","","CPS.ARCHIVE.ARCHIVEDATE","Archive Date","N","N","","Archive Date",""<endrec>
"Others","","CPS.ARCHIVE.MANUAL.DELETE.STATUS","Archive Manual Delete Status","N","N","","Archive Manual Delete Status",""<endrec>
"Others","","CPS.ARCHIVE.RUNLOGS.EXECSTATUS","","N","N","","Archive Runlogs Execstatus",""<endrec>
"Others","","CPS.ARCHIVE.SUBFUNCSTATUS","Archive Sub Function Status","N","N","","Archive Sub Function Status",""<endrec>
"Others","","CPS.ARCHIVE.TABLELOGS.DELSTATUS","","N","N","","Tablelogs Del Status",""<endrec>
"Others","","CPS.ARCHIVE.TABLELOGS.TRANSFERSTATUS","","N","N","","Tablelogs Transfer Status",""<endrec>
"Others","","CPS.ASSIGNMENT.INDENTITY.TYPE","Assignment Identity Type","N","N","","Assignment Identity Type",""<endrec>
"Others","","CPS.AUDIT.LOG.CONFIG_TIME","CONFIG TIME","N","N","","CONFIG TIME",""<endrec>
"Others","","CPS.AUDITLOG.EVENTTYPE","CPS.AUDITLOG.EVENTTYPE","N","N","","CPS.AUDITLOG.EVENTTYPE",""<endrec>
"Others","","CPS.AUDITLOG.EVENTTYPE.ACCOUNTMNG","CPS.AUDITLOG.EVENTTYPE.ACCOUNTMNG","N","N","","CPS.AUDITLOG.EVENTTYPE.ACCOUNTMNG",""<endrec>
"Others","","CPS.AUDITLOG.EVENTTYPE.CONFIGURATIONMNG","CPS.AUDITLOG.EVENTTYPE.CONFIGURATIONMNG","N","N","","CPS.AUDITLOG.EVENTTYPE.CONFIGURATIONMNG",""<endrec>
"Others","","CPS.AUDITLOG.EVENTTYPE.CUSTOMERCARE","CPS.AUDITLOG.EVENTTYPE.CUSTOMERCARE","N","N","","CPS.AUDITLOG.EVENTTYPE.CUSTOMERCARE",""<endrec>
"Others","","CPS.AUDITLOG.EVENTTYPE.FINANCIALRECON","CPS.AUDITLOG.EVENTTYPE.FINANCIALRECON","N","N","","CPS.AUDITLOG.EVENTTYPE.FINANCIALRECON",""<endrec>
"Others","","CPS.AUDITLOG.EVENTTYPE.IDENTITYMNG","CPS.AUDITLOG.EVENTTYPE.IDENTITYMNG","N","N","","CPS.AUDITLOG.EVENTTYPE.IDENTITYMNG",""<endrec>
"Others","","CPS.AUDITLOG.EVENTTYPE.QUERY","CPS.AUDITLOG.EVENTTYPE.QUERY","N","N","","CPS.AUDITLOG.EVENTTYPE.QUERY",""<endrec>
"Others","","CPS.AUDITLOG.EVENTTYPE.SECURITY","CPS.AUDITLOG.EVENTTYPE.SECURITY","N","N","","CPS.AUDITLOG.EVENTTYPE.SECURITY",""<endrec>
"Others","","CPS.AUDITLOG.EVENTTYPE.TASK","CPS.AUDITLOG.EVENTTYPE.TASK","N","N","","CPS.AUDITLOG.EVENTTYPE.TASK",""<endrec>
"Others","","CPS.AUDITLOG.EVENTTYPE.TRANSACTION","CPS.AUDITLOG.EVENTTYPE.TRANSACTION","N","N","","CPS.AUDITLOG.EVENTTYPE.TRANSACTION",""<endrec>
"Others","","CPS.AUDITLOG.IDENTITY.TYPE","CPS.AUDITLOG.IDENTITY.TYPE","N","N","","CPS.AUDITLOG.IDENTITY.TYPE",""<endrec>
"Others","","CPS.AUDITLOG.INITIATORTYPE","CPS.AUDITLOG.INITIATORTYPE","N","N","","CPS.AUDITLOG.INITIATORTYPE",""<endrec>
"Others","","CPS.AUDITLOG.QUERY.DETAIL.DOWNLOAD.SENSITIVE","CPS.AUDITLOG.QUERY.DETAIL.DOWNLOAD.SENSITIVE","N","N","","CPS.AUDITLOG.QUERY.DETAIL.DOWNLOAD.SENSITIVE",""<endrec>
"Others","","CPS.AUDITLOG.QUERY.DOWNLOADED.SENSITIVE","CPS.AUDITLOG.QUERY.DOWNLOADED.SENSITIVE","N","N","","CPS.AUDITLOG.QUERY.DOWNLOADED.SENSITIVE",""<endrec>
"Others","","CPS.AUDITLOG.QUERY.INFOMATION.TYPE","CPS.AUDITLOG.QUERY.INFOMATION.TYPE","N","N","","CPS.AUDITLOG.QUERY.INFOMATION.TYPE",""<endrec>
"Others","","CPS.AUDIT_LOG.TRANSACTION.INITIATOR","CPS.AUDIT_LOG.TRANSACTION.INITIATOR","N","N","","CPS.AUDIT_LOG.TRANSACTION.INITIATOR",""<endrec>
"Others","","CPS.AUDIT_LOG.TRASACTION.INITIATE_DEVICE_TYPE","CPS.AUDIT_LOG.TRASACTION.INITIATE_DEVICE_TYPE","N","N","","CPS.AUDIT_LOG.TRASACTION.INITIATE_DEVICE_TYPE",""<endrec>
"Others","","CPS.AUTOSWEEPPLAN.STATUS","The status name and value list of auto sweep plan.","N","N","","CPS.AUTOSWEEPPLAN.STATUS",""<endrec>
"Others","","CPS.AutoSweepMode","CPS Auto Sweep Mode to KYC","N","Y","","CPS Auto Sweep Mode",""<endrec>
"Others","","CPS.BANK.CARDSERVICE","Bank Card Service","N","N","","CPS.BANK.CARDSERVICE",""<endrec>
"Others","","CPS.BANK.IDENTIFER","CPS.BANK.IDENTIFER","N","N","","CPS.BANK.IDENTIFER",""<endrec>
"Others","","CPS.BANK.IDENTIFIER_TYPE","Bank Identifier Type","N","N","","Bank Identifier Type",""<endrec>
"Others","","CPS.BANK.LINK.TYPE","CPS.BANK.LINK.TYPE","N","N","","CPS.BANK.LINK.TYPE",""<endrec>
"Others","","CPS.BANK.LOCK.STATUS","","N","N","","Bank Lock Status",""<endrec>
"Others","","CPS.BASICCONFIG.PERIODUNIT","Basic Config Period Unit","N","N","","Basic Config Period Unit",""<endrec>
"Others","","CPS.BASIC_DATA_PARA","Basic Data Parameters","N","N","","Basic Data Parameters",""<endrec>
"Others","","CPS.BC.INTERVAL.UNIT","CPS.BC.INTERVAL.UNIT","N","N","","CPS.BC.INTERVAL.UNIT",""<endrec>
"Others","","CPS.BC.ISSUEMODE","CPS.BC.ISSUEMODE","N","N","","CPS.BC.ISSUEMODE",""<endrec>
"Others","","CPS.BC.MONTH","CPS.BC.MONTH","N","N","","CPS.BC.MONTH",""<endrec>
"Others","","CPS.BC.WEEK","CPS.BC.WEEK","N","N","","CPS.BC.WEEK",""<endrec>
"Others","","CPS.BO.COMPLETED.MODE","CPS.BO.COMPLETED.MODE","N","N","","CPS.BO.COMPLETED.MODE",""<endrec>
"Others","","CPS.BO.EVENT.SOURCE","CPS.BO.EVENT.SOURCE","N","N","","CPS.BO.EVENT.SOURCE",""<endrec>
"Others","","CPS.BO.EVENT_SOURCE","Event Source","N","N","","Event Source",""<endrec>
"Others","","CPS.BO.INITIATOR.IDENTITY.TYPE","CPS.BO.INITIATOR.IDENTITY.TYPE","N","N","","CPS.BO.INITIATOR.IDENTITY.TYPE",""<endrec>
"Others","","CPS.BO.RECEIVER.IDENTITY.TYPE","CPS.BO.RECEIVER.IDENTITY.TYPE","N","N","","CPS.BO.RECEIVER.IDENTITY.TYPE",""<endrec>
"Others","","CPS.BO.STATUS","CPS.BO.STATUS","N","N","","CPS.BO.STATUS",""<endrec>
"Others","","CPS.BRAND.NAME","Brand Name","N","N","","Brand Name",""<endrec>
"Transaction","","CPS.BS.BUSINESSCATEGORY","Business Category","Y","Y","","Business Category",""<endrec>
"Others","","CPS.BULK.FILETYPE","CPS BULK FILE TYPE","N","Y","","CPS BULK FILE TYPE",""<endrec>
"Others","","CPS.BULK.ISSUEMODE","","N","N","","CPS.BULK.ISSUEMODE",""<endrec>
"Others","","CPS.BULK.STATUS","bulk status","Y","Y","","bulk status",""<endrec>
"Others","","CPS.BULK.TASK.STATUS","Bulk Task Status","N","N","","Bulk Task Status",""<endrec>
"Others","","CPS.BULK_FILE_ELEMENT_TYPE","File Element Type","N","N","","File Element Type",""<endrec>
"Others","","CPS.BUNDLE.ASSIGING.TYPE","Provides the value list of bundle assigning mode, one is suscritpion, th other is awarding.","N","N","","Bundle Assigning Type",""<endrec>
"Transaction","","CPS.BUNDLE.ASSIGNING.TYPE","Bundle assigning type list used for indicate the assign mode for each bundle. Subscription mode means identity should purchase by pay the bundle price. Awarding mode measns this bundle will be presented if the identity consumed some services.","N","N","","CPS.BUNDLE.ASSIGNING.TYPE",""<endrec>
"Transaction","","CPS.BUNDLE.ASSIGNMENT.IDENTITY.TYPE","Bundle Assignment Identity Type","N","N","","Bundle Assignment Identity Type",""<endrec>
"Others","","CPS.BUNDLE.CATEGORY","Bundle Category","N","N","","Bundle Category",""<endrec>
"Transaction","Y","CPS.BUNDLE.DURATION.UNIT","Bundle Duration Unit","N","N","","Bundle Duration Unit",""<endrec>
"Others","","CPS.BUNDLE.EFFECTIVEMODE","Effective Mode","N","N","","Effective Mode","Effective Mode"<endrec>
"Transaction","","CPS.BUNDLE.ELEMENT.TYPE","Bundle element type used for bundle internal element configuration.","N","N","","Bundle Element Type",""<endrec>
"Others","","CPS.BUNDLE.ELEMENT_EXT_TYPE","External Element Type","Y","Y","","External Element Type",""<endrec>
"Transaction","","CPS.BUNDLE.RENEWAL.MODE","CPS.BUNDLE.RENEWAL.MODE","N","N","","CPS.BUNDLE.RENEWAL.MODE",""<endrec>
"Transaction","","CPS.BUNDLE.TYPE","Bundle type list used for bundle configuration.","N","N","","Bundle Type",""<endrec>
"Others","","CPS.BUSINESS.GROUP.BULK_TYPE","Bulk Type","N","N","","Bulk Type",""<endrec>
"Others","","CPS.BUSINESS.SCOPE","Business Scope","N","N","","Business Scope",""<endrec>
"Others","","CPS.C2B.DATAFILE","CPS.C2B.DATAFILE","N","N","","CPS.C2B.DATAFILE",""<endrec>
"Others","","CPS.CARD.MANAGEMENT.CARD.STATUS","","N","N","","Card Management Card Status",""<endrec>
"Others","","CPS.CARD.MANAGEMENT.HOLDER.TYPE","","N","N","","Card Management HolderType",""<endrec>
"Others","","CPS.CERTIFICATE.SN.SOURCE","CPS.CERTIFICATE.SN.SOURCE","N","N","","CPS.CERTIFICATE.SN.SOURCE",""<endrec>
"Others","","CPS.CHANGE.CUSTOMER.STATUS.REASON","Change Customer Status Reason","Y","Y","","Change Customer Status Reason",""<endrec>
"Others","","CPS.CHANGE.GROUP.STATUS.REASON","Change Group Status Reason","Y","Y","","Change Group Status Reason",""<endrec>
"Others","","CPS.CHARGE.CATEGORY","Charge Category","N","N","","Charge Category",""<endrec>
"Others","","CPS.CHARGE.CLAUSE","CPS.CHARGE.CLAUSE","N","N","","CPS.CHARGE.CLAUSE",""<endrec>
"Others","","CPS.CHARGE.CURRENCY","Charge Currency","N","N","","Charge Currency",""<endrec>
"Others","","CPS.CHARGE.OPERATOR.FLAG","CPS.CHARGE.OPERATOR.FLAG","N","N","","CPS.CHARGE.OPERATOR.FLAG",""<endrec>
"Others","","CPS.CHARGE.PARTY","Charge Party","N","N","","Charge Party",""<endrec>
"Others","","CPS.CHARGE.TYPE.PARTY","Charge Party Type","N","N","","Charge Party Type",""<endrec>
"Others","","CPS.CHARGE.TYPE.PARTY2","Charge Party Type 2","N","N","","Charge Party Type 2",""<endrec>
"Others","","CPS.CHARGE.TYPE.PARTY3","Charge Party Type 3","N","N","","Charge Party Type 3",""<endrec>
"Others","","CPS.CHARGE.TYPE.PARTY4","Charge Party Type 4","N","N","","Charge Party Type 4",""<endrec>
"Others","","CPS.CHARGE.TYPE.PAYER.RECEIVER","CPS.CHARGE.TYPE.PAYER.RECEIVER","N","N","","CPS.CHARGE.TYPE.PAYER.RECEIVER",""<endrec>
"Others","","CPS.CHARGETYPE.EFFECTIVE.MODE","CHARGETYPE.EFFECTIVE.MODE","N","N","","CHARGETYPE.EFFECTIVE.MODE",""<endrec>
"Others","","CPS.CHARGE_PROFILE.DICT.BAND_MODE","","N","N","","CPS.CHARGE_PROFILE.DICT.BAND_MODE",""<endrec>
"Others","","CPS.CHARGE_PROFILE.DICT.TARIFF_MODE","","N","N","","CPS.CHARGE_PROFILE.DICT.TARIFF_MODE",""<endrec>
"Others","","CPS.CHARGE_TYPE.DICT.ACTION_CATEGORY","","N","N","","CPS.CHARGE_TYPE.DICT.ACTION_CATEGORY",""<endrec>
"Others","","CPS.CHARGE_TYPE.DICT.CATEGORY","","N","N","","CPS.CHARGE_TYPE.DICT.CATEGORY",""<endrec>
"Others","","CPS.CMS.CLAWBACK.HISTORY.STATUS","CPS.CMS.CLAWBACK.HISTORY.STATUS","N","N","","CPS.CMS.CLAWBACK.HISTORY.STATUS",""<endrec>
"Others","","CPS.CMS.HISTORY.STATUS","CPS.CMS.HISTORY.STATUS","N","N","","CPS.CMS.HISTORY.STATUS",""<endrec>
"Others","","CPS.CMS.PAYMENT.STATUS","CPS.CMS.PAYMENT.STATUS","N","N","","CPS.CMS.PAYMENT.STATUS",""<endrec>
"Others","","CPS.CNS.FLAG.STATUS","CNS KYC flag Status","N","N","","CNS KYC Flag Status",""<endrec>
"Others","","CPS.CNS.SUSPENSION.FLAG","The status of cusotmer CNS capability","N","N","","CPS.CNS.SUSPENSION.FLAG",""<endrec>
"Others","","CPS.COMMISSION.CLAWBACK.TYPE","CPS.COMMISSION.CLAWBACK.TYPE","N","N","","CPS.COMMISSION.CLAWBACK.TYPE",""<endrec>
"Others","","CPS.COMMISSION.HIERCOMMISSIONSTATUS","CPS.COMMISSION.HIERCOMMISSIONSTATUS","N","N","","CPS.COMMISSION.HIERCOMMISSIONSTATUS",""<endrec>
"Others","","CPS.COMMISSION.SETTLEMENT.CYCLE","Commission Settlement Cycle","N","N","","CPS.COMMISSION.SETTLEMENT.CYCLE",""<endrec>
"Others","","CPS.COMMON.AG.DATATYPE","Datatype of Service Parameter","N","N","","Datatype of Service Parameter",""<endrec>
"Others","","CPS.COMMON.AG.GETTINGTYPE","","N","N","","AG Getting Type",""<endrec>
"Others","","CPS.COMMON.AG.HANDLEMODULE","Handle Module of Service","N","N","","Handle Module of Service",""<endrec>
"Others","","CPS.COMMON.AG.INTERFACECODE","InterfaceCode","N","Y","","InterfaceCode",""<endrec>
"Others","","CPS.COMMON.AG.MAPPINGTYPE","Mapping type of Service Parameter","N","N","","Mapping type of Service Parameter",""<endrec>
"Others","","CPS.COMMON.AG.MERGING.CONVERTORID","CPS.COMMON.AG.MERGING.CONVERTORID","N","N","","CPS.COMMON.AG.MERGING.CONVERTORID",""<endrec>
"Others","","CPS.COMMON.AG.VALIDATIONTYPE","Validator Type of Service Parameter","N","N","","Validator Type of Service Parameter",""<endrec>
"Others","","CPS.COMMON.AG.VALIDATIONTYPE.URL","","N","N","","URL Validator",""<endrec>
"Others","","CPS.COMMON.AUDIT.LOG.INITIATOR_TYPE","CPS.COMMON.AUDIT.LOG.INITIATOR_TYPE","N","N","","CPS.COMMON.AUDIT.LOG.INITIATOR_TYPE",""<endrec>
"Others","","CPS.COMMON.BOTEPPARA","","N","N","","BO Tep Parameter",""<endrec>
"Others","","CPS.COMMON.GOABOPARA","","N","N","","GOA BO Parameter",""<endrec>
"Others","","CPS.COMMON.GOAPARA","GOA Request Parameter List","N","Y","","GOA Request Parameter List",""<endrec>
"Others","","CPS.COMMON.IDENTIFIER_TYPE","Identifier Type","N","N","","Identifier Type",""<endrec>
"Others","Y","CPS.COMMON.KYC_ROLE_TYPE","Common KYC Role Type","N","Y","","Common KYC Role Type",""<endrec>
"Others","","CPS.COMMON.OPERATOR.STATUS","Common Operator Status","N","N","","Common Operator Status",""<endrec>
"Others","","CPS.COMMON.STATUS","Common Status","N","N","","Common Status",""<endrec>
"Others","","CPS.COMMON.TEPPARA","TEP Parameter List","N","Y","","TEP Parameter List",""<endrec>
"Others","","CPS.COMMON.USED.STATUS","Common Used Status","N","N","","Common Used Status",""<endrec>
"Others","","CPS.COMMON.WEEK","Common Week","N","N","","Common Week",""<endrec>
