CATEGORY_KEY,DATA_TYPE,DEFAULT_VALUE,DISPLAY_TYPE,FIELD_DESCRIPTION,FIELD_NAME,FILE_SUFFIX,INPUT4REGISTRATION,KYC_FIELD_ID,LOAD_DATA_TS,LOCALIZATION_FLAG,MAX_FILE_SIZE,MIN_FILE_SIZE,MODIFY_FLAG,READ_ONLY,STATUS,VALIDATION_EXPRESSION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                <endrec>
"CPS_USR_10002","06","","04","Gender","Gender","","","110946","2016-07-13 03:03:16.000000","0","","","1","0","02",""<endrec>
"","01","","00","Address line 4","Address line 4","","","111046","2018-12-18 02:37:22.000000","0","","","1","0","02",""<endrec>
"","01","","00","Address  line 4","Address  line 4","","","111056","2016-11-04 09:24:04.000000","0","","","1","0","03",""<endrec>
"","01","","00","","ContactSecond Name","","","111146","2016-11-28 08:41:09.000000","0","","","1","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","ContactSurname","","","111156","2016-11-28 08:41:09.000000","0","","","1","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","ContactID Number","","","111166","2016-11-28 08:41:08.000000","0","","","1","0","02","^([0-9A-Za-z]{4,20})$"<endrec>
"CPS_USR_10031","06","Normal","04","","CNS Suspend Status","","","111246","2017-03-09 19:20:02.000000","0","","","1","0","02",""<endrec>
"CPS_USR_1006","06","02","04","","CNS Initiator Blocked","","","111256","2017-03-09 19:20:03.000000","0","","","1","0","02",""<endrec>
"CPS_USR_1006","06","02","04","","CNS Receiver Blocked","","","111266","2017-03-09 19:20:02.000000","0","","","1","0","02",""<endrec>
"CPS_USR_10001","06","01","01","","CNS Receiver Flag","","","111276","2017-03-09 19:20:02.000000","0","","","1","0","02",""<endrec>
"CPS_USR_10001","06","01","01","","CNS Initiator Flag","","","111286","2017-03-09 19:20:01.000000","0","","","1","0","02",""<endrec>
"","04","","02","","AutoTest","","","111376","2017-03-27 15:11:04.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest321","","","111396","2017-03-28 10:41:09.000000","1","","","1","0","03",""<endrec>
"","04","","02","","AutoTest802","","","111426","2017-03-27 16:22:49.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest096","","","111556","2017-04-28 10:49:45.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest208","","","111656","2017-05-17 16:44:36.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest987","","","111756","2017-06-27 18:42:45.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest075","","","111836","2017-06-29 11:58:51.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest256","","","112056","2017-06-29 18:42:30.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest406","","","112156","2017-06-30 18:23:36.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest546","","","112186","2017-07-03 19:13:01.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest962","","","112216","2017-07-03 22:51:17.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest402","","","112256","2017-07-21 11:57:43.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest735","","","112266","2017-07-21 12:01:52.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest429","","","112276","2017-07-21 12:09:11.000000","0","","","1","0","03",""<endrec>
"","04","","02","","DOB","","","112346","2019-01-17 07:00:30.000000","0","","","1","0","02",""<endrec>
"","04","","02","","AutoTest428","","","112456","2017-09-12 17:12:59.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest235","","","112556","2017-11-13 09:23:53.000000","0","","","1","0","01",""<endrec>
"","04","","02","","123","","","112646","2018-10-29 10:27:38.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest_123","","","112666","2017-11-20 11:10:21.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest026","","","112756","2017-12-27 13:46:17.000000","0","","","1","0","01",""<endrec>
"","04","","02","","AutoTest570","","","112846","2017-12-28 03:52:52.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest699","","","112956","2018-05-13 14:50:07.000000","0","","","1","0","03",""<endrec>
"CPS_USR_10041","06","1","01","","OTP Status","","","113046","2018-05-21 04:45:01.000000","0","","","1","0","02",""<endrec>
"","04","","02","","AutoTest210","","","113156","2018-06-06 15:35:28.000000","0","","","1","0","03",""<endrec>
"","07","","06","testpicturekyc","testpicturekyc","JPEG|JPG","","113346","2018-08-08 04:41:16.000000","0","1000000","1000","1","0","02",""<endrec>
"","04","","02","","AutoTest922","","","113456","2018-09-19 18:27:21.000000","0","","","1","0","01",""<endrec>
"","04","","02","","AutoTest846","","","113546","2018-09-26 10:43:28.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest566","","","113666","2019-03-05 11:41:20.000000","0","","","1","0","03",""<endrec>
"","04","","02","","AutoTest308","","","113676","2019-03-05 11:44:15.000000","0","","","1","0","01",""<endrec>
"","04","","02","","AutoTest860","","","113686","2019-03-07 09:24:39.000000","0","","","1","0","01",""<endrec>
"","04","","02","","AutoTest106","","","114856","2019-08-16 11:21:05.000000","0","","","1","0","02",""<endrec>
"","04","","02","","AutoTest538","","","114876","2019-08-16 13:44:38.000000","0","","","1","0","03",""<endrec>
"CPS_SYS_CERTIFICATE_TYPE","06","","01","","Certificate Type","","","202","2015-09-17 05:41:39.000000","0","","","0","0","02",""<endrec>
"","01","","00","","Certificate Number","","","203","2015-09-17 05:41:39.000000","0","","","0","0","02","^([0-9A-Za-z]{4,16})$"<endrec>
"","04","","02","","Certificate Certified Date","","","204","2015-09-17 05:41:39.000000","1","","","0","0","02",""<endrec>
"","04","","02","","Certificate Expiry Date","","","205","2015-09-17 05:41:39.000000","1","","","0","0","02",""<endrec>
"KYC_VALUE_STATUS","06","","01","","Certificate Status","","","206","2016-04-15 18:23:12.934000","0","","","0","0","02",""<endrec>
"CPS_SYS_CONTACT_TYPE","06","","01","","Contact Type","","","302","2015-09-17 05:41:39.000000","0","","","0","0","02",""<endrec>
"","01","","00","","Contact First Name","","","303","2015-09-17 05:41:39.000000","0","","","0","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","Contact Second Name","","","304","2015-09-17 05:41:39.000000","0","","","0","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","Contact Surname","","","305","2015-09-17 05:41:39.000000","0","","","0","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","Contact Phone Number","","","306","2015-09-17 05:41:39.000000","0","","","0","0","02","^([\s\S]){0,255}$"<endrec>
"CONTACT_ID_TYPE","06","","01","","Contact ID Type","","","307","2015-09-17 05:41:39.000000","0","","","0","0","02",""<endrec>
"","01","","00","","Contact ID Number","","","308","2015-09-17 05:41:39.000000","0","","","0","0","02","^[\d\w\-\s\.]{0,32}$"<endrec>
"","01","","00","","Contact Email","","","309","","0","","","1","0","02","^([\.a-zA-Z0-9_-])+@([a-zA-Z0-9_-])+((\.[a-zA-Z0-9_-]{2,3}){1,2})$"<endrec>
"KYC_VALUE_STATUS","06","","01","","Contact Status","","","310","2016-04-15 18:23:12.934000","0","","","0","0","02",""<endrec>
"","01","","00","","Currency","","","406","","0","","","1","0","02",""<endrec>
