APPLIED_SCENARIO,CATEGORY,ERROR_CODE,ERROR_DESCRIPTION,ERROR_DESCRIPTION_I18N_ID,LOAD_DATA_TS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"2","AG","AG45302","A message for accessing the AG through a channel contains an empty parameter {0}.","",""<endrec>
"2","AG","AG45303","The format of parameter {0} is incorrect.","",""<endrec>
"2","AG","AG45304","Failed to decrypt the {0} parameter.","",""<endrec>
"2","AG","AG45305","Failed to convert the {0} parameter.","",""<endrec>
"2","AG","AG45306","The value of the {0} parameter is outside of the valid value range.","",""<endrec>
"2","AG","AG45307","The outgoing request is out of the validity period.","",""<endrec>
"2","AG","AG45308","The value of the KeyOwner parameter is invalid.","",""<endrec>
"2","AG","AG45309","Failed to query the identityTypeCode from IC.","",""<endrec>
"2","AG","AG45310","The customer has not logged in to the App.","",""<endrec>
"2","AG","AG45311","The login session has timed out.","",""<endrec>
"2","AG","AG45314","The verification code fails the verification. The entered verification code is incorrect.","",""<endrec>
"8","AG","AG45315","M-PESA is undergoing scheduled maintenance.","",""<endrec>
"2","AG","AG45499","The ISO8583 request message is invalid.","",""<endrec>
"2","AG","AG45500","The response for invoking the {1} service provided by {0} is incorrect: {2}","",""<endrec>
"3","AG","AG45501","Failed to generate a verification code. The system is busy or an internal error occurs.","",""<endrec>
"2","AG","AG45502","The structure version in the password obfuscation result must be a number of two digits.","",""<endrec>
"2","AG","AG45503","The obfuscation parameter must be set to a 4-digit string of letters and digits.","",""<endrec>
"2","AG","AG45504","The sequence number in the password obfuscation result must be a number of two digits.","",""<endrec>
"3","AG","AG45505","The length of the obfuscated password is incorrect.","",""<endrec>
"4","AG","AG45506","The timestamp during password obfuscation is inconsistent with that in the request.","",""<endrec>
"5","AG","AG45507","The ConversationID during password obfuscation is inconsistent with that in the request.","",""<endrec>
"2","AG","AG45515","The menu length is invalid.","",""<endrec>
"2","AG","AG45516","The SPID does not exist.","",""<endrec>
"2","AG","AG45517","The requst fails to be initiated because the destination URL is invalid.","",""<endrec>
"4","AG","AG45600","Transaction failed.","",""<endrec>
"2","AG","AG45700","Failed to send deliver_resp to the SMSC.","",""<endrec>
"2","AG","AG45701","Failed to send submit_sm to the SMSC.","",""<endrec>
"2","AG","AG45702","Failed to send the STK menu sending result to the BCS.","",""<endrec>
"2","AG","AG45703","A timeout occurs during STK menu sending.","",""<endrec>
"2","AG","AG45704","The third party sends a SOAP fault.","",""<endrec>
"2","AG","AG45705","No SOAP fault template is found in the template warehouse.","",""<endrec>
"2","AG","AG45706","Anti-tampering authentication failed.","",""<endrec>
"2","AG","AG45900","A configuration file to be loaded by the AG is in an incorrect format.","",""<endrec>
"2","AG","AG45901","The AG template is incorrectly configured.","",""<endrec>
"2","AG","AG45902","AG system parameter values are invalid.","",""<endrec>
"2","AG","AG45903","The destination URI is invalid.","",""<endrec>
"2","AG","AG45904","The value of CallerType is invalid.","",""<endrec>
"2","AG","AG45905","License verification fails because the current number of requests exceeds the total number of requests allowed to be received within a cycle.","",""<endrec>
"2","AG","AG45906","The certificate is invalid.","",""<endrec>
"2","AG","AG49000","No response is sent back within the specified period.","",""<endrec>
"15","AG","AG49001","No bank card is configured for the primary transaction party in the request.","",""<endrec>
"15","AG","AG49002","The organization mapping the primary transaction party''s bank does not match the receiving party.","",""<endrec>
"2","AG","AG49003","The image fails to be obtained.","",""<endrec>
"2","AG","AG49004","The format of the uploaded image is invalid.","",""<endrec>
"2","AG","AG49005","The size of the uploaded image is invalid.","",""<endrec>
"2","AG","AG49006","The image fails to be saved.","",""<endrec>
"2","AG","AG49007","The access message fails to be returned.","",""<endrec>
"2","AG","AG49008","The access message fails to be returned.","",""<endrec>
"2","AG","AG49009","The bill issuer fails to return bill info.","",""<endrec>
"2","AG","AG49012","The access message fails to be returned.","",""<endrec>
"2","AG","AG49013","The access message fails to be returned.","",""<endrec>
"2","AG","AG49014","The access message fails to be returned.","",""<endrec>
"4","AG","AG49015","The corresponding certificate serial number is not transferred on the client.","",""<endrec>
"4","AG","AG49016","The bill due date has expired.","",""<endrec>
"4","AG","AG49017","The bill has been paid.","",""<endrec>
"2","AG","AG49018","Since CNS Suspend Status is set to Suspended for the role, the function of modifying Disable CNS is unavailable.","",""<endrec>
"2","AG","AG49019","The eBus configuration of ISO8583 is incorrect in the data table CPS_ISO8583_LINK_CONF.","",""<endrec>
"2","AG","AG49020","The ISO8583 channel cannot send messages or receives third-party messages because the channel is in the sign-off state.","",""<endrec>
"2","AG","AG49021","The PROTOCOL of ISO8583is configured incorrectly.","",""<endrec>
"2","BTS","AG49022","Recharge failed because the balance will exceed the maximum balance!","",""<endrec>
"2","AG","AG49023","The subscriber is in Suspend status or is blacklisted.","",""<endrec>
"2","AG","AG49024","The subscriber number does not exist.","",""<endrec>
"2","AG","AG49025","Recharge fails. Because the recharge amount exceeds the amount of a single recharge.","",""<endrec>
"2","AG","AG49026","The subscriber number is idle or pool subscriber.","",""<endrec>
"2","AG","AG49028","The background throws the error message ""the UMC serialized session is invalid.""","",""<endrec>
"2","AG","AG49029","Please go to your nearest bKash agent to register in bKash.","",""<endrec>
"2","AG","AG49030","The Mobile Money order number field is empty. The possible cause is that the original transaction is being processed and is not yet completed yet.","",""<endrec>
"2","AG","AG49032","During serialization, an exception occurs when an object is converted into a file byte stream.","",""<endrec>
"1","AG","AG49033","The AML organization is returning AML check result.","",""<endrec>
"2","AG","AG49034","Failed to find the third party based on the customer's phone number.","",""<endrec>
"2","AG","AG49035","The AG failed to send a message to a third party.","",""<endrec>
"2","AG","AG49036","Response timed out after the AG sends a message to a third party.","",""<endrec>
"2","AG","AG49037","Third-party verification failed.","",""<endrec>
"2","AG","AG49038","The number of threads occupied by the API caller exceeds the threshold during peak hours and the Mobile Money system rejects messages.","",""<endrec>
"2","AG","AG_EXT1000","The new MPIN and confirmation MPIN are different.","",""<endrec>
"2","AG","AG_EXT1001","The format of specified PIN is incorrect.","",""<endrec>
"","AG","AG_EXT1002","NewPinMatchFailed","10104",""<endrec>
"","AG","AG_EXT1003","ATM- When the Agent No is invalid No sms is sent to the customer","10105",""<endrec>
"2","AG","AG_EXT1004","invalid request type","",""<endrec>
"","AG","AG_EXT1005","VSF missing","10031",""<endrec>
"","AG","AG_EXT9009","Pay back Loan Request Rejected","10231",""<endrec>
"8","BCS","BC50000","The {0} field is empty.","",""<endrec>
"8","BCS","BC50001","Fields are missing in the {0} line.","",""<endrec>
"8","BCS","BC50003","The SFTP operation failed.","",""<endrec>
"8","BCS","BC50004","The SFTP operation failed.","",""<endrec>
"8","BCS","BC51108","The {0} field is empty.","",""<endrec>
"8","BCS","BC51125","Fields are missing in the {0} line.","",""<endrec>
"8","BCS","BC51128","The task is cancelled by an operator and will not be executed.","",""<endrec>
"8","BCS","BC51131","The amount in the {0} line is incorrect.","",""<endrec>
"8","BCS","BC51137","The system supports only bulk files in the TXT, CSV, or XML formats.","",""<endrec>
"8","BCS","BC51138","The {1} field in the bulk file must be unique.","",""<endrec>
"8","BCS","BC52002","The format of the XML file is incorrect.","",""<endrec>
"8","BCS","BC52003","Failed to load the bulk file.","",""<endrec>
"8","BCS","BC52004","The bulk task is in the Failed state and cannot be cancelled.","",""<endrec>
"8","BCS","BC52005","All valid records have been sent to the BCS module for processing. The bulk task cannot be cancelled or suspended.","",""<endrec>
"8","BCS","BC52014","The number of tasks in the execution time slot selected for the bulk task has reached the upper limit.","",""<endrec>
"8","BCS","BC52015","The task is interrupted by an exception.","",""<endrec>
"8","BCS","BC52017","Operation failed.","",""<endrec>
"8","BCS","BC52018","The operation failed.","",""<endrec>
"8","BCS","BC52019","The task is not in the running state.","",""<endrec>
"8","BCS","BC52020","The task cannot be resumed again.","",""<endrec>
"8","BCS","BC52021","The number of valid records must be greater than 0.","",""<endrec>
"8","BCS","BC52022","The length of the plan name exceeds the upper limit.","",""<endrec>
"8","BCS","BC52023","The length of the plan description exceeds the upper limit.","",""<endrec>
"8","BCS","BC52027","The bulk plan has expired before being approved, and the bulk data in the bulk plan has been deleted from the system.","",""<endrec>
"8","BCS","BC52029","The operation failed.","",""<endrec>
"8","BCS","BC52032","The task is being executed, but the execution time has exceeded the configured validity period. Task execution times out.","",""<endrec>
"8","BCS","BC52037","Select an available execution time.","",""<endrec>
"8","BCS","BC52038","The bulk plan has expired before being approved, and the bulk data in the bulk plan has been deleted from the system.","",""<endrec>
"8","BCS","BC52043","The organization has not subscribed to the service.","",""<endrec>
"8","BCS","BC52046","The operator has no permission to use the service.","",""<endrec>
"8","BCS","BC52048","Select an available execution time.","",""<endrec>
"8","BCS","BC52052","A bulk task plan cannot be created for the {0} organization.","",""<endrec>
"8","BCS","BC52053","Failed to cancel the bulk task plan.","",""<endrec>
"8","BCS","BC52054","The bank is not associated with a control account.","",""<endrec>
"8","BCS","BC52055","Failed to obtain the execution time.","",""<endrec>
"8","BCS","BC52056","The operator is not found.","",""<endrec>
"8","BCS","BC52057","The operator has no permission to perform the current operation.","",""<endrec>
"8","BCS","BC52060","The bank is not associated with a control account.","",""<endrec>
"8","BCS","BC52061","The task will never be executed.","",""<endrec>
"8","BCS","BC52062","All records are invalid.","",""<endrec>
"8","BCS","BC52063","The short code scenario in the xml file is incorrect.","",""<endrec>
"8","BCS","BC52064","The task status has changed.","",""<endrec>
"8","BCS","BC52065","No schedule configuration is found for the bank account.","",""<endrec>
"8","BCS","BC52067","The short code and reference number must be different.","",""<endrec>
"8","BCS","BC52068","The short code scenario in the xml file is incorrect.","",""<endrec>
"8","BCS","BC52069","Failed to check the CRC of the bulk file.","",""<endrec>
"8","BCS","BC52070","The name of the uploaded file is too long.","",""<endrec>
"6","BCS","BC52071","The bulk task to be approved is rejected by the approver. The bulk task is failed.","",""<endrec>
"8","BCS","BC52072","Failed to download the bulk template file from the BCS for the {0} task type.","",""<endrec>
"8","BCS","BC52073","Failed to check the cyclic redundancy code (CRC) of the bulk file.","",""<endrec>
"8","BCS","BC52074","The path length generated for the bulk file exceeds {0}.","",""<endrec>
"6","BCS","BC52075","The bulk task to be approved is rejected by the approver. The bulk task is failed.","",""<endrec>
"8","BCS","BC52076","The file name cannot contain the slash character (/).","",""<endrec>
"8","BCS","BC52077","The {0} file does not exist and cannot be downloaded.","",""<endrec>
"8","BCS","BC52078","The path length generated for the bulk file exceeds {0}.","",""<endrec>
"8","BCS","BC52079","TPS is set to 0, and there is no available time slot to be assigned.","",""<endrec>
"8","BCS","BC52080","Trial calculation failed for the transaction amount of a bulk task, resulting in a bulk task failure.","",""<endrec>
"8","BCS","BC52081","Bulk data fails to be processed.","",""<endrec>
"8","BCS","BC52082","The {2} field in line {0} and line {1} are set to the same value.","",""<endrec>
"8","BCS","BC52083","The system cannot find a task type for the uploaded bulk file.","",""<endrec>
"8","BCS","BC52084","The system cannot find the task type specified in the uploaded bulk file.","",""<endrec>
"6","BCS","BC52085","Failed to authenticate the initiator information and failed to initiate a bulk task through the API.","",""<endrec>
"6","BCS","BC52086","The length of the record in line {0} has exceeded the upper limit {1} configured for the database field.","",""<endrec>
"6","BCS","BC52087","Failed to query bulk tasks because the system database or the BCS is abnormal.","",""<endrec>
"6","BCS","BC52088","When a bulk task is initiated through the API, the system fails to decrypt a bulk file from a third-party system or encrypt a bulk task execution result file.","",""<endrec>
"6","BCS","BC52089","The approval task has expired. The bulk task is failed.","",""<endrec>
"6","BCS","BC52090","Data verification fails during bulk-task creation.","",""<endrec>
"8","BCS","BC52091","An execution record already exists in the current data. The task cannot be executed again.","",""<endrec>
"8","BCS","BC52092","An initiator in {0} state cannot initiate a bulk task. Only initiators in active state can initiate a bulk task.","",""<endrec>
"8","BCS","BC52093","The currency parameter is incorrect in the batch request.","",""<endrec>
"6","BCS","BC52094","The bulk file size exceeds the maximum.","",""<endrec>
"6","BCS","BC52095","The number of records in the bulk file exceeds the maximum.","",""<endrec>
"2","BTS","BC52096","The bulk file validator of the task type {0} cannot be found. Verification cannot be initiated.","",""<endrec>
"2","BTS","BC52097","The request convertor of the task type {0} cannot be found. The bulk task fails to be executed.","",""<endrec>
"2","BTS","BC52100","System task {0} fails to load data.","",""<endrec>
"2","BCS","BC60001","The bulk file is invalid. Error message: {0}","",""<endrec>
"2","BTS","BC60003","In {0}, the value of {1} must not be shorter than {2}.","",""<endrec>
"2","BTS","BC60004","In {0}, the value of {1} must not be longer than {2}.","",""<endrec>
"2","BTS","BC60005","The {0} field is mandatory.","",""<endrec>
"2","BTS","BC60006","The {0} parameter must be set to a numeral.","",""<endrec>
"2","BTS","BC60007","In the {0}, the value of {1} must be a long integer.","",""<endrec>
"2","BTS","BC60008","In {0}, the value of {1} must not be less than {2}.","",""<endrec>
"2","BTS","BC60009","In {0}, the value of {1} must not be greater than {2}.","",""<endrec>
"2","BTS","BC60010","The date format is incorrect.","",""<endrec>
"2","BTS","BC60011","In {0}, the value must be set to {1}.","",""<endrec>
"2","BTS","BC60012","The file content lacks root node {0}.","",""<endrec>
"2","BTS","BC60013","The content under {0} is empty.","",""<endrec>
"2","BTS","BC60014","The bulk file fails to be verified because the number of fields in the {0} record is incorrect.","",""<endrec>
"2","BTS","BC60015","There are duplicate fields in the bulk file.","",""<endrec>
"2","BTS","BC60016","System error.","",""<endrec>
"2","BTS","BC60017","The content of the bulk file is incorrect.","",""<endrec>
"2","BTS","BC60018","The bulk file is invalid. Error message: {0}.","",""<endrec>
"2","BTS","BC61000","The denomination of the current product ID {0} is incorrectly configured and fails to be verified.","",""<endrec>
"2","BCS","BCS176","No PIN is available.","",""<endrec>
"2","BCS","BCS177","At least one KYC field must be set.","",""<endrec>
"2","BTS","BCS50001","The incentive rule does not exist.","",""<endrec>
"2","BTS","BCS50002","The incentive rule has expired.","",""<endrec>
"2","BTS","BCS50003","The incentive rule is not released.","",""<endrec>
"2","BTS","BCS50004","The subscriber has subscribed to the incentive rule.","",""<endrec>
"2","BCS","BCS50005","The requested incentive payment detail information does not exist.","",""<endrec>
"2","BTS","BCS50006","Parameters in the incentive file import request are incorrect.","",""<endrec>
"2","BTS","BCS50007","The organization does not exist.","",""<endrec>
"2","BTS","BCS50008","The file type configured for incentive file import does not exist.","",""<endrec>
"2","BTS","BCS50009","Failed to import the incentive statement.","",""<endrec>
"2","BTS","BCS50010","The current asynchronous task cannot be queried based on the order ID.","",""<endrec>
"2","BTS","BCS50011","No organization associated with the entered organization short code is found in the system.","",""<endrec>
"2","SWA","BCS50012","The location verification fails.","",""<endrec>
"2","","BCS50013","The MSISDN verification fails.","",""<endrec>
"2","BTS","BCS50014","The KYC field {1} of the organization whose short code is {0} is empty.","",""<endrec>
"2","BTS","BCS50015","The EFT file fails to be exported because the file name is the same as that of an existing EFT file on the SFTP server.","",""<endrec>
"2","BCS","BCS50016","The system receives a failure response from the third-party system and an AG policy is configured not to process this fault.","",""<endrec>
"2","BCS","BCS50017","The system receives a failure response from the third-party system, an AG policy is configured to reverse the transaction, and the reversal is successful.","",""<endrec>
"2","BCS","BCS50018","The system receives a failure response from the third-party system, an AG policy is configured to reverse the transaction, and the reversal fails.","",""<endrec>
"2","BCS","BCS50019","The third-party system fails to verify the recharge number.","",""<endrec>
"2","BCS","BCS50020","The manual payment fails.","",""<endrec>
"2","BCS","BCS50021","The operator fails to be closed because the operator has to-be-processed tasks.","",""<endrec>
"2","BCS","BCS50022","The organization fails to be closed because it has uncompleted commission roll-up tasks.","",""<endrec>
"2","BCS","BCS50024","The third-party system does not return an authentication result in a specified time period.","",""<endrec>
"2","BCS","BCS50025","The client ID or token is incorrect.","",""<endrec>
"2","BCS","BCS50026","The bank difference file fails to be imported.","",""<endrec>
"2","BCS","BCS50027","The bank difference file content exceeds the maximum value {0} configured in the system.","",""<endrec>
"2","BCS","BCS50028","The token verification session times out.","",""<endrec>
"4","BCS","BCS50029","The MSISDN of the organization operator fails to be modified.","",""<endrec>
"2","BCS","BCS50030","The entered value of {0} is {1}. The verification fails.","",""<endrec>
"2","BCS","BCS50031","The entered value of {0} is empty. The verification fails.","",""<endrec>
"2","BCS","BCS50032","The external error code contains the error code mapping and fails to be deleted.","",""<endrec>
"2","BCS","BCS50033","The entered KYC information is incorrect and the PIN fails to be reset.","",""<endrec>
"2","BCS","BCS50034","The PIN already exists and cannot be created again.","",""<endrec>
"2","BCS","BCS50035","The entered account does not exist.","",""<endrec>
"2","BCS","BCS50036","The query time period cannot be greater than {0} days.","",""<endrec>
"4","BCS","BCS50037","Transaction {0} is manually canceled by Bank Switching.","",""<endrec>
"2","BCS","BCS50038","The SetPIN operation cannot be initiated by non-registered customers.","",""<endrec>
"2","BCS","BCS50039","The SetPIN operation must be initiated by a registered customer in Pending Active state.","",""<endrec>
"2","BCS","BCS50040","The SetPIN operation cannot be initiated by a customer with a PIN.","",""<endrec>
"2","BCS","BCS50041","The transferred MSISDN cannot be empty.","",""<endrec>
"2","BCS","BCS50042","The organization loan service cannot be initiated because the O2Clink does not exist between the organization and customer.","",""<endrec>
"2","BCS","BCS50043","The loan transaction fails to be initiated because the loan denomination {0} is not supported.","",""<endrec>
"4","BCS","BCS50044","This error is reported when no switching bank information is queried.","",""<endrec>
"2","BCS","BCS50045","The MSISDN is mandatory.","",""<endrec>
"2","BCS","BCS50046","The receiver's PIN is not transferred.","",""<endrec>
"2","BCS","BCS50047","The PIN fails to be reset because the entered KYC information is incorrect.","",""<endrec>
"2","BCS","BCS50048","The account adjustment operation fails.","",""<endrec>
"2","BCS","BCS50049","The SN or UID already exists.","",""<endrec>
"2","BCS","BCS50050","The unlink operation fails because the current identity does not have the NFC tag information.","",""<endrec>
"2","BCS","BCS50051","The unlink operation fails to be initiated because the NFC tag where the UID is {0} is not the tag of the current identity.","",""<endrec>
"2","BCS","BCS50052","The primary party's PIN is not transferred.","",""<endrec>
"4","BCS","BCS50053","User {0} has not bound a bank account in the bank whose bank code is {1}.","",""<endrec>
"2","BCS","BCS50054","The Direct Debit Mandate has expired.","",""<endrec>
"2","BCS","BCS50055","If an identity is allowed to bind multiple bank cards of the same bank, the account information is mandatory.","",""<endrec>
"2","BCS","BCS50056","There is not only one of the StickerSerialNumber, StickerUID, and PhoneUID parameters is not empty.","",""<endrec>
"2","BCS","BCS50057","The transferred StickerSerialNumber parameter is in incorrect format.","",""<endrec>
"2","BCS","BCS50058","The transferred StickerUID parameter is in incorrect format.","",""<endrec>
"2","BCS","BCS50059","The transferred PhoneUID parameter is in incorrect format.","",""<endrec>
"2","BCS","BCS50060","The sticker to be associated does not exist.","",""<endrec>
"2","BCS","BCS50061","The sticker to be associated has been associated.","",""<endrec>
"2","BCS","BCS50062","The sticker to be associated was associated by another customer and can only be associated by the customer again.","",""<endrec>
"2","BCS","BCS50063","The entered phone UID has been associated.","",""<endrec>
"4","BCS","BCS50064","The entrusted deduction account {0} of the transaction is in {1} state and fails to be authenticated. The current service cannot be handled.","",""<endrec>
"4","BCS","BCS50065","The entrusted deduction identity {0} of the transaction is in {1} state and fails to be authenticated. The current service cannot be handled.","",""<endrec>
"2","BCS","BCS50066","The KYC attribute format is incorrect in the files uploaded in batches.","",""<endrec>
"14","BCS","BCS50067","The specified voucher does not exist or is in an invalid state.","",""<endrec>
"2","BCS","BCS50068","Failed to close {0}.","",""<endrec>
"2","BCS","BCS50069","The transfer transaction fails.","",""<endrec>
"2","BCS","BCS50070","The voucher of the voucher type cannot be redeemed.","",""<endrec>
"4","BCS","BCS50071","The current day is a holiday in the holiday table {0} and transactions cannot be initiated on the day.{0}:indicates the holiday name.","",""<endrec>
"15","BCS","BCS50072","The offline wallet to be activated already exists and is not in disabled state.","",""<endrec>
"15","BCS","BCS50073","The customer is not bound to a unique NFC sticker.","",""<endrec>
"15","BCS","BCS50074","The current offline wallet is not in enabled state.","",""<endrec>
"15","BCS","BCS50075","The current offline wallet does not support automatic recharge.","",""<endrec>
"4","BCS","BCS50076","The third-party system fails to be invoked during recharge transaction initiation.","",""<endrec>
"21","BCS","BCS50077","When an NFC tag is unlinked, an offline wallet that is not in disabled state exists.","",""<endrec>
"2","BCS","BCS50078","The Out Going service of the AG fails to be invoked.","",""<endrec>
"2","BCS","BCS50079","Owners cannot modify the KYC.","",""<endrec>
"2","BCS","BCS50080","The KYC does not need to be modified because the value is already the same as the expected one.","",""<endrec>
"2","BCS","BCS50081","The CNS function has been disabled for the initiator.","",""<endrec>
"2","BCS","BCS50082","The CNS function is disabled for the initiator.","",""<endrec>
"2","BCS","BCS50083","The CNS function has been disabled for the recipient.","",""<endrec>
"2","BCS","BCS50084","The recipient name cannot be queried.","",""<endrec>
"15","BCS","BCS50085","The identity fails to be closed.","",""<endrec>
"2","BCS","BCS50086","When a customer initiates a modification request, the modified Beneficiaryreference cannot be the same as the original Beneficiaryreference.","",""<endrec>
"2","BCS","BCS50087","When the beneficiary information is updated for a customer, the MSISDN of the beneficiary does not exist.","",""<endrec>
"2","BCS","BCS50088","An error is reported when an organization of the specified level is queried.","",""<endrec>
"4","BCS","BCS50089","The Promotion does not respond.","",""<endrec>
"15","BCS","BCS50090","During NFC linking, the identity already has an offline wallet that is not in disabled state.","",""<endrec>
"2","BCS","BCS50091","The transaction fails to be queried.","",""<endrec>
"21","BCS","BCS50092","When the Auto Topup status is modified for the offline wallet, the input parameter is incorrect.","",""<endrec>
"21","BCS","BCS50093","When the Auto Topup status is modified for the offline wallet, the offline wallet is not unique.","",""<endrec>
"2","BCS","BCS50094","The customer has activated an organization FSI product.","",""<endrec>
"8","BCS","BCS50095","The MNP operation fails.","",""<endrec>
"15","BCS","BCS50096","The offline wallet fails to be disabled.","",""<endrec>
"21","BCS","BCS50097","When the auto topup status is modified for the offline wallet, the entered value of AutoTopUp is not 0 or 1.","",""<endrec>
"2","BCS","BCS50098","{0} fails to be redeemed.
{0} indicates the coupon ID.","",""<endrec>
"4","BCS","BCS50099","The third-party system returns a message indicating that the SIM card fails to be initiated.","",""<endrec>
"2","BCS","BCS50100","This error is reported when coupons are rewarded to users manually or in batches but the reward fails because the initiator is not an SP operator.","",""<endrec>
"2","BCS","BCS50101","This error is reported when the state tag definition is queried based on the unique name of the state tag and the allocated identity type but the query result is empty.","",""<endrec>
"2","BCS","BCS50102","This error is reported when a state tag instance fails to be added for an identity because the state tag already exists.","",""<endrec>
"2","BCS","BCS50103","This error is reported when a state tag instance fails to be deleted for an identity because the state tag does not exist.","",""<endrec>
"4","BCS","BCS50104","This error is reported during offline transaction query if the initiator is a customer but the recipient is not a customer or the initiator and recipient are not the same customer.","",""<endrec>
"4","BCS","BCS50105","This error is reported during offline transaction query if the initiator is an SP but the recipient is not a customer.","",""<endrec>
"4","BCS","BCS50106","This error is reported during offline transaction query if the NFC link information of the queried customer does not exist.","",""<endrec>
"4","BCS","BCS50107","This error is reported during offline transaction query if the NFC sticker information of the queried customer does not exist.","",""<endrec>
"4","BCS","BCS50108","This error is reported during offline transaction query if the NFC sticker information of the queried customer is not unique.","",""<endrec>
"4","BCS","BCS50109","This error is reported during offline transaction query if the MQ is synchronously invoked to query the settlement system but an error occurs in the settlement system.","",""<endrec>
"4","BCS","BCS50110","This error is reported during offline transaction query if the MQ is synchronously invoked to query the settlement system but the MQ is abnormal.","",""<endrec>
"17","BCS","BCS50111","This error is reported when a settlement transaction is initiated in the settlement system but the bank short code is not entered.","",""<endrec>
"17","BCS","BCS50112","This error is reported when a settlement transaction is initiated in the settlement system but the bank corresponding to the entered bank short code does not exist.","",""<endrec>
"17","BCS","BCS50113","This error is reported when a settlement transaction is initiated in the settlement system but the bank control account corresponding to the entered bank short code does not exist.","",""<endrec>
"17","BCS","BCS50114","This error is reported when the code stream query is initiated in the reconciliation system but txnDate is not set.","",""<endrec>
"17","BCS","BCS50115","This error is reported when the code stream query is initiated in the reconciliation system but traceNumber is not set.","",""<endrec>
"17","BCS","BCS50116","This error is reported when the transaction status query is initiated in the settlement system but RequestId is not set.","",""<endrec>
"17","BCS","BCS50117","This error is reported when the transaction status query is initiated in the settlement system but RequestTime is not set.","",""<endrec>
"17","BCS","BCS50118","This error is reported when a settlement transaction is initiated in the settlement system but the settlement order does not exist.","",""<endrec>
"4","BCS","BCS50119","This error is reported when the SIM card status fails to be queried.","",""<endrec>
"4","BCS","BCS50120","This error is reported when the number of activated SIM cards fails to be queried.","",""<endrec>
"4","BCS","BCS50121","This error is reported if the Simponi bill amount fails to be queried.","",""<endrec>
"2","BCS","BCS50122","An unbound bank card or invalid bank card type  is used for initiating transactions.","",""<endrec>
"15","BCS","BCS50123","This error is reported when an initiator reverses a transaction that the initiator cannot reverse.","",""<endrec>
"15","BCS","BCS50124","This error is reported when a transaction is reversed but Org Operator is set to ReceiverParty.","",""<endrec>
"17","BCS","BCS50125","This error is reported when the transaction status query is initiated in the settlement system but the value of EventSource is not 20 or 21.","",""<endrec>
"17","BCS","BCS50126","This error is reported when the transaction status query is initiated in the settlement system but OriginalConversionID in the request is empty.","",""<endrec>
"17","BCS","BCS50127","This error is reported when a settlement transaction is initiated in the settlement system but the length of OriginalConversionID exceeds the maximum.","",""<endrec>
"17","BCS","BCS50128","This error is reported when the code stream query is initiated in the settlement system but the query result does not exist.","",""<endrec>
"17","BCS","BCS50129","This error is reported when the query is initiated in the settlement system but the value of channel is not 1012.","",""<endrec>
"17","BCS","BCS50130","This error is reported when the query is initiated in the settlement system but the format of request time is incorrect.","",""<endrec>
