COUNTRYCODE,IDENTITYTYPE,NUMBERBEGIN,NUMBEREND,NUMBERLENGTH,SUBTYPEID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   <endrec>
"","1000","40720011392","40720011392","11","1002"<endrec>
"","1000","40720011393","40720011393","11","1000"<endrec>
"","1000","40720011393","40720011393","11","1002"<endrec>
"","1000","40720011394","40720011394","11","1000"<endrec>
"","1000","40720011394","40720011394","11","1002"<endrec>
"","1000","40720011395","40720011395","11","1000"<endrec>
"","1000","40720011459","40720011459","11","1002"<endrec>
"","1000","40720011497","40720011497","11","1000"<endrec>
"","1000","40720011497","40720011497","11","1002"<endrec>
"","1000","40720011498","40720011499","11","1002"<endrec>
"","1000","40720011500","40720011500","11","1002"<endrec>
"","1000","40720011501","40720011501","11","1002"<endrec>
"","1000","40720011502","40720011502","11","1002"<endrec>
"","1000","40720011509","40720011509","11","1000"<endrec>
"","1000","40720011509","40720011509","11","1002"<endrec>
"","1000","40720011510","40720011510","11","1000"<endrec>
"","1000","40720011510","40720011512","11","1002"<endrec>
"","1000","40720011513","40720011513","11","1000"<endrec>
"","1000","40720011513","40720011513","11","1002"<endrec>
"","1000","40720011514","40720011520","11","1002"<endrec>
"","1000","40720011515","40720011515","11","1000"<endrec>
"","1000","40720011516","40720011516","11","1000"<endrec>
"","1000","40720011517","40720011517","11","1000"<endrec>
"","1000","40720011518","40720011518","11","1000"<endrec>
"","1000","40720011521","40720011521","11","1000"<endrec>
"","1000","40720011524","40720011524","11","1000"<endrec>
"","1000","40720011524","40720011524","11","1002"<endrec>
"","1000","40720011534","40720011534","11","1000"<endrec>
"","1000","40720011536","40720011536","11","1000"<endrec>
"","1000","40720011536","40720011536","11","1002"<endrec>
"","1000","40720011555","40720011555","11","1000"<endrec>
"","1000","40720011555","40720011555","11","1002"<endrec>
"","1000","40720011567","40720011567","11","1000"<endrec>
"","1000","40720011567","40720011567","11","1002"<endrec>
"","1000","40720011591","40720011591","11","1000"<endrec>
"","1000","40720011591","40720011591","11","1002"<endrec>
"","1000","40720011600","40720011620","11","1002"<endrec>
"","1000","40720011777","40720011777","11","1000"<endrec>
"","1000","40720011797","40720011797","11","1002"<endrec>
"","1000","40720011808","40720011808","11","1002"<endrec>
"","1000","40720011836","40720011836","11","1000"<endrec>
"","1000","40720011836","40720011836","11","1002"<endrec>
"","1000","40720011841","40720011841","11","1000"<endrec>
"","1000","40720011841","40720011841","11","1002"<endrec>
"","1000","40720011854","40720011854","11","1000"<endrec>
"","1000","40720011854","40720011854","11","1002"<endrec>
"","1000","40720011855","40720011855","11","1000"<endrec>
"","1000","40720011855","40720011855","11","1002"<endrec>
"","1000","40720011856","40720011856","11","1000"<endrec>
"","1000","40720011888","40720011888","11","1000"<endrec>
"","1000","40720011920","40720011920","11","1002"<endrec>
"","1000","40720011921","40720011921","11","1002"<endrec>
"","1000","40720011921","40720011924","11","1000"<endrec>
"","1000","40720011925","40720011925","11","1000"<endrec>
"","1000","40720011926","40720011926","11","1000"<endrec>
"","1000","40720011926","40720011930","11","1002"<endrec>
"","1000","40720011932","40720011932","11","1002"<endrec>
"","1000","40720011935","40720011935","11","1000"<endrec>
"","1000","40720011935","40720011935","11","1002"<endrec>
"","1000","40720011936","40720011936","11","1002"<endrec>
"","1000","40720011937","40720011937","11","1002"<endrec>
"","1000","40720011938","40720011938","11","1000"<endrec>
"","1000","40720011938","40720011938","11","1002"<endrec>
"","1000","40720011939","40720011939","11","1000"<endrec>
"","1000","40720011939","40720011939","11","1002"<endrec>
"","1000","40720011940","40720011940","11","1002"<endrec>
"","1000","40720011962","40720011962","11","1000"<endrec>
"","1000","40720011962","40720011962","11","1002"<endrec>
"","1000","40720011963","40720011963","11","1000"<endrec>
"","1000","40720011964","40720011964","11","1000"<endrec>
"","1000","40720011966","40720011966","11","1000"<endrec>
"","1000","40720011966","40720011966","11","1002"<endrec>
"","1000","40720011969","40720011969","11","1002"<endrec>
"","1000","40720011971","40720011971","11","1002"<endrec>
"","1000","40720011976","40720011976","11","1000"<endrec>
"","1000","40720011976","40720011976","11","1002"<endrec>
"","1000","40720011977","40720011977","11","1000"<endrec>
"","1000","40720011984","40720011984","11","1002"<endrec>
"","1000","40720011999","40720011999","11","1002"<endrec>
"","1000","40720012926","40720012926","11","1002"<endrec>
"","1000","4072001939","4072001939","10","1002"<endrec>
"","1000","40720102376","40720102376","11","1002"<endrec>
"","1000","40720102378","40720102378","11","1002"<endrec>
"","1000","40720102398","40720102398","11","1002"<endrec>
"","1000","40720102437","40720102437","11","1002"<endrec>
"","1000","40720102450","40720102450","11","1002"<endrec>
"","1000","40720102459","40720102459","11","1002"<endrec>
"","1000","40720102462","40720102462","11","1002"<endrec>
"","1000","40720102475","40720102475","11","1002"<endrec>
"","1000","40720102489","40720102489","11","1000"<endrec>
"","1000","40720102489","40720102489","11","1002"<endrec>
"","1000","40720102523","40720102523","11","1002"<endrec>
"","1000","40720102526","40720102526","11","1002"<endrec>
"","1000","40720102532","40720102532","11","1002"<endrec>
"","1000","40720111111","40720111111","11","1002"<endrec>
"","1000","40720111111","40720111119","11","1000"<endrec>
"","1000","40720111938","40720111938","11","1002"<endrec>
"","1000","4072011938","4072011938","10","1002"<endrec>
"","1000","40720222200","40720222201","11","1002"<endrec>
"","1000","40720223332","40720223332","11","1002"<endrec>
"","1000","40720223334","40720223334","11","1002"<endrec>
"","1000","40720223336","40720223336","11","1002"<endrec>
"","1000","40720224433","40720224442","11","1002"<endrec>
"","1000","407203000000","407203330000","12","1002"<endrec>
"","1000","40720320104","40720329104","11","1002"<endrec>
"","1000","40720329104","40720329104","11","1000"<endrec>
"","1000","40720329107","40720329107","11","1000"<endrec>
"","1000","40720329107","40720329108","11","1002"<endrec>
"","1000","40720330001","40720330002","11","1002"<endrec>
"","1000","40720331111","40720331111","11","1002"<endrec>
"","1000","40720331122","40720331122","11","1000"<endrec>
"","1000","40720331122","40720331122","11","1002"<endrec>
"","1000","40720331144","40720331199","11","1002"<endrec>
"","1000","40720331870","40720331880","11","1002"<endrec>
"","1000","40720331940","40720331940","11","1000"<endrec>
"","1000","40720331940","40720331940","11","1002"<endrec>
"","1000","40720331941","40720331941","11","1000"<endrec>
"","1000","40720331941","40720331941","11","1002"<endrec>
"","1000","40720331958","40720331958","11","1000"<endrec>
"","1000","40720331958","40720331958","11","1002"<endrec>
"","1000","40720331971","40720331971","11","1002"<endrec>
"","1000","40720331971","40720331972","11","1000"<endrec>
"","1000","40720331973","40720331973","11","1000"<endrec>
"","1000","40720331973","40720331973","11","1002"<endrec>
"","1000","40720331974","40720331974","11","1000"<endrec>
"","1000","40720331974","40720331974","11","1002"<endrec>
"","1000","40720332004","40720332004","11","1002"<endrec>
"","1000","40720332005","40720332005","11","1002"<endrec>
"","1000","40720332006","40720332006","11","1002"<endrec>
"","1000","40720332007","40720332007","11","1002"<endrec>
"","1000","40720332008","40720332008","11","1002"<endrec>
"","1000","40720332009","40720332009","11","1002"<endrec>
"","1000","40720332011","40720332011","11","1000"<endrec>
"","1000","40720332011","40720332011","11","1002"<endrec>
"","1000","40720332214","40720332214","11","1000"<endrec>
"","1000","40720332222","40720332222","11","1000"<endrec>
"","1000","40720332223","40720332223","11","1000"<endrec>
"","1000","40720332223","40720332223","11","1002"<endrec>
"","1000","40720332224","40720332224","11","1000"<endrec>
"","1000","40720332224","40720332224","11","1002"<endrec>
"","1000","40720332225","40720332225","11","1000"<endrec>
"","1000","40720332225","40720332225","11","1002"<endrec>
"","1000","40720332226","40720332236","11","1002"<endrec>
"","1000","40720332250","40720332253","11","1002"<endrec>
"","1000","40720332276","40720332276","11","1000"<endrec>
"","1000","40720332276","40720332276","11","1002"<endrec>
"","1000","40720332285","40720332285","11","1000"<endrec>
"","1000","40720332291","40720332291","11","1002"<endrec>
"","1000","40720332292","40720332292","11","1000"<endrec>
"","1000","40720332293","40720332293","11","1000"<endrec>
"","1000","40720332294","40720332294","11","1000"<endrec>
"","1000","40720332294","40720332294","11","1002"<endrec>
"","1000","40720332295","40720332295","11","1000"<endrec>
"","1000","40720332295","40720332295","11","1002"<endrec>
"","1000","40720332296","40720332296","11","1000"<endrec>
"","1000","40720332296","40720332296","11","1002"<endrec>
"","1000","40720332297","40720332297","11","1000"<endrec>
"","1000","40720332298","40720332298","11","1000"<endrec>
"","1000","40720332298","40720332298","11","1002"<endrec>
"","1000","40720332299","40720332299","11","1000"<endrec>
"","1000","40720332300","40720332305","11","1002"<endrec>
"","1000","40720332330","40720332330","11","1002"<endrec>
"","1000","40720332347","40720332347","11","1000"<endrec>
"","1000","40720332347","40720332347","11","1002"<endrec>
"","1000","40720332348","40720332348","11","1000"<endrec>
"","1000","40720332348","40720332348","11","1002"<endrec>
"","1000","40720332364","40720332364","11","1000"<endrec>
"","1000","40720332365","40720332365","11","1000"<endrec>
"","1000","40720332365","40720332365","11","1002"<endrec>
"","1000","40720332380","40720332380","11","1002"<endrec>
"","1000","40720332385","40720332385","11","1000"<endrec>
"","1000","40720332386","40720332386","11","1000"<endrec>
"","1000","40720332386","40720332386","11","1002"<endrec>
"","1000","40720332389","40720332389","11","1000"<endrec>
"","1000","40720332440","40720332440","11","1002"<endrec>
"","1000","407203329104","407203329104","12","1000"<endrec>
"","1000","40720333311","40720333311","11","1002"<endrec>
"","1000","40720334400","40720334405","11","1002"<endrec>
"","1000","40720334422","40720334423","11","1002"<endrec>
"","1000","40720334444","40720334444","11","1002"<endrec>
"","1000","40720334444","40720334450","11","1000"<endrec>
"","1000","40720334455","40720334460","11","1002"<endrec>
"","1000","40720334466","40720334470","11","1002"<endrec>
"","1000","40720334471","40720334472","11","1000"<endrec>
"","1000","40720334475","40720334476","11","1000"<endrec>
"","1000","40720334477","40720334479","11","1002"<endrec>
"","1000","40720334478","40720334479","11","1000"<endrec>
"","1000","40720334480","40720334481","11","1000"<endrec>
"","1000","40720334490","40720334491","11","1000"<endrec>
"","1000","40720334495","40720334496","11","1002"<endrec>
"","1000","40720334495","40720334497","11","1000"<endrec>
"","1000","40720334498","40720334498","11","1000"<endrec>
"","1000","40720334498","40720334498","11","1002"<endrec>
"","1000","40720334499","40720334499","11","1000"<endrec>
"","1000","40720334499","40720334499","11","1002"<endrec>
"","1000","40720335000","40720336000","11","1000"<endrec>
"","1000","40720335566","40720335570","11","1002"<endrec>
"","1000","4072033777","4072033777","10","1000"<endrec>
"","1000","40720339032","40720339032","11","1000"<endrec>
"","1000","40720340000","40720349999","11","1002"<endrec>
"","1000","40720345678","40720345679","11","1000"<endrec>
"","1000","40720403126","40720403126","11","1000"<endrec>
"","1000","40720403126","40720403126","11","1002"<endrec>
"","1000","40720411938","40720411938","11","1002"<endrec>
"","1000","40720432200","40720432300","11","1000"<endrec>
"","1000","40720442777","40720442777","11","1000"<endrec>
"","1000","40720443845","40720443846","11","1002"<endrec>
"","1000","40720444410","40720444420","11","1000"<endrec>
"","1000","40720483111","40720483111","11","1002"<endrec>
"","1000","40720492892","40720492895","11","1002"<endrec>
"","1000","40720492906","40720492906","11","1002"<endrec>
"","1000","40720493057","40720493057","11","1000"<endrec>
"","1000","40720493057","40720493057","11","1002"<endrec>
"","1000","40720493067","40720493067","11","1000"<endrec>
"","1000","40720493067","40720493067","11","1002"<endrec>
"","1000","40720493075","40720493075","11","1002"<endrec>
"","1000","40720493078","40720493078","11","1002"<endrec>
"","1000","40720493084","40720493084","11","1002"<endrec>
"","1000","40720493087","40720493087","11","1002"<endrec>
"","1000","40720493088","40720493088","11","1002"<endrec>
"","1000","40720493096","40720493096","11","1002"<endrec>
"","1000","40720493101","40720493102","11","1002"<endrec>
"","1000","40720493103","40720493103","11","1002"<endrec>
"","1000","40720493104","40720493105","11","1002"<endrec>
"","1000","40720493106","40720493106","11","1000"<endrec>
"","1000","40720493106","40720493106","11","1002"<endrec>
"","1000","40720493107","40720493107","11","1002"<endrec>
"","1000","40720493107","40720493108","11","1000"<endrec>
"","1000","40720493108","40720493108","11","1002"<endrec>
"","1000","40720493109","40720493109","11","1002"<endrec>
"","1000","40720493110","40720493110","11","1002"<endrec>
"","1000","40720493111","40720493111","11","1002"<endrec>
"","1000","40720493113","40720493113","11","1002"<endrec>
"","1000","40720493114","40720493114","11","1002"<endrec>
"","1000","40720936384","40720936384","11","1002"<endrec>
"","1000","4072111111111","4072111111111","13","1002"<endrec>
"","1000","40721111138","40721111138","11","1002"<endrec>
"","1000","40721111938","40721111938","11","1002"<endrec>
"","1000","40721111999","40721111999","11","1000"<endrec>
"","1000","40721111999","40721111999","11","1002"<endrec>
"","1000","40721250934","40721250934","11","1000"<endrec>
"","1000","40721250934","40721250934","11","1002"<endrec>
"","1000","40721250940","40721250940","11","1000"<endrec>
"","1000","40721250940","40721250940","11","1002"<endrec>
"","1000","40721250945","40721250945","11","1000"<endrec>
"","1000","40721250950","40721250950","11","1000"<endrec>
"","1000","40721250950","40721250950","11","1002"<endrec>
"","1000","40722334455","40722334455","11","1002"<endrec>
"","1000","40722717333","40722717333","11","1002"<endrec>
"","1000","40722942766","40722942766","11","1002"<endrec>
"","1000","40722942785","40722942785","11","1002"<endrec>
"","1000","40722981020","40722981020","11","1002"<endrec>
"","1000","40722981473","40722981473","11","1000"<endrec>
"","1000","40722981473","40722981473","11","1002"<endrec>
"","1000","40725826338","40725826338","11","1002"<endrec>
"","1000","40726266338","40726266338","11","1000"<endrec>
"","1000","40726266339","40726266339","11","1002"<endrec>
"","1000","40726266707","40726266707","11","1000"<endrec>
"","1000","40726266707","40726266707","11","1002"<endrec>
"","1000","407267000014","407267000014","12","1002"<endrec>
"","1000","40726700014","40726700014","11","1002"<endrec>
"","1000","40726700015","40726700015","11","1002"<endrec>
"","1000","40726700025","40726700025","11","1002"<endrec>
"","1000","40726777825","40726777825","11","1002"<endrec>
"","1000","40727519902","40727519902","11","1000"<endrec>
"","1000","40727519902","40727519902","11","1002"<endrec>
"","1000","40727520054","40727520054","11","1000"<endrec>
"","1000","40727520054","40727520054","11","1002"<endrec>
"","1000","40727520124","40727520124","11","1000"<endrec>
"","1000","40727520124","40727520124","11","1002"<endrec>
"","1000","40727520185","40727520185","11","1000"<endrec>
"","1000","40727520185","40727520185","11","1002"<endrec>
"","1000","40727520188","40727520188","11","1002"<endrec>
"","1000","40727520190","40727520190","11","1002"<endrec>
"","1000","40727520241","40727520241","11","1000"<endrec>
"","1000","40727520241","40727520241","11","1002"<endrec>
"","1000","40727520342","40727520342","11","1000"<endrec>
"","1000","40727520342","40727520342","11","1002"<endrec>
"","1000","40727520349","40727520349","11","1000"<endrec>
"","1000","40727520349","40727520349","11","1002"<endrec>
"","1000","40727520440","40727520441","11","1002"<endrec>
"","1000","40727520462","40727520462","11","1000"<endrec>
"","1000","40727520463","40727520463","11","1000"<endrec>
"","1000","40727520497","40727520497","11","1002"<endrec>
"","1000","40727520800","40727520900","11","1002"<endrec>
"","1000","40727520833","40727520833","11","1000"<endrec>
"","1000","40727520835","40727520835","11","1000"<endrec>
"","1000","40729331375","40729331375","11","1002"<endrec>
"","1000","40729331398","40729331398","11","1002"<endrec>
"","1000","40729332387","40729332387","11","1002"<endrec>
"","1000","40729533865","40729533865","11","1002"<endrec>
"","1000","40729911983","40729911983","11","1000"<endrec>
"","1000","40729911983","40729911983","11","1002"<endrec>
"","1000","40734567889","40734567889","11","1000"<endrec>
"","1000","40734567889","40734567889","11","1002"<endrec>
"","1000","40734567891","40734567891","11","1000"<endrec>
"","1000","40734567891","40734567891","11","1002"<endrec>
"","1000","40738629243","40738629243","11","1002"<endrec>
"","1000","40738637846","40738637846","11","1002"<endrec>
"","1000","407500119881","407500119881","12","1002"<endrec>
"","1000","407500119882","407500119890","12","1002"<endrec>
"","1000","407720011808","407720011808","12","1002"<endrec>
"","1000","40800000000","40900000000","11","1002"<endrec>
"","1000","440000000000","449999999999","12","1000"<endrec>
"","1000","447777777777","447777777777","12","1002"<endrec>
"","6000","254666555023","254666555023","12","0"<endrec>
"","6000","254666555024","254666555024","12","0"<endrec>
"","6000","254666555025","254666555025","12","0"<endrec>
"","6000","254666555026","254666555026","12","0"<endrec>
"","6000","254666555027","254666555027","12","0"<endrec>
"","6000","254666555028","254666555028","12","0"<endrec>
"","6000","254666555029","254666555029","12","0"<endrec>
"","6000","254666555030","254666555033","12","0"<endrec>
"","6000","254666555039","254666555039","12","0"<endrec>
"","6000","254700000000","254729999999","12","0"<endrec>
"","6000","254760000000","254769999999","12","0"<endrec>
"","6000","254790000000","254792999999","12","0"<endrec>
"","6000","40700000000","40799999999","11","0"<endrec>
"","6000","407203320041","407203320041","12","0"<endrec>
"","6000","407203320042","407203320042","12","0"<endrec>
"","6000","407203320043","407203320043","12","0"<endrec>
"","6000","407203320045","407203320046","12","0"<endrec>
"","6000","407233319401","407233319601","12","0"<endrec>
"","6000","407233319901","407233319901","12","0"<endrec>
