APPLY_SCENARIOS,CONFIDENTIAL_FLAG,DATA_TYPE,DESCRIPTION,FEATURE_CODE,IGNORE,MAX_LENGTH,MULTI_LANGUAGE_FLAG,VARIABLE_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                <endrec>
"00111111000000000000000000000000","0","1","Changed account, which is used in the notification sent after the account status list of an identity is modified.","","1","16","0","BOAction.ChangeAcctStatusList.Account.ChangedAccount"<endrec>
"00100000000000000000000000000000","0","1","Currency, which is used in the notification sent after the account status list of an identity is modified.","","1","3","0","BOAction.ChangeAcctStatusList.Account.Currency"<endrec>
"00111111000000000000000000000000","0","1","Name of a changed or added product. Used in the notifications when a customer changes a product.","","1","32","0","BOAction.ChangeProduct.ChangedOrAddedProductList.Product.Name"<endrec>
"00100000000000000000000000000000","0","1","Product list to be removed. The notification is sent when removing a product.","","1","64","0","BOAction.ChangeProduct.RemovedProductList"<endrec>
"00111111000000000000000000000000","0","1","Name of a deleted product. Used in the notifications when a customer changes a product.","","1","32","0","BOAction.ChangeProduct.RemovedProductList.Product.Name"<endrec>
"00100000000000000000000000000000","0","4","Reserved.","","1","10","0","BOAction.ChangeProducts.ChangedOrAddedProductAssignmentEffectDate"<endrec>
"00100000000000000000000000000000","0","4","Reserved.","","1","10","0","BOAction.ChangeProducts.ChangedOrAddedProductAssignmentExpiryDate"<endrec>
"00100000000000000000000000000000","0","6","Reserved.","","1","64","0","BOAction.ChangeProducts.ChangedOrAddedProductAssignmentList"<endrec>
"00100000000000000000000000000000","0","1","Reserved.","","1","64","1","BOAction.ChangeProducts.ChangedOrAddedProductAssignmentName"<endrec>
"00100000000000000000000000000000","0","1","Reserved.","","1","512","0","BOAction.ChangeProducts.ChangedOrAppendProducts"<endrec>
"00100000000000000000000000000000","0","6","Reserved.","","1","10","0","BOAction.ChangeProducts.RemovedProductAssignmentList"<endrec>
"00100000000000000000000000000000","0","1","Reserved.","","1","64","1","BOAction.ChangeProducts.RemovedProductAssignmentName"<endrec>
"00100000000000000000000000000000","0","1","Reserved.","","1","512","0","BOAction.ChangeProducts.RemovedProducts"<endrec>
"00100000000000000000000000000000","0","4","Reserved.","","1","10","0","BOAction.ChangeRole.ChangedOrAddedRoleAssignmentEffectDate"<endrec>
"00100000000000000000000000000000","0","4","Reserved.","","1","10","0","BOAction.ChangeRole.ChangedOrAddedRoleAssignmentExpiryDate"<endrec>
"00100000000000000000000000000000","0","6","Reserved.","","1","64","0","BOAction.ChangeRole.ChangedOrAddedRoleAssignmentList"<endrec>
"00100000000000000000000000000000","0","1","Reserved.","","1","64","1","BOAction.ChangeRole.ChangedOrAddedRoleAssignmentName"<endrec>
"00100000000000000000000000000000","0","1","Role list to be changed or added.  The notification is sent when changing a role.","","1","64","0","BOAction.ChangeRole.ChangedOrAddedRoleList"<endrec>
"00111111000000000000000000000000","0","1","Name of a changed or added role. Used in the notifications when a customer changes a role.","","1","32","0","BOAction.ChangeRole.ChangedOrAddedRoleList.Role.Name"<endrec>
"00100000000000000000000000000000","0","6","Reserved.","","1","10","0","BOAction.ChangeRole.RemovedRoleAssignmentList"<endrec>
"00100000000000000000000000000000","0","1","Reserved.","","1","64","1","BOAction.ChangeRole.RemovedRoleAssignmentName"<endrec>
"00100000000000000000000000000000","0","1","Role list to be removed.  The notification is sent when removing a role.","","1","64","0","BOAction.ChangeRole.RemovedRoleList"<endrec>
"00111111000000000000000000000000","0","1","Name of a deleted role. Used in the notifications when a customer changes a role.","","1","32","0","BOAction.ChangeRole.RemovedRoleList.Role.Name"<endrec>
"00100000000000000000000000000000","0","1","Reserved.","","1","16","0","BOAction.ChangedAccount"<endrec>
"00100000000000000000000000000000","0","1","Modified charge profile name, which is used in the notification sent after the charge profile of an identity is modified.","","0","256","1","BOAction.ChargeProfileName"<endrec>
"01110000000000000000000000000000","0","1","Child organization short code, which is used in the notification sent after a child organization is created.","","1","6","0","BOAction.ChildOrgShortCode"<endrec>
"00100000000000000000000000000000","0","1","Reserved.","","1","32","0","BOAction.ClosedDeviceMsisdn"<endrec>
"00100000000000000000000000000000","0","4","End time of the invoice settlement in BO action.","","1","10","0","BOAction.CommiInvEndDate"<endrec>
"00100000000000000000000000000000","0","4","Start time of the invoice settlement in BO action.","","1","10","0","BOAction.CommiInvStartDate"<endrec>
"00110000000000000000000000000000","0","1","List of all coupons, which is used in the notification sent by the Promotion system upon successful coupon reward.","","1","100","0","BOAction.CouponList"<endrec>
"00100000000000000000000000000000","0","1","Number of coupons in the coupon list in BO action.","","1","64","0","BOAction.CouponList.CouponInfo.CouponAmount"<endrec>
"00100000000000000000000000000000","0","1","Coupon ID in the coupon list in BO action.","","1","64","0","BOAction.CouponList.CouponInfo.CouponId"<endrec>
"00100000000000000000000000000000","0","1","Coupon type in the coupon list in BO action.","","1","64","0","BOAction.CouponList.CouponInfo.CouponType"<endrec>
"00100000000000000000000000000000","0","1","Effective time of a coupon in the coupon list in BO action.","","1","64","0","BOAction.CouponList.CouponInfo.EffectiveDate"<endrec>
"00100000000000000000000000000000","0","1","Expiration time of a coupon in the coupon list in BO action.","","1","64","0","BOAction.CouponList.CouponInfo.ExpiredDate"<endrec>
"00110000000000000000000000000000","0","1","List of non-drawing coupons, which is used in the notification sent by the Promotion system upon successful coupon reward.","","1","100","0","BOAction.CouponListWithoutDrawing"<endrec>
"00000010000000000000000000000000","0","1","Customer's credential type in BO action.","","1","8","0","BOAction.CredentialType"<endrec>
"00100000000000000000000000000000","1","3","Available credit limit after the credit limit is adjusted, which equals the available balance plus the credit limit.","","1","12","0","BOAction.CreditManagement.AvailableCreditBalance"<endrec>
"00100000000000000000000000000000","1","3","Credit limit after the credit limit is adjusted.","","1","12","0","BOAction.CreditManagement.CreditLimit"<endrec>
"00100000000000000000000000000000","0","1","Currency in BO action.","","1","3","0","BOAction.Currency"<endrec>
"00110010000000000000000010000000","0","1","MSISDN of a customer, which is used, for example, in the notification sent after a customer is created.","","1","18","0","BOAction.CustomerMsisdn"<endrec>
"00111110000000000000000010000000","0","1","Customer name, which is used, for example, in the notification sent after a customer is created.","","1","32","0","BOAction.CustomerName"<endrec>
"00100000000000000000000000000000","0","1","Customer status, which is used, for example, in the notification sent after a customer is created.","","1","16","0","BOAction.CustomerStatus"<endrec>
"00100000000000000000000000000000","0","1","Customer type, which is used, for example, in the notification sent after a customer is created.","","1","20","0","BOAction.CustomerTypeName"<endrec>
"00000010000000000000000000000000","0","1","Number of days before expiration in BO action.","","1","3","0","BOAction.DaysBeforeExpired"<endrec>
"00110000000000000000000000000000","1","3","the amount of OD debt. this parameter is used in the opt out","","1","12","0","BOAction.Debt"<endrec>
"00100000000000000000000000000000","0","1","Customer or till device status in BO action.","","1","9","0","BOAction.DeviceStatus"<endrec>
"00110000000000000000000000000000","0","2","End range of days in BO action in the Direct Debit Mandate operation.","","1","3","0","BOAction.DirectDebit.EndRangeOfDays"<endrec>
"00110000000000000000000000000000","0","4","First payment date in BO action in the Direct Debit Mandate operation.","","1","10","0","BOAction.DirectDebit.FirstPaymentDate"<endrec>
"00110000000000000000000000000000","0","1","Frequency in BO action in the Direct Debit Mandate operation.","","1","32","0","BOAction.DirectDebit.Frequency"<endrec>
"00110000000000000000000000000000","0","1","Mandate ID in BO action in the Direct Debit Mandate operation.","","1","32","0","BOAction.DirectDebit.MandateID"<endrec>
"00110000000000000000000000000000","0","1","Payee in BO action in the Direct Debit Mandate operation.","","1","32","0","BOAction.DirectDebit.Payee"<endrec>
"00110000000000000000000000000000","0","1","Payee account name in BO action in the Direct Debit Mandate operation.","","1","64","0","BOAction.DirectDebit.PayeeAccountName"<endrec>
"11110000000000000000000000000000","0","1","Payee Short Code in BO action in the Direct Debit transaction.","","1","6","0","BOAction.DirectDebit.PayeeShortCode"<endrec>
"00110000000000000000000000000000","0","1","Payer in BO action in the Direct Debit Mandate operation.","","1","32","0","BOAction.DirectDebit.Payer"<endrec>
"00110000000000000000000000000000","0","1","Payer account name in BO action in the Direct Debit Mandate operation.","","1","64","0","BOAction.DirectDebit.PayerAccountName"<endrec>
"00110000000000000000000000000000","0","1","Payer unique reference number in BO action in the Direct Debit Mandate operation.","","1","256","0","BOAction.DirectDebit.PayerUniqueReferencenumber"<endrec>
"00110000000000000000000000000000","0","4","End date in BO action in the Direct Debit Mandate operation.","","1","10","0","BOAction.DirectDebit.RangeDaysEnd"<endrec>
"00110000000000000000000000000000","0","4","Start date in BO action in the Direct Debit Mandate operation.","","1","10","0","BOAction.DirectDebit.RangeDaysStart"<endrec>
"00110000000000000000000000000000","0","2","Start range of days in BO action in the Direct Debit Mandate operation.","","1","3","0","BOAction.DirectDebit.StartRangeOfDays"<endrec>
"00110000000000000000000000000000","0","1","Mandate's status in BO action in the Direct Debit Mandate operation.","","1","64","0","BOAction.DirectDebit.Status"<endrec>
"01000000000010000000000000000000","0","4","Transaction date in BO action in the Direct Debit Mandate operation.","","1","10","0","BOAction.DirectDebit.TransationDate"<endrec>
"00110000000000000000000000000000","0","1","Number of drawing-type coupons, which is used in the notification sent by the Promotion system upon successful coupon reward.","","1","100","0","BOAction.DrawingCouponAmount"<endrec>
"00100000000000000000000000000000","0","1","Temporary freezing duration.","","1","10","0","BOAction.Duration"<endrec>
"00100000000000000000000000000000","0","1","Unit of the temporary freezing duration, for example, minute, hour, and day.","","1","10","0","BOAction.DurationUnit"<endrec>
"00111111000000000000000000000000","0","1","KYC name, which is used in the notification sent after the KYC list is error.","","1","64","0","BOAction.ErrorKYCList.KYC.ErrorKYCName"<endrec>
"00111111000000000000000000000000","0","1","KYC value, which is used in the notification sent after the KYC list is error.","","1","64","0","BOAction.ErrorKYCList.KYC.ErrorKYCValue"<endrec>
"00110000000000000000000000000000","0","1","BO Action error message. It is a converted error message sent to the user after a service operation fails.","","1","512","0","BOAction.ErrorMessage"<endrec>
"01000111000000000000000000000000","0","4","Notification sending date, which is used in the notification sent when the organization revenue settlement fails to be executed.","","1","10","0","BOAction.ExcuteDate"<endrec>
"01000111000000000000000000000000","0","5","Notification sending time, which is used in the notification sent when the organization revenue settlement fails to be executed.","","1","32","0","BOAction.ExecuteTime"<endrec>
"11110000000000000000000000000000","0","1","the error code which three-party return when create identity or change identity KYC.","","1","256","0","BOAction.ExternalErrorCode"<endrec>
"00110000000000000000000000000000","0","6","FF number of customer, it's a list parameter","","0","100","0","BOAction.FFNumber"<endrec>
"00110000000000000000000000000000","0","6","Reserved.","","0","100","0","BOAction.FSIInfo"<endrec>
"00100000000000000000000000000000","0","6","Foreign Currency Exchange Rate List","","1","16","0","BOAction.FXRateList"<endrec>
"00100000000000000000000000000000","1","1","Commission of a initiator during the BO action.","","1","12","0","BOAction.FeeInfo.Initiator.Commission"<endrec>
"00100000000000000000000000000000","1","1","Fee of a initiator during the BO action.","","1","12","0","BOAction.FeeInfo.Initiator.Fee"<endrec>
"00100000000000000000000000000000","1","1","Commission of a receiver during the BO action.","","1","12","0","BOAction.FeeInfo.Receiver.Commission"<endrec>
"00100000000000000000000000000000","1","1","Fee of a receiver during the BO action.","","1","12","0","BOAction.FeeInfo.Receiver.Fee"<endrec>
"00110000000000000000000000000000","0","1","Funding source type of organization auto sweep in BO action.","","0","256","0","BOAction.FundingSource"<endrec>
"00100000000000000000000000000000","0","1","New group member role. The notification is sent when a group member role is added.","","0","256","0","BOAction.Group.AddGroupMemberRole"<endrec>
"00110000000000000000000000000000","0","1","Members has added to a group in BO action.","","0","256","0","BOAction.Group.AddedGroupMemberRole"<endrec>
"00100000000000000000000000000000","0","1","Group description. The notification is sent when group description is changed.","","1","256","0","BOAction.Group.Description"<endrec>
"00110000000000000000000000000000","0","1","Short code of group in BO action.","","0","32","0","BOAction.Group.GroupCode"<endrec>
"00110000000000000000000000000000","0","1","Description of group in the BO action.","","0","256","0","BOAction.Group.GroupDescription"<endrec>
"00110000000000000000000000000000","0","1","Unique ID of group in BO action.","","0","256","0","BOAction.Group.GroupID"<endrec>
"00110000000000000000000000000000","0","6","List of group that a customer has joined in BO action.","","0","100","0","BOAction.Group.GroupList"<endrec>
"00110000000000000010011100000000","0","1","","","0","32","0","BOAction.Group.GroupMemberRole"<endrec>
"00110000000000000000000000000000","0","1","Name of group in BO action.","","0","256","0","BOAction.Group.GroupName"<endrec>
"00110000000000000000000000000000","0","1","Product name of group in BO action.","","0","256","0","BOAction.Group.GroupProductName"<endrec>
"00110000000000000000000000000000","0","1","Public name of group in BO action.","","0","256","0","BOAction.Group.GroupPublicName"<endrec>
"00110000000000000000000000000000","0","1","Role of member that acted in BO action.","","0","256","0","BOAction.Group.GroupRole"<endrec>
"00110000000000000000000000000000","0","6","Attribution of group role in BO action, include","","0","100","0","BOAction.Group.GroupRoleInfo"<endrec>
"00110000000000000000000000000000","0","1","Sponsor of group in BO action.","","0","32","0","BOAction.Group.GroupSponsor"<endrec>
"00110000000000000010011100000000","0","1","","","0","32","0","BOAction.Group.InitiatorMsisdn"<endrec>
"00100000000000000000000000000000","0","1","MSISDN of invited customer for group in BO action.","","0","32","0","BOAction.Group.InvitedCustomerMSISDN"<endrec>
"00110000000000000000000000000000","0","1","MSISDN of members that are managered in BO action.","","0","32","0","BOAction.Group.ManagedMemberMSISDN"<endrec>
"00110000000000000010011100000000","0","1","","","0","32","0","BOAction.Group.MaxNumAllowed"<endrec>
"00110000000000000000000000000000","0","1","Max number of a group that customer can joined in BO action.","","0","32","0","BOAction.Group.MaxNumberOfJoinedGroups"<endrec>
"00110000000000000000000000000000","0","1","Number of approved for a group in BO action.","","0","32","0","BOAction.Group.NumberOfApprovers"<endrec>
"00110000000000000000000000000000","0","1","Operation type in BO action involved group.","","0","3","0","BOAction.Group.OperationType"<endrec>
"00100000000000000000000000000000","0","1","Original group member role. The notification is sent when changing a group member role.","","0","256","0","BOAction.Group.OriginalGroupMemberRole"<endrec>
"00110000000000000000000000000000","0","1","Group memeber role removed in BO action.","","0","256","0","BOAction.Group.RemovedGroupMemberRole"<endrec>
"00010100001000011100011100000000","0","1","number of required approver people","","0","32","0","BOAction.Group.RequiredApproverNumber"<endrec>
"00110000000000000000000000000000","0","1","The task ID of group approval task in BO action.","","0","32","0","BOAction.Group.TASK.TASKID"<endrec>
"00110000000000000000000000000000","0","1","Task name in BO action involved group.","","0","256","0","BOAction.Group.TaskName"<endrec>
"00100000000000000000000000000000","0","1","Modified identity model name, which is used in the notification sent after the organization identity model is modified.","","1","16","0","BOAction.HierarchyRelationshipType"<endrec>
"00110000000010011100000000000000","0","1","","","0","22","0","BOAction.Identity.IdentityBundleId"<endrec>
"00111100000010011100000000000000","0","1","Customer's bundle info list. The notification is sent when sending the bundle renewal reminder.","","1","","0","BOAction.IdentityBundleInfoList"<endrec>
"00100000000000000000000000000000","0","1","Modified identity rule profile, which is used in the notification sent after the rule profile of the identity level is modified.","","1","32","0","BOAction.IdentityRuleProfile"<endrec>
"00100000000000000000000000000000","0","1","Identity status.","","1","16","0","BOAction.IdentityStatus"<endrec>
"00100000000000000000000000000000","0","1","Identity type. The notification is sent when activating an operator.","","1","4","0","BOAction.IdentityType"<endrec>
"00100000000000000000000000000000","0","1","Original API password. The notification is sent when unlocking a password.","","1","10","0","BOAction.InitialAPIPassword"<endrec>
"00100000000000000000000000000000","1","1","Initial password, for example, the initial password sent to a created operator during operator creation.","","1","10","0","BOAction.InitialPassword"<endrec>
"00110000000000000000000000000000","0","1","First name of the initiator (customer).","","1","64","0","BOAction.Initiator.FirstName"<endrec>
"00110000000000000000000000000000","0","1","Identifier type of the initiator.","","1","32","0","BOAction.Initiator.IdentifierId"<endrec>
"00110000000000000000000000000000","0","1","Identifier type of the initiator.","","1","16","0","BOAction.Initiator.IdentifierType"<endrec>
"00110000000000000000000000000000","0","3","Account balance of the initiator. This variable is valid for BO action.","","1","12","0","BOAction.Initiator.IdentityAccountBalance"<endrec>
"00110000000000000000000000000000","0","1","Identity ID of the initiator.","","1","32","0","BOAction.Initiator.IdentityId"<endrec>
"00110000000000000000000000000000","0","1","Identity type of the initiator.","","1","16","0","BOAction.Initiator.IdentityType"<endrec>
"00110000000000000000000000000000","0","1","Last name of the initiator (customer).","","1","64","0","BOAction.Initiator.LastName"<endrec>
"00110000000000000000000000000000","0","1","Middle name of the initiator (customer).","","1","64","0","BOAction.Initiator.MiddleName"<endrec>
"00110000000000000000000000000000","0","1","The operation type of the QR code,such as","","0","4","0","BOAction.Initiator.OperationType"<endrec>
"00110000000000000000000000000000","0","1","Operator ID of the initiator (operator).","","1","32","0","BOAction.Initiator.OperatorId"<endrec>
"00110000000000000000000000000000","0","1","Organization short code of the initiator (organization operator).","","1","32","0","BOAction.Initiator.OrgShortCode"<endrec>
"00110000000000000000000000000000","0","1","Position of initiator.","","1","128","0","BOAction.Initiator.Position"<endrec>
"00110000000000000000000000000000","0","1","Position type of initiator's positon.","","1","10","0","BOAction.Initiator.PositionType"<endrec>
"00100000000000000000000000000000","0","1","Ad customized for the organization in BO action.","","1","280","0","BOAction.Initiator.ProductServiceAdv"<endrec>
"00110000000000000000000000000000","0","1","Sub type of the initiator.","","1","32","0","BOAction.Initiator.SubType"<endrec>
"00110000000000000000000000000000","0","1","Till number of the initiator (till).","","1","32","0","BOAction.Initiator.TillNumber"<endrec>
"00010000000000000000000000000000","0","1","The birthday entered when activate customer.","","1","20","0","BOAction.InputDOB"<endrec>
"00100000000000000000000000000000","0","4","Expired time of InvitationCode in InviteFriend Service","","1","64","0","BOAction.InviteFriend.ExpiredTime"<endrec>
"00100000000000000000000000000000","0","1","Msisdn of Invitee in InviteFriend service","","1","32","0","BOAction.InviteFriend.HolderIdentifier"<endrec>
"00100000000000000000000000000000","0","1","InvitationCode for Friend in InviteFriend Service","","1","16","0","BOAction.InviteFriend.InvitationCode"<endrec>
"00100000000000000000000000000000","0","5","Invoice creation time in BO action.","","0","8","0","BOAction.InvoiceCreateTime"<endrec>
"00100000000000000000000000000000","0","1","Invoice ID in BO action.","","1","18","0","BOAction.InvoiceId"<endrec>
"00100000000000000000000000000000","0","1","Invoice recipient public name in BO action.","","1","128","0","BOAction.InvoiceReceiver"<endrec>
"00100000000000000000000000000000","0","1","Invoice sender public name in BO action.","","1","64","0","BOAction.InvoiceSender"<endrec>
"00100000000000000000000000000000","0","1","Indicates whether to reset a PIN. The notification is sent when unlocking a password.","","1","6","0","BOAction.IsResetPIN"<endrec>
"00010000000000000000011100000000","0","6","Reserved.","","1","64","0","BOAction.KYC.ErrorKYCList"<endrec>
