ASYNC_CALLBACK_TIMEOUT,CALLBACK_TIMEOUT_OUTBOUNDCMD,DO_RESPONSE_SUCC,DO_RESPONSE_TIMEOUT,DO_SEND_FAILED,DO_SOAP_FAULT,DUPLICATE_CHECK,EXTEND_MAX_RESEND_DURATION,EXTEND_MAX_RESEND_TIMES,EXTEND_RESEND_INTERVAL,EXTEND_RESEND_INTERVAL_INC,EXTEND_RESEND_INTERVAL_TYPE,MAX_RESEND_DURATION,MAX_RESEND_TIMES,OUTBOUND_COMMAND,RESEND_FOR_TIMEOUT,RESEND_INTERVAL,RESEND_INTERVAL_INC,RESEND_INTERVAL_TYPE,RESEND_MODE,RESPONSE_CODE_FIELD,RESPONSE_CODE_VALUE,RESPONSE_SUCCESS_RESEND,TIMEOUT_DURATION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   <endrec>
"","","2","1","2","2","0","","","","","","0","0","TargetSavingTermination","1","0","0","","0","","","","60"<endrec>
"","","2","2","2","1","0","","","","","","","","TopupviaDiameter","1","","","","0","","","","10"<endrec>
"","","1","1","1","1","0","","","","","","300","3","TransactionStatusNotification","1","60","0","1","2","","","","60"<endrec>
"","","2","2","2","2","0","","","","","","0","0","UpdateBankKYCValidation","1","0","0","0","0","","","","3"<endrec>
"","","2","2","2","2","0","","","","","","0","0","UpdateGroupKYCValidation","1","0","0","0","0","","","","3"<endrec>
"","","2","2","2","2","0","","","","","","0","0","UpdateKYCValidation","1","0","0","0","0","","","","3"<endrec>
"","","2","2","2","2","0","","","","","","0","0","UpdateOrgKYCValidation","1","0","0","0","0","","","","3"<endrec>
"","","2","2","2","2","0","","","","","","0","0","UpdateOrgOperatorKYCValidation","1","0","0","0","0","","","","3"<endrec>
"","","2","2","2","1","0","","","","","","0","0","UpdateOrganizationKYCInfoNotify","1","0","0","1","0","","","","0"<endrec>
"","","2","2","2","2","0","","","","","","0","0","UpdateSPKYCValidation","1","0","0","0","0","","","","3"<endrec>
"","","2","2","2","2","0","","","","","","0","0","UpdateSPOperatorKYCValidation","1","0","0","0","0","","","","3"<endrec>
"","","2","1","2","","0","","","","","","300","3","VMTInitiatedMoneyTransferFromAccountToVMT","1","30","0","1","2","","","","60"<endrec>
"","","2","1","2","","0","","","","","","300","3","VMTInitiatedMoneyTransferFromVMTToAccount","1","30","0","1","2","","","","60"<endrec>
"","","2","2","2","2","0","","","","","","10","3","VMTInitiatedSavingsDeposit","1","5","","1","2","","","N","30"<endrec>
"","","2","2","2","2","0","","","","","","300","3","VMTInitiatedSavingsWithdrawal","1","5","0","1","2","","","","30"<endrec>
"","","2","2","2","2","0","","","","","","","3","ValidateBillRefNum","1","60","","1","2","","","N","15"<endrec>
"","","2","1","2","2","0","","","","","","0","0","ValidateC2BPayment","1","0","0","","0","","","","60"<endrec>
"","","1","1","1","","0","","","","","","","","ValidateUpdateCustKycFromThirdParty","0","","","","0","","","","60"<endrec>
"","","2","1","2","2","0","","","","","","0","0","loanPayment","1","0","0","","0","","","","60"<endrec>
"","","2","2","2","2","0","","","","","","300","3","statement","1","60","0","1","2","","","","60"<endrec>
"","","2","1","2","","0","","","","","","","","test1","0","","","","0","","","","60"<endrec>
"","","2","2","2","","0","","","","","","30","30","test_goa","1","","","","1","","","N","30"<endrec>
