EXPRESSION_REC_ID,FUNC_ID,LEFT_RIGHT_FUNC,PARA_ID,PARA_INDEX,PARA_VALUE,PARA_VALUE_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <endrec>
"881","40865","1","100085288","3","OrgVolume","0"<endrec>
"881","40865","1","100085289","4","0","0"<endrec>
"882","40865","1","100085290","1","Transaction.Context","2"<endrec>
"882","40865","1","100085291","2","2","0"<endrec>
"882","40865","1","100085292","3","OrgVolume","0"<endrec>
"882","40865","1","100085293","4","0","0"<endrec>
"893","40865","1","100085294","1","Transaction.Context","2"<endrec>
"893","40865","1","100085295","2","2","0"<endrec>
"893","40865","1","100085296","3","SPVolume_BuyAirtime","0"<endrec>
"893","40865","1","100085297","4","0","0"<endrec>
"894","40865","1","100085298","1","Transaction.Context","2"<endrec>
"894","40865","1","100085299","2","1","0"<endrec>
"894","40865","1","100085300","3","SPVolume_BuyAirtime","0"<endrec>
"894","40865","1","100085301","4","0","0"<endrec>
"895","40865","1","100085302","1","Transaction.Context","2"<endrec>
"895","40865","1","100085303","2","Credit.IdentityType","2"<endrec>
"895","40865","1","100085304","3","SPVolume_BuyAirtime","0"<endrec>
"895","40865","1","100085305","4","0","0"<endrec>
"896","40865","1","100085306","1","Transaction.Context","2"<endrec>
"896","40865","1","100085307","2","1","0"<endrec>
"896","40865","1","100085308","3","SPVolume_BuyAirtime","0"<endrec>
"896","40865","1","100085309","4","0","0"<endrec>
"1182","40865","1","100085386","1","Transaction.Context","2"<endrec>
"1182","40865","1","100085387","2","2","0"<endrec>
"1182","40865","1","100085388","3","Accumulator_Amount","0"<endrec>
"1182","40865","1","100085389","4","0","0"<endrec>
"1183","40865","1","100085390","1","Transaction.Context","2"<endrec>
"1183","40865","1","100085391","2","2","0"<endrec>
"1183","40865","1","100085392","3","Accumulator_Amount","0"<endrec>
"1183","40865","1","100085393","4","0","0"<endrec>
"1192","40865","1","100085482","1","Transaction.Context","2"<endrec>
"1192","40865","1","100085483","2","2","0"<endrec>
"1192","40865","1","100085484","3","Accumulator_Count_Not","0"<endrec>
"1192","40865","1","100085485","4","0","0"<endrec>
"1193","40865","1","100085486","1","Transaction.Context","2"<endrec>
"1193","40865","1","100085487","2","2","0"<endrec>
"1193","40865","1","100085488","3","Accumulator_Amount","0"<endrec>
"1193","40865","1","100085489","4","0","0"<endrec>
"1194","40865","1","100085490","1","Transaction.Context","2"<endrec>
"1194","40865","1","100085491","2","2","0"<endrec>
"1194","40865","1","100085492","3","Accumulator_Count_Not","0"<endrec>
"1194","40865","1","100085493","4","0","0"<endrec>
"1195","40865","1","100085494","1","Transaction.Context","2"<endrec>
"1195","40865","1","100085495","2","2","0"<endrec>
"1195","40865","1","100085496","3","Accumulator_count_not","0"<endrec>
"1195","40865","1","100085497","4","0","0"<endrec>
"1196","40865","1","100085498","1","Transaction.Context","2"<endrec>
"1196","40865","1","100085499","2","2","0"<endrec>
"1196","40865","1","100085500","3","Accumulator_Count_Not","0"<endrec>
"1196","40865","1","100085501","4","0","0"<endrec>
"1197","40865","1","100085502","1","Transaction.Context","2"<endrec>
"1197","40865","1","100085503","2","Debit.IdentityType","2"<endrec>
"1197","40865","1","100085504","3","Accumulator_count_not","0"<endrec>
"1197","40865","1","100085505","4","0","0"<endrec>
"1198","40865","1","100085506","1","Transaction.Context","2"<endrec>
"1198","40865","1","100085507","2","2","0"<endrec>
"1198","40865","1","100085508","3","Accumulator_Count_Not","0"<endrec>
"1198","40865","1","100085509","4","0","0"<endrec>
"1199","40865","1","100085510","1","Transaction.Context","2"<endrec>
"1199","40865","1","100085511","2","2","0"<endrec>
"1199","40865","1","100085512","3","Accumulator_count_not","0"<endrec>
"1199","40865","1","100085513","4","0","0"<endrec>
"1200","40865","1","100085514","1","Transaction.Context","2"<endrec>
"1200","40865","1","100085515","2","2","0"<endrec>
"1200","40865","1","100085516","3","Acc_full_lock","0"<endrec>
"1200","40865","1","100085517","4","0","0"<endrec>
"1201","40865","1","100085518","1","Transaction.Context","2"<endrec>
"1201","40865","1","100085519","2","2","0"<endrec>
"1201","40865","1","100085520","3","Accumulator_count_not","0"<endrec>
"1201","40865","1","100085521","4","0","0"<endrec>
"1202","40865","1","100085522","1","Transaction.Context","2"<endrec>
"1202","40865","1","100085523","2","2","0"<endrec>
"1202","40865","1","100085524","3","Acc_full_lock","0"<endrec>
"1202","40865","1","100085525","4","0","0"<endrec>
"1203","40865","1","100085526","1","Transaction.Context","2"<endrec>
"1203","40865","1","100085527","2","2","0"<endrec>
"1203","40865","1","100085528","3","Accumulator_count_not","0"<endrec>
"1203","40865","1","100085529","4","0","0"<endrec>
"1204","40865","1","100085530","1","Transaction.Context","2"<endrec>
"1204","40865","1","100085531","2","2","0"<endrec>
"1204","40865","1","100085532","3","Acc_full_lock","0"<endrec>
"1204","40865","1","100085533","4","0","0"<endrec>
"1205","40865","1","100085534","1","Transaction.Context","2"<endrec>
"1205","40865","1","100085535","2","2","0"<endrec>
"1205","40865","1","100085536","3","Accumulator_count_not","0"<endrec>
"1205","40865","1","100085537","4","0","0"<endrec>
"1206","40865","1","100085538","1","Transaction.Context","2"<endrec>
"1206","40865","1","100085539","2","Debit.IdentityType","2"<endrec>
"1206","40865","1","100085540","3","IBM_Acc","0"<endrec>
"1206","40865","1","100085541","4","Debit.IdentityType","2"<endrec>
"1213","40865","1","100085542","1","Transaction.Context","2"<endrec>
"1213","40865","1","100085543","2","2","0"<endrec>
"1213","40865","1","100085544","3","Acc_full_lock","0"<endrec>
"1213","40865","1","100085545","4","0","0"<endrec>
"1214","40865","1","100085546","1","Transaction.Context","2"<endrec>
"1214","40865","1","100085547","2","2","0"<endrec>
"1214","40865","1","100085548","3","Accumulator_count_not","0"<endrec>
"1214","40865","1","100085549","4","0","0"<endrec>
"1258","40865","1","100085682","1","Transaction.Context","2"<endrec>
"1258","40865","1","100085683","2","2","0"<endrec>
"1258","40865","1","100085684","3","Accumulator_count_not","0"<endrec>
"1258","40865","1","100085685","4","0","0"<endrec>
"1268","40865","1","100085782","1","Transaction.Context","2"<endrec>
"1268","40865","1","100085783","2","1","0"<endrec>
"1268","40865","1","100085784","3","SPVolume_BuyAirtime","0"<endrec>
"1268","40865","1","100085785","4","0","0"<endrec>
"1311","40865","1","100085882","1","Transaction.Context","2"<endrec>
"1311","40865","1","100085883","2","2","0"<endrec>
"1311","40865","1","100085884","3","B2C_Org","0"<endrec>
"1311","40865","1","100085885","4","0","0"<endrec>
"1313","40865","1","100085886","1","Transaction.Context","2"<endrec>
"1313","40865","1","100085887","2","2","0"<endrec>
"1313","40865","1","100085888","3","B2C_Org","0"<endrec>
"1313","40865","1","100085889","4","0","0"<endrec>
"1316","40865","1","100085894","1","Transaction.Context","2"<endrec>
"1316","40865","1","100085895","2","2","0"<endrec>
"1316","40865","1","100085896","3","B2C_Org","0"<endrec>
"1316","40865","1","100085897","4","0","0"<endrec>
"1318","40865","1","100085898","1","Transaction.Context","2"<endrec>
"1318","40865","1","100085899","2","2","0"<endrec>
"1318","40865","1","100085900","3","B2C_Org","0"<endrec>
"1318","40865","1","100085901","4","0","0"<endrec>
"1320","40865","1","100085902","1","Transaction.Context","2"<endrec>
"1320","40865","1","100085903","2","2","0"<endrec>
"1320","40865","1","100085904","3","B2C_Org","0"<endrec>
"1320","40865","1","100085905","4","0","0"<endrec>
"1321","40865","1","100085906","1","Transaction.Context","2"<endrec>
"1321","40865","1","100085907","2","2","0"<endrec>
"1321","40865","1","100085908","3","DynamicSendMoney_Aux","0"<endrec>
"1321","40865","1","100085909","4","0","0"<endrec>
"1322","40865","1","100085910","1","Transaction.Context","2"<endrec>
"1322","40865","1","100085911","2","2","0"<endrec>
"1322","40865","1","100085912","3","SendmoneyDynamicNew","0"<endrec>
"1322","40865","1","100085913","4","0","0"<endrec>
"1328","40865","1","100085914","1","Transaction.Context","2"<endrec>
"1328","40865","1","100085915","2","2","0"<endrec>
"1328","40865","1","100085916","3","Accumulator_Value","0"<endrec>
"1328","40865","1","100085917","4","0","0"<endrec>
"1329","40865","1","100085918","1","Transaction.Context","2"<endrec>
"1329","40865","1","100085919","2","2","0"<endrec>
"1329","40865","1","100085920","3","Accumulator_Value","0"<endrec>
"1329","40865","1","100085921","4","0","0"<endrec>
"1330","40865","1","100085922","1","Transaction.Context","2"<endrec>
"1330","40865","1","100085923","2","2","0"<endrec>
"1330","40865","1","100085924","3","Accumulator_Value","0"<endrec>
"1330","40865","1","100085925","4","0","0"<endrec>
"1371","40865","1","100085982","1","Transaction.Context","2"<endrec>
"1371","40865","1","100085983","2","2","0"<endrec>
"1371","40865","1","100085984","3","SendMoneyCount1","0"<endrec>
"1371","40865","1","100085985","4","0","0"<endrec>
"1690","40865","1","100086082","1","Transaction.Context","2"<endrec>
"1690","40865","1","100086083","2","2","0"<endrec>
"1690","40865","1","100086084","3","B2C_Org","0"<endrec>
"1690","40865","1","100086085","4","0","0"<endrec>
"1700","40865","1","100086182","1","Transaction.Context","2"<endrec>
"1700","40865","1","100086183","2","2","0"<endrec>
"1700","40865","1","100086184","3","B2C_Org1","0"<endrec>
"1700","40865","1","100086185","4","0","0"<endrec>
"1730","40865","1","100086282","1","2","0"<endrec>
"1730","40865","1","100086283","2","2","0"<endrec>
"1730","40865","1","100086284","3","OrgVolume2","0"<endrec>
"1730","40865","1","100086285","4","0","0"<endrec>
"2014","40865","1","100086382","1","Transaction.Context","2"<endrec>
"2014","40865","1","100086383","2","Debit.IdentityType","2"<endrec>
"2014","40865","1","100086384","3","Defect5351","0"<endrec>
"2014","40865","1","100086385","4","0","0"<endrec>
"2015","40865","1","100086386","1","Transaction.Context","2"<endrec>
"2015","40865","1","100086387","2","Debit.IdentityType","2"<endrec>
"2015","40865","1","100086388","3","Defect5351","0"<endrec>
"2015","40865","1","100086389","4","0","0"<endrec>
"2024","3","1","100086482","1","Transaction.InitiatedTime","2"<endrec>
