ADDITIONAL_DATA_ID,ADDITIONAL_TYPE,DATA_TYPE,DATA_TYPE_KEY,DESCRIPTION,DISPLAY_ORDER,DISP_NAME,FEATURE_CODE,MODIFY_FLAG,NAME,STATUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     <endrec>
"117","1","01","","National portion of the mobile number of user equipment. It's used for WesternUnion service.","24","Receiver_Mobile_Phone_National_Number","1","1","Receiver_Mobile_Phone_National_Number","1"<endrec>
"118","1","07","","Amount expected to be paid to the receiver. It's used for WesternUnion service.","25","Expected_Payout_Amount","1","1","Expected_Payout_Amount","1"<endrec>
"119","1","01","","Currency ISO code for the above amount. It's used for WesternUnion service.","26","Destination_Currency_ISO_Code","1","1","Destination_Currency_ISO_Code","1"<endrec>
"120","1","01","","Country where the money transfer is to be paid out.This is indicated by the sending customer. It's used for WesternUnion service.","27","Destination_Country_ISO_Code","1","1","Destination_Country_ISO_Code","1"<endrec>
"122","1","01","","Reserved.","29","Mobile_Transfer_Date","1","1","Mobile_Transfer_Date","1"<endrec>
"123","1","01","","Money transfer control number. It's used for WesternUnion service.","30","MTCN","1","1","MTCN","1"<endrec>
"124","1","01","","Unique ID of the wallet account. It's used for WesternUnion service.","31","Mobile_Wallet_ID","1","1","Mobile_Wallet_ID","1"<endrec>
"125","1","01","","Reserved.","32","Sender_First_Name","1","1","Sender_First_Name","1"<endrec>
"126","1","01","","Last or maternal name. It's used for WesternUnion service.","33","Sender_Last_Name","1","1","Sender_Last_Name","1"<endrec>
"128","1","01","","City of the sender. It's used for WesternUnion service.","35","Sender_City","1","1","Sender_City","1"<endrec>
"129","1","01","","Reserved.","36","Sender_State","1","1","Sender_State","1"<endrec>
"130","1","01","","Reserved.","37","Sender_Postal Code","1","1","Sender_Postal Code","1"<endrec>
"132","1","01","","Country code portion of the mobile number. It's used for WesternUnion service.","39","Sender_Mobile_Phone_Country_Code","1","1","Sender_Mobile_Phone_Country_Code","1"<endrec>
"133","1","01","","National portion of the mobile number. It's used for WesternUnion service.","40","Sender_Mobile_Phone_National_Number","1","1","Sender_Mobile_Phone_National_Number","1"<endrec>
"134","1","01","","Receiver's first name. It's used for WesternUnion service.","41","Receiver_First_Name","1","1","Receiver_First_Name","1"<endrec>
"135","1","01","","Receiver's last or maternal name. It's used for WesternUnion service.","42","Receiver_Last_Name","1","1","Receiver_Last_Name","1"<endrec>
"137","1","01","","Receiver's city. It's used for WesternUnion service.","44","Receiver_City","1","1","Receiver_City","1"<endrec>
"138","1","01","","State of the customer. It's used for WesternUnion service.","45","Receiver_State","1","1","Receiver_State","1"<endrec>
"139","1","01","","Postal or ZIP code. It's used for WesternUnion service.","46","Receiver_Postal_Code","1","1","Receiver_Postal_Code","1"<endrec>
"140","1","01","","Receiver's country ISO code. It's used for WesternUnion service.","47","Receiver_Country_ISO_Code","1","1","Receiver_Country_ISO_Code","1"<endrec>
"145","1","01","","Receiver's country issuing the document. It's used for WesternUnion and HomeSend services.","52","Receiver_ID_Document1_Country_ISO_Code","1","1","Receiver_ID_Document1_Country_ISO_Code","1"<endrec>
"147","1","01","","Receiver's boolean, indicating whether the document has expired. It's used for WesternUnion and HomeSend services.","54","Receiver_ID_Document1_ID_Expires","1","1","Receiver_ID_Document1_ID_Expires","1"<endrec>
"148","1","01","","Receiver's document type. It's used for WesternUnion service.","55","Receiver_ID_Document2_Type","1","1","Receiver_ID_Document2_Type","1"<endrec>
"149","1","01","","Receiver's document identification, for example, license number and card number. It's used for WesternUnion service.","56","Receiver_ID_Document2_Data","1","1","Receiver_ID_Document2_Data","1"<endrec>
"150","1","01","","Receiver's date when the document is issued to the individual. It's used for WesternUnion service.","57","Receiver_ID_Document2_Issue_Date","1","1","Receiver_ID_Document2_Issue_Date","1"<endrec>
"151","1","01","","Receiver's place where the document is issued. It's used for WesternUnion service.","58","Receiver_ID_Document2_Issue_Place","1","1","Receiver_ID_Document2_Issue_Place","1"<endrec>
"152","1","01","","Receiver's country issuing the document. It's used for WesternUnion service.","59","Receiver_ID_Document2_Country_ISO_Code","1","1","Receiver_ID_Document2_Country_ISO_Code","1"<endrec>
"153","1","01","","Receiver's document expiration date. It's used for WesternUnion service.","60","Receiver_ID_Document2_Expiration_Date","1","1","Receiver_ID_Document2_Expiration_Date","1"<endrec>
"154","1","01","","Receiver's boolean, indicating whether the document has expired. It's used for WesternUnion service.","61","Receiver_ID_Document2_ID_Expires","1","1","Receiver_ID_Document2_ID_Expires","1"<endrec>
"155","1","01","","Receiver's compliance comments. It's used for WesternUnion service.","62","Receiver_Compliance_Comments","1","1","Receiver_Compliance_Comments","1"<endrec>
"156","1","01","","Customer nationality. It's used for WesternUnion service.","63","Receiver_Nationality","1","1","Receiver_Nationality","1"<endrec>
"157","1","01","","Social security of the customer. It's used for WesternUnion service.","64","Receiver_Social_Security_No","1","1","Receiver_Social_Security_No","1"<endrec>
"158","1","01","","Receiver's resident country of a customer. It's used for WesternUnion service.","65","Receiver_Country_Of_Residence","1","1","Receiver_Country_Of_Residence","1"<endrec>
"159","1","01","","Receiver's primary contact phone number. It's used for WesternUnion service.","66","Receiver_Contact_Phone","1","1","Receiver_Contact_Phone","1"<endrec>
"161","1","01","","Receiver's primary employer. It's used for WesternUnion service.","68","Receiver_Employer_Name","1","1","Receiver_Employer_Name","1"<endrec>
"162","1","01","","Identifying data type. It's used for WesternUnion service.","69","Receiver_Mobile_Phone_Identity_Type","1","1","Receiver_Mobile_Phone_Identity_Type","1"<endrec>
"163","1","01","","Information that uniquely identifies user equipment. It's used for WesternUnion service.","70","Receiver_Mobile_Phone_Identity_Data","1","1","Receiver_Mobile_Phone_Identity_Data","1"<endrec>
"164","1","01","","Receiver's gender. It's used for WesternUnion service.","71","Receiver_Gender","1","1","Receiver_Gender","1"<endrec>
"166","1","07","","Amount of money to be sent. It's used for WesternUnion service.","73","Origination_Principal_Amount","1","1","Origination_Principal_Amount","1"<endrec>
"167","1","01","","Currency ISO code for the above amount. It's used for WesternUnion service.","74","Origination_Currency_ISO_Code","1","1","Origination_Currency_ISO_Code","1"<endrec>
"168","1","01","","Country where the money is transferred out. It's used for WesternUnion service.","75","Origination_Country_ISO_Code","1","1","Origination_Country_ISO_Code","1"<endrec>
"169","1","07","","Actual amount paid to the receiver. It's used for WesternUnion service.","76","Actual_Payout_Amount","1","1","Actual_Payout_Amount","1"<endrec>
"170","1","01","","Reserved.","77","Information_Message","1","1","Information_Message","1"<endrec>
"171","1","01","","Payout method identifier, including MOBILE (into the mobile wallet account) and CASH (at WU agent location). It's used for WesternUnion service.","80","Expected_Payout_Method","1","1","Expected_Payout_Method","1"<endrec>
"2","1","01","","Reserved.","1","Third Party Transaction ID","1","1","Third Party Transaction ID","1"<endrec>
"5001","4","01","","Source URI for sending the payment. (The value is an MSISDN in the case of M-PESA G2.) The value format is as follows: tel:+ + Country code + National number. It's used for HomeSend service.","1001","Source_URI","1","1","Source_URI","1"<endrec>
"5002","4","01","","Destination URI for receiving the payment (The value is an MSISDN in the case of M-PESA G2.) The value format is as follows: tel:+ + Country code + National number. It's used for HomeSend service.","1002","Destination_URI","1","1","Destination_URI","1"<endrec>
"5003","4","07","","Reserved.","1003","Principle_Amount","1","1","Principle_Amount","1"<endrec>
"5004","4","01","","Reserved.","1004","Sender_Currency","1","1","Sender_Currency","1"<endrec>
"5005","4","01","","This element helps HomeSend deliver the message to the appropriate terminating service. It's used for HomeSend service.","1005","Routing_Tag","1","1","Routing_Tag","1"<endrec>
"5008","4","07","","Reserved.","1008","HomeSend_Charge_Amount","1","1","HomeSend_Charge_Amount","1"<endrec>
"501","1","01","","Login password used by the HomeSend to connect to the M-PESA G2. It's used for HomeSend service.","501","Security_Login","1","1","Security_Login","1"<endrec>
"5010","4","07","","Reserved.","1010","Total_Amount","1","1","Total_Amount","1"<endrec>
"5012","4","07","","Reserved.","1012","Received Amount","1","1","Received Amount","1"<endrec>
"5013","4","01","","Currency ISO code for the above amount. It's used for WesternUnion service.","1013","Receiver_currency","1","1","Receiver_currency","1"<endrec>
"5016","4","05","","Reserved.","1016","VOC_ExpirationDate","1","1","VOC_ExpirationDate","1"<endrec>
"5017","4","05","","Maximum expected completion date of the transaction, which is typically calculated based on the transaction expiration time in the destination system. This date or time must always be provided with a UTC or atimezone indication, with regards to the standard datetime format. It's used for HomeSend service.","1017","MaxCompletionDate","1","1","MaxCompletionDate","1"<endrec>
"5018","4","01","","Formal identifier indicating the Pending state of the current transaction. When used in a TEWS or credit provisional response, this variable should be set to CreditInProgress. Other values may be supported later. It's used for HomeSend service.","1018","HomeSend_Transaction_State","1","1","HomeSend_Transaction_State","1"<endrec>
"5019","4","01","","Human-readable and friendly label associated to the state, which is used for diagnosis and logging. Only the state field is used for service logic. If the status is CreditInProgress, the label is 'Credit is in progress.' It's used for WesternUnion service.","1019","HomeSend_Transaction_StateLabel","1","1","HomeSend_Transaction_StateLabel","1"<endrec>
"5021","4","01","","Reserved.","1021","Sender_address_street","1","1","Sender_address_street","1"<endrec>
"5022","4","01","","Reserved.","1022","Sender_address_city","1","1","Sender_address_city","1"<endrec>
"5023","4","01","","Reserved.","1023","Sender_address_ZIP","1","1","Sender_address_ZIP","1"<endrec>
"5024","4","01","","Reserved.","1024","Sender_address_state","1","1","Sender_address_state","1"<endrec>
"5025","4","01","","Sender nationality. It's used for HomeSend service.","1025","Sender_Nationality","1","1","Sender_Nationality","1"<endrec>
"5026","4","01","","Reserved.","1026","Sender_address_Country","1","1","Sender_address_Country","1"<endrec>
"5027","4","01","","Formal identification type of the sender. The options are as follows: AlienRegistrationNumber, CustomerNumber, DriversLicenseNumber, IdentityCardNumber, EmployerIdentificationNumber, PassportNumber, SocialSecurityNumber, TaxIdentificationNumber. It's used for HomeSend service.","1027","Sender_ID_Type","1","1","Sender_ID_Type","1"<endrec>
"5028","4","01","","Number associated to the ID type of the sender. It's used for HomeSend service.","1028","Sender_ID_Number","1","1","Sender_ID_Number","1"<endrec>
"5029","4","01","","ID issuing authority of the sender. It's used for HomeSend service.","1029","Sender_ID_IssuedBy","1","1","Sender_ID_IssuedBy","1"<endrec>
"503","1","01","","Transaction ID, which is the same as that in the account information response. Order ID generated in the system. It's used for HomeSend service.","503","MPesa_TransactionID","1","1","MPesa_TransactionID","1"<endrec>
"5030","4","01","","ID issuing location of the sender. It's used for HomeSend service.","1030","Sender_ID_IssuedAt","1","1","Sender_ID_IssuedAt","1"<endrec>
"5031","4","01","","ID issuing date of the sender, which is an ISO8601 date in the YYYY-MM-DD format. It's used for HomeSend service.","1031","Sender_ID_IssuedDate","1","1","Sender_ID_IssuedDate","1"<endrec>
"5032","4","01","","ID validity date of the sender. It's used for HomeSend service.","1032","Sender_ID_ExpiryDate","1","1","Sender_ID_ExpiryDate","1"<endrec>
"5033","4","01","","Reserved.","1033","Sender_Birth_Date","1","1","Sender_Birth_Date","1"<endrec>
"5034","4","01","","Reserved.","1034","Sender_Birth_Place","1","1","Sender_Birth_Place","1"<endrec>
"5035","4","01","","Reserved.","1035","Sender_Email","1","1","Sender_Email","1"<endrec>
"5037","4","01","","Reserved.","1037","Sender_BankCode","1","1","Sender_BankCode","1"<endrec>
"5038","4","01","","Reserved.","1038","Beneficiary_Name_ProvidedbySender","1","1","Beneficiary_Name_ProvidedbySender","1"<endrec>
"5039","4","01","","Receiver or beneficiary's address provided by the sender. It's used for HomeSend service.","1039","Beneficiary_Address_Street","1","1","Beneficiary_Address_Street","1"<endrec>
"504","1","01","","Destination URI for receiving the payment. (The value is an MSISDN in the case of M-PESA G2.) The value format is as follows: tel:+ + Country code + National number. It's used for HomeSend service.","504","DestinationURI","1","1","DestinationURI","1"<endrec>
"5040","4","01","","Receiver or beneficiary's address provided by the sender. It's used for HomeSend service.","1040","Beneficiary_Address_City","1","1","Beneficiary_Address_City","1"<endrec>
"5041","4","01","","Reserved.","1041","Beneficiary_Address_ZIP","1","1","Beneficiary_Address_ZIP","1"<endrec>
"5042","4","01","","Receiver or beneficiary's address provided by the sender. It's used for HomeSend service.","1042","Beneficiary_Address_State","1","1","Beneficiary_Address_State","1"<endrec>
"5043","4","01","","Reserved.","1043","Beneficiary_Nationality","1","1","Beneficiary_Nationality","1"<endrec>
"5044","4","01","","Receiver or beneficiary's address provided by the sender. It's used for HomeSend service.","1044","Beneficiary_Address_Country","1","1","Beneficiary_Address_Country","1"<endrec>
"5045","4","01","","Reserved.","1045","Beneficiary_TelephoneNumber","1","1","Beneficiary_TelephoneNumber","1"<endrec>
"5046","4","01","","Email address of the receiver or beneficiary. It's used for HomeSend service.","1046","Beneficiary_Email","1","1","Beneficiary_Email","1"<endrec>
"5047","4","01","","Formal identification type of the receiver or beneficiary. The options are as follows: AlienRegistrationNumber, CustomerNumber, DriversLicenseNumber, IdentityCardNumber, EmployerIdentificationNumber, PassportNumber, SocialSecurityNumber, TaxIdentificationNumber. It's used for HomeSend service.","1047","Beneficiary_ID_Type","1","1","Beneficiary_ID_Type","1"<endrec>
"5048","4","01","","Number associated to the ID type of the receiver or beneficiary. It's used for HomeSend service.","1048","Beneficiary_ID_Number","1","1","Beneficiary_ID_Number","1"<endrec>
"5049","4","01","","ID issuing authority of the receiver or beneficiary. It's used for HomeSend service.","1049","Beneficiary_ID_IssuedBy","1","1","Beneficiary_ID_IssuedBy","1"<endrec>
"505","1","01","","This element helps HomeSend deliver the message to the appropriate terminating service. It's used for HomeSend service.","505","RoutingTag","1","1","RoutingTag","1"<endrec>
"5050","4","01","","ID issuing location of the receiver or beneficiary. It's used for HomeSend service.","1050","Beneficiary_ID_IssuedAt","1","1","Beneficiary_ID_IssuedAt","1"<endrec>
"5051","4","01","","ID issuing date of the receiver or beneficiary, which is an ISO8601 date in the YYYY-MM-DD format. It's used for HomeSend service.","1051","Beneficiary_ID_IssuedDate","1","1","Beneficiary_ID_IssuedDate","1"<endrec>
"5052","4","01","","ID validity date of the receiver or beneficiary, which is an ISO8601 date in the YYYY-MM-DD format. It's used for HomeSend service.","1052","Beneficiary_ID_ExpiryDate","1","1","Beneficiary_ID_ExpiryDate","1"<endrec>
"5053","4","01","","Birthday of the receiver or beneficiary. It's used for HomeSend service.","1053","Beneficiary_Birth_Date","1","1","Beneficiary_Birth_Date","1"<endrec>
"5054","4","01","","Receiver or beneficiary's birthplace mentioned in the official ID document.It's used for HomeSend service.","1054","Beneficiary_Birth_Place","1","1","Beneficiary_Birth_Place","1"<endrec>
"5055","4","01","","Occupation (job or position) of the receiver or beneficiary. It's used for HomeSend service.","1055","Beneficiary_Occupation","1","1","Beneficiary_Occupation","1"<endrec>
"5056","4","01","","Reserved.","1056","Remittance_Purpose","1","1","Remittance_Purpose","1"<endrec>
"5057","4","01","","Reserved.","1057","Transaction_Code","1","1","Transaction_Code","1"<endrec>
"5058","4","01","","Reserved.","1058","Payment_Channel","1","1","Payment_Channel","1"<endrec>
"5059","4","01","","Reserved.","1059","Beneficiary_Name_ProvidedbySPB","1","1","Beneficiary_Name_ProvidedbySPB","1"<endrec>
"506","1","01","","Channel identification, which is identifiable by the receiving system. It's used for HomeSend service.","506","Sender_Channel_Identification","1","1","Sender_Channel_Identification","1"<endrec>
"508","1","01","","ID validity date of the sender. It's used for HomeSend service.","508","Sender_ID_Document_Expiration_Date","1","1","Sender_ID_Document_Expiration_Date","1"<endrec>
"509","1","01","","Customer name. It's used for WesternUnion and HomeSend services.","509","Receiver_Name","1","1","Receiver_Name","1"<endrec>
"5101","1","01","","Source URI for sending the payment. (The value is an MSISDN in the case of M-PESA G2.) The value format is as follows: tel:+ + Country code + National number. It's used for HomeSend service.","1001","Source_URI","1","1","Source_URI","1"<endrec>
"5102","1","01","","Destination URI for receiving the payment (The value is an MSISDN in the case of M-PESA G2.) The value format is as follows: tel:+ + Country code + National number. It's used for HomeSend service.","1002","Destination_URI","1","1","Destination_URI","1"<endrec>
"5103","1","07","","Reserved.","1003","Principle_Amount","1","1","Principle_Amount","1"<endrec>
"5104","1","01","","Reserved.","1004","Sender_Currency","1","1","Sender_Currency","1"<endrec>
"5105","1","01","","This element helps HomeSend deliver the message to the appropriate terminating service. It's used for HomeSend service.","1005","Routing_Tag","1","1","Routing_Tag","1"<endrec>
"5108","1","07","","Reserved.","1008","HomeSend_Charge_Amount","1","1","HomeSend_Charge_Amount","1"<endrec>
"511","1","01","","Receiver's email address of the receiver or beneficiary. It's used for HomeSend service.","511","Receiver_Email_Address","1","1","Receiver_Email_Address","1"<endrec>
"5110","1","07","","Reserved.","1010","Total_Amount","1","1","Total_Amount","1"<endrec>
"5112","1","07","","Reserved.","1012","Received Amount","1","1","Received Amount","1"<endrec>
"5113","1","01","","Currency ISO code for the above amount. It's used for WesternUnion service.","1013","Receiver_currency","1","1","Receiver_currency","1"<endrec>
"5116","1","05","","Reserved.","1016","VOC_ExpirationDate","1","1","VOC_ExpirationDate","1"<endrec>
"5117","1","05","","Maximum expected completion date of the transaction, which is typically calculated based on the transaction expiration time in the destination system. This date or time must always be provided with a UTC or atimezone indication, with regards to the standard datetime format. It's used for HomeSend service.","1017","MaxCompletionDate","1","1","MaxCompletionDate","1"<endrec>
"5118","1","01","","Formal identifier indicating the Pending state of the current transaction. When used in a TEWS or credit provisional response, this variable should be set to CreditInProgress. Other values may be supported later. It's used for HomeSend service.","1018","HomeSend_Transaction_State","1","1","HomeSend_Transaction_State","1"<endrec>
"5119","1","01","","Human-readable and friendly label associated to the state, which is used for diagnosis and logging. Only the state field is used for service logic. If the status is CreditInProgress, the label is 'Credit is in progress.' It's used for WesternUnion service.","1019","HomeSend_Transaction_StateLabel","1","1","HomeSend_Transaction_StateLabel","1"<endrec>
"5121","1","01","","Reserved.","1021","Sender_address_street","1","1","Sender_address_street","1"<endrec>
"5122","1","01","","Reserved.","1022","Sender_address_city","1","1","Sender_address_city","1"<endrec>
"5123","1","01","","Reserved.","1023","Sender_address_ZIP","1","1","Sender_address_ZIP","1"<endrec>
"5124","1","01","","Reserved.","1024","Sender_address_state","1","1","Sender_address_state","1"<endrec>
"5125","1","01","","Sender nationality. It's used for HomeSend service.","1025","Sender_Nationality","1","1","Sender_Nationality","1"<endrec>
"5126","1","01","","Reserved.","1026","Sender_address_Country","1","1","Sender_address_Country","1"<endrec>
"5127","1","01","","Formal identification type of the sender. The options are as follows: AlienRegistrationNumber, CustomerNumber, DriversLicenseNumber, IdentityCardNumber, EmployerIdentificationNumber, PassportNumber, SocialSecurityNumber, TaxIdentificationNumber. It's used for HomeSend service.","1027","Sender_ID_Type","1","1","Sender_ID_Type","1"<endrec>
"5128","1","01","","Number associated to the ID type of the sender. It's used for HomeSend service.","1028","Sender_ID_Number","1","1","Sender_ID_Number","1"<endrec>
"5129","1","01","","ID issuing authority of the sender. It's used for HomeSend service.","1029","Sender_ID_IssuedBy","1","1","Sender_ID_IssuedBy","1"<endrec>
"5130","1","01","","ID issuing location of the sender. It's used for HomeSend service.","1030","Sender_ID_IssuedAt","1","1","Sender_ID_IssuedAt","1"<endrec>
"5131","1","01","","ID issuing date of the sender, which is an ISO8601 date in the YYYY-MM-DD format. It's used for HomeSend service.","1031","Sender_ID_IssuedDate","1","1","Sender_ID_IssuedDate","1"<endrec>
"5132","1","01","","ID validity date of the sender. It's used for HomeSend service.","1032","Sender_ID_ExpiryDate","1","1","Sender_ID_ExpiryDate","1"<endrec>
"5133","1","01","","Reserved.","1033","Sender_Birth_Date","1","1","Sender_Birth_Date","1"<endrec>
"5134","1","01","","Reserved.","1034","Sender_Birth_Place","1","1","Sender_Birth_Place","1"<endrec>
"5135","1","01","","Reserved.","1035","Sender_Email","1","1","Sender_Email","1"<endrec>
"5137","1","01","","Reserved.","1037","Sender_BankCode","1","1","Sender_BankCode","1"<endrec>
"5138","1","01","","Reserved.","1038","Beneficiary_Name_ProvidedbySender","1","1","Beneficiary_Name_ProvidedbySender","1"<endrec>
"5139","1","01","","Receiver or beneficiary's address provided by the sender. It's used for HomeSend service.","1039","Beneficiary_Address_Street","1","1","Beneficiary_Address_Street","1"<endrec>
"514","1","01","","ID issuing authority of the receiver or beneficiary. It's used for HomeSend service.","514","Receiver_ID_Document1_Issue_Authority","1","1","Receiver_ID_Document1_Issue_Authority","1"<endrec>
"5140","1","01","","Receiver or beneficiary's address provided by the sender. It's used for HomeSend service.","1040","Beneficiary_Address_City","1","1","Beneficiary_Address_City","1"<endrec>
"5141","1","01","","Reserved.","1041","Beneficiary_Address_ZIP","1","1","Beneficiary_Address_ZIP","1"<endrec>
"5142","1","01","","Receiver or beneficiary's address provided by the sender. It's used for HomeSend service.","1042","Beneficiary_Address_State","1","1","Beneficiary_Address_State","1"<endrec>
"5143","1","01","","Reserved.","1043","Beneficiary_Nationality","1","1","Beneficiary_Nationality","1"<endrec>
"5144","1","01","","Receiver or beneficiary's address provided by the sender. It's used for HomeSend service.","1044","Beneficiary_Address_Country","1","1","Beneficiary_Address_Country","1"<endrec>
"5145","1","01","","Reserved.","1045","Beneficiary_TelephoneNumber","1","1","Beneficiary_TelephoneNumber","1"<endrec>
"5146","1","01","","Email address of the receiver or beneficiary. It's used for HomeSend service.","1046","Beneficiary_Email","1","1","Beneficiary_Email","1"<endrec>
"5147","1","01","","Formal identification type of the receiver or beneficiary. The options are as follows: AlienRegistrationNumber, CustomerNumber, DriversLicenseNumber, IdentityCardNumber, EmployerIdentificationNumber, PassportNumber, SocialSecurityNumber, TaxIdentificationNumber. It's used for HomeSend service.","1047","Beneficiary_ID_Type","1","1","Beneficiary_ID_Type","1"<endrec>
"5148","1","01","","Number associated to the ID type of the receiver or beneficiary. It's used for HomeSend service.","1048","Beneficiary_ID_Number","1","1","Beneficiary_ID_Number","1"<endrec>
"5149","1","01","","ID issuing authority of the receiver or beneficiary. It's used for HomeSend service.","1049","Beneficiary_ID_IssuedBy","1","1","Beneficiary_ID_IssuedBy","1"<endrec>
"5150","1","01","","ID issuing location of the receiver or beneficiary. It's used for HomeSend service.","1050","Beneficiary_ID_IssuedAt","1","1","Beneficiary_ID_IssuedAt","1"<endrec>
"5151","1","01","","ID issuing date of the receiver or beneficiary, which is an ISO8601 date in the YYYY-MM-DD format. It's used for HomeSend service.","1051","Beneficiary_ID_IssuedDate","1","1","Beneficiary_ID_IssuedDate","1"<endrec>
"5152","1","01","","ID validity date of the receiver or beneficiary, which is an ISO8601 date in the YYYY-MM-DD format. It's used for HomeSend service.","1052","Beneficiary_ID_ExpiryDate","1","1","Beneficiary_ID_ExpiryDate","1"<endrec>
"5153","1","01","","Birthday of the receiver or beneficiary. It's used for HomeSend service.","1053","Beneficiary_Birth_Date","1","1","Beneficiary_Birth_Date","1"<endrec>
"5154","1","01","","Receiver or beneficiary's birthplace mentioned in the official ID document.It's used for HomeSend service.","1054","Beneficiary_Birth_Place","1","1","Beneficiary_Birth_Place","1"<endrec>
"5155","1","01","","Occupation (job or position) of the receiver or beneficiary. It's used for HomeSend service.","1055","Beneficiary_Occupation","1","1","Beneficiary_Occupation","1"<endrec>
"5156","1","01","","Reserved.","1056","Remittance_Purpose","1","1","Remittance_Purpose","1"<endrec>
"5157","1","01","","Reserved.","1057","Transaction_Code","1","1","Transaction_Code","1"<endrec>
"5158","1","01","","Reserved.","1058","Payment_Channel","1","1","Payment_Channel","1"<endrec>
"5159","1","01","","Reserved.","1059","Beneficiary_Name_ProvidedbySPB","1","1","Beneficiary_Name_ProvidedbySPB","1"<endrec>
"5161","2","04","","123","","","1","1","123","1"<endrec>
"5171","3","01","","Receiver_ID_Document3_ID_Expires_Manipulated","","","1","1","Receiver_ID_Document3_ID_Expires_Manipulated","1"<endrec>
"5172","3","01","","Receiver_ID_Document5_Issue_Place_Manipulated","","","1","1","Receiver_ID_Document5_Issue_Place_Manipulated","1"<endrec>
"5173","3","01","","","","","1","1","external_reference_no","1"<endrec>
"5174","3","01","","","","","1","1","Receiver_ID_Document2_Data_Manipulated","1"<endrec>
"5175","3","01","","","","","1","1","Receiver_ID_Document2_Issue_Place_Manipulated","1"<endrec>
"5176","3","01","","","","","1","1","Receiver_Social_Security_No_Manipulated","1"<endrec>
"5177","3","01","","","","","1","1","Receiver_Country_Of_Residence_Manipulated","1"<endrec>
"5178","3","01","","","","","1","1","Receiver_Mobile_Phone_Identity_Data_Manipulated","1"<endrec>
"5179","3","01","","","","","1","1","Status_Code_Manipulated","1"<endrec>
"5180","3","01","","","","","1","1","Receiver_Last_Name_Manipulated","1"<endrec>
"5181","3","01","","","","","1","1","Destination_Currency_ISO_Code_Manipulated","1"<endrec>
"5182","3","01","","","","","1","1","Receiver_First_Name_Manipulated","1"<endrec>
"5183","3","01","","","","","1","1","Receiver_Addr_Line_1_Manipulated","1"<endrec>
"5184","3","01","","","","","1","1","Receiver_State_Manipulated","1"<endrec>
"5185","3","01","","","","","1","1","Receiver_Postal_Code_Manipulated","1"<endrec>
